Sex,WeightClassKg,FirstName,LastName,Disambiguation,Country,BodyweightKg,Ris,Status,StatusReason,MuscleUp1Kg,MuscleUp2Kg,MuscleUp3Kg,BestMuscleUpKg,PullUp1Kg,PullUp2Kg,PullUp3Kg,BestPullUpKg,Dips1Kg,Dips2Kg,Dips3Kg,BestDipsKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg
M,66,Yann IZARD,"""Doud's """,,FR,,90.84,competed,,12.5,15,16.25,16.25,50,55,61.25,61.25,85,95,102.5,102.5,185,200,205x,200
M,66,Charly,Defois,,FR,,94.3,competed,,18.75,23.75,26.25,26.25,57.5,62.5,66.25,66.25,100,106.25,110,110,175,185,192.5,192.5
M,66,Youssef,El Kasmi,,MA,,90.74,competed,,20,25,27.5x,25,60,67.5,70x,67.5,110,117.5,120x,117.5,165,172.5,177.5x,172.5
M,66,Corentin,Goulmy,,FR,,22.77,disqualified,Bombed the dips and squat,23.75,28.75,30,30,65,70x,70x,65,91.25x,95x,95x,,192.5x,192.5x,192.5x,
M,66,Matias,REI,,FR,,92.02,competed,,20,25,27.5x,25,60,67.5,72.5,72.5,100x,107.5,112.5x,107.5,170,177.5,182.5x,177.5
M,66,Alexis,Serre,,FR,,95.87,competed,,35,37.5,40.5,40.5,65,68.75,72.5,72.5,100x,102.5,110,110,165,175,180x,175
M,66,Nicolas,Virapin,,FR,,46.08,disqualified,Bombed the squat,22.5,26.25,30,30,65,73.75,77.5,77.5,77.5,87.5,95x,87.5,175x,175x,175x,
M,66,Franck,da Silva,,FR,,90.35,competed,,16.25x,18.75,22.5x,18.75,60,65,68.75,68.75,107.5,115,120x,115,165,175,182.5x,175
M,73,Raphaël,Bachelot,,FR,,71.64,competed,,7.5,12.5,15x,12.5,47.5,55,60x,55,85,92.5,97.5x,92.5,150,160,170x,160
M,73,Yohann,CAPDEVILLE,,FR,,105.52,competed,,27.5,32.5,35,35,75,82.5,85,85,135,145,150,150,205,212.5x,215,215
M,73,Thibault,Courleux,,FR,,98.77,competed,,17.5,25,27.5x,25,70,76.25,81.25,81.25,115,125,130x,125,195,210,220,220
M,73,Warren,Solbes,,FR,,93.32,competed,,7.5,12.5,16.25x,12.5,52.5,60x,60x,52.5,110,117.5x,120,120,230,245,252.5x,245
M,73,Matis,Soubielle,,FR,,83.57,competed,,15,18.75,21.25x,18.75,57.5,62.5x,62.5,62.5,97.5,102.5,107.5x,102.5,180,190,200x,190
M,73,,Suf,,FR,,81.04,competed,,18.75,23.75,26.25x,23.75,63.75,73.75x,77.5x,63.75,90,100,105,105,165,175x,175,175
M,80,Charles,Boucher,,BE,,88.44,competed,,16.25,18.75x,20x,16.25,70,75,77.5,77.5,120,126.25,128.75,128.75,200,210,217.5x,210
M,80,Oussama,Ezzaoui,,FR,,94.59,competed,,27.5,32.5,35,35,82.5,90,92.5x,90,127.5,135,137.5,137.5,180,190,195,195
M,80,Tigran,Hakobian,,FR,,79.75,competed,,15x,17.5,22.5,22.5,62.5,67.5,70,70,112.5,120,125,125,172.5,180x,180x,172.5
M,80,Benoit,Lagré,,FR,,89.69,competed,,22.5,26.25x,26.25x,22.5,62.5,67.5,70,70,115,120,122.5,122.5,190,200,210,210
M,80,Gaétan,Orru,,FR,,89.69,competed,,22.5,26.25x,27.5,27.5,65,71.25,75,75,97.5,106.25,110,110,192.5,202.5,212.5,212.5
M,80,LEFEVRE,Siméon,,FR,,81.09,competed,,13.75,17.5x,17.5,17.5,60,66.25,70,70,105,115,120,120,180,192.5,200x,192.5
M,80,,Tesco,,FR,,92.43,competed,,13.75x,15,18.75,18.75,60,66.25,70,70,107.5,115,121.25,121.25,225,245.5,248x,245.5
M,80,antoine,auvray,,FR,,84.26,competed,,15,18.5x,20,20,77.5,83.75x,86.25,86.25,87.5,95x,100,100,180x,190,205,205
M,87,Loan,"""Seraf"" Bernard-Bodier",,FR,,75.66,competed,,12.5,17.5,20,20,57.5,65,70,70,112.5,120x,120x,112.5,180,190,195x,190
M,87,,Amir,,FR,,96.15,competed,,20x,25,30x,25,90,100x,100x,90,135,140,145x,140,230,245,247.5x,245
M,87,Deniz,INSEL,,BE,,88.63,competed,,30,35,40x,35,72.5,80x,80x,72.5,135,145,150x,145,200,210,220x,210
M,87,gabin,Maillet,,FR,,81.25,competed,,10,15,17.5,17.5,67.5,72.5,77.5,77.5,112.5,120,125,125,190,202.5,215x,202.5
M,87,Chistrel,Romain,,FR,,0,no_show,,,,,,,,,,,,,,,,,
M,94,Riwan,Bettahrat,,FR,,84.45,competed,,16.25,20,23.75,23.75,67.5,73.75,77.5,77.5,115,122.5,127.5x,122.5,215,217.5x,230,230
M,94,Alexis,GITTON,,FR,,85.48,competed,,12.5,17.5,20,20,67.5,75,76.25,76.25,107.5,115,120x,115,220,237.5,242.5x,237.5
M,94,PEREIRA,Tiago,,FR,,49.52,disqualified,Bombed the squat,35,41.25,46.25x,41.25,90,95,100,100,115,125,135x,125,190x,190x,190x,
M,94,FOFANA,bakary,,FR,,84.67,competed,,22.5,27.5x,27.5x,22.5,75,80,87.5,87.5,125,132.5,142.5x,132.5,200,210,220x,210
M,101,Douglas,Callu,,FR,,68.59,competed,,5,10,15x,10,52.5,60,65,65,82.5,92.5,100,100,170,185,195,195
M,101,Killian,LZR,,FR,,76.18,competed,,12.5x,12.5,15,15,55,60,65x,60,105x,105,115,115,205,215,225,225
