Sex,WeightClassKg,FirstName,LastName,Disambiguation,Country,BodyweightKg,Ris,Status,StatusReason,MuscleUp1Kg,MuscleUp2Kg,MuscleUp3Kg,BestMuscleUpKg,PullUp1Kg,PullUp2Kg,PullUp3Kg,BestPullUpKg,Dips1Kg,Dips2Kg,Dips3Kg,BestDipsKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg
M,66,George,Clark,,GB,,73.95,competed,,7.5,10,13.75x,10,50,57.5,62.5x,57.5,80,86.25,88.75,88.75,140,145,150,150
M,66,Altay,Doğahan,,GB,,0,no_show,,,,,,,,,,,,,,,,,
M,66,Abu,Sulayman,,GB,,80.89,competed,,15,16.25x,20,20,45,52.5,57.5x,52.5,80,90x,90x,80,165,175,180,180
M,73,Matheus,Da Silva,,GB,,88.32,competed,,20,25,27.5,27.5,60,67.5,72.5,72.5,100,107.5,110,110,185,192.5,200.5x,192.5
M,73,Sam,Hennerley,,GB,,70.02,competed,,5,10,15x,10,52.5,55x,57.5x,52.5,80,90,95,95,140x,142.5,152.5,152.5
M,73,Adeel,Iqbal,,GB,,4.34,disqualified,Bombed the dips and pull-up and squat,15x,20,25x,20,80x,86.25x,86.25x,,125x,125x,125x,,205x,205x,205x,
M,73,Eoin,Kelly,,IE,,0,no_show,,,,,,,,,,,,,,,,,
M,73,Junior,Mikajo,,GB,,72.16,competed,,15,17.5,20,20,60,62.5,63.75x,62.5,85,90,95,95,150,155,160x,155
M,73,Michael,Portsmouth,,GB,,71.66,competed,,5,10,15x,10,57.5,65,70x,65,80,93.75,96.25x,93.75,130,145,155,155
M,73,Lucas,Rosemin,,GB,,83.01,competed,,17.5,22.5,25,25,60,65,67.5,67.5,100,107.5,111.25,111.25,160,170,175,175
M,80,Marcel,Nathaniel,,GB,,88.12,competed,,15,20,21.25,21.25,62.5,70,76.25,76.25,112.5,127.5,135,135,175,200x,205,205
M,80,,Sean,,GB,,84.62,competed,,17.5x,20,25,25,53.75,60,63.75,63.75,110,117.5,122.5,122.5,190,197.5,205,205
M,80,Sebastian,Williams,,GB,,69.93,competed,,5x,5x,5,5,50,60x,60x,50,90,100x,100x,90,180x,190,200x,190
