Sex,WeightClassKg,FirstName,LastName,Disambiguation,Country,BodyweightKg,Ris,Status,StatusReason,MuscleUp1Kg,MuscleUp2Kg,MuscleUp3Kg,BestMuscleUpKg,PullUp1Kg,PullUp2Kg,PullUp3Kg,BestPullUpKg,Dips1Kg,Dips2Kg,Dips3Kg,BestDipsKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg
M,66,Sebastian,Chirinos,,CA,,56.13,competed,,15,17.5,20,20,52.5,55,60,60,70,80,85x,80,80,90x,90x,80
M,66,James,Lin,,CA,,87.5,competed,,25,28.75,30,30,70,75,77.5,77.5,92.5,96.25,100x,96.25,145x,155,160x,155
M,66,Sedrak,Nadzharyan,,CA,,71.07,competed,,25x,25x,25,25,75,80,82.5x,80,100x,100,105x,100,95,105x,105x,95
M,73,Rachid,Azzaoui Nakata,,CA,,81.84,competed,,12.5,15,17.5,17.5,70,73,75,75,115,125x,125,125,150,155,161.5x,155
M,73,George,Georges,,CA,,68.2,competed,,20,25,30x,25,65,70,72.5x,70,80,90,100x,90,115x,117.5,120,120
M,73,Taylor,King,,CA,,60.31,competed,,12.5x,12.5,18,18,50,55x,55,55,90,100,105,105,80x,80,90,90
M,73,Jonathan,Morris,,CA,,84.15,competed,,22.5,25,28.75x,25,70,75,81.25,81.25,95,100,102.5,102.5,160,165x,170,170
M,73,Prince,Neecoie Militante,,AW,,73.2,competed,,12.5,15,17.5x,15,55,62.5,65,65,80,90,102.75,102.75,150,160x,160x,150
M,73,Jayden,Nguyen,,CA,,74.42,competed,,5,7.5,10x,7.5,55,60,65x,60,100,107.5,110x,107.5,160x,165x,165,165
M,73,Kristos,Vagenas,,CA,,81.48,disqualified,Bombed the muscle-up,0x,0x,0x,,20,30,35x,30,80,90x,90,90,230,245,255,255
M,80,Diego,Amaya,,CA,,41.01,disqualified,Bombed the squat,25,27.5x,27.5x,25,70x,70,72.5x,70,100x,101.25,106.5x,101.25,0x,0x,0x,
M,80,June,Hwang,,CA,,74.84,competed,,10x,10,20,20,64,71,73.5x,71,90,95x,100x,90,175,185,190x,185
M,80,Bruce,Kuwahara,,CA,,86.93,competed,,15x,15,22.5,22.5,67.5,72.5,77.5,77.5,105,112,117.5,117.5,185,195,202.5,202.5
M,80,Andre,Moodley,,CA,,59.24,competed,,18,20x,22.5x,18,60,65,67.5x,65,70,80,85,85,100,115x,120,120
M,87,Lucas,Holinaty,,CA,,82.84,competed,,10,15,20x,15,70,80,82.5,82.5,140,145,150x,145,165,175,188.5,188.5
M,87,,Karl,,CA,,88.85,competed,,15.5,18,20.5,20.5,68,70,72.5,72.5,123,130,137,137,224.5x,224.5,224.5x,224.5
M,87,Roman,Kondrachov,,CA,,65.15,competed,,2,7x,13.5x,2,40,51,60x,51,100,121x,130x,100,160,175,186,186
F,52,Jill,Rehman,,CA,,77.53,competed,,1x,1.25x,1.25,1.25,35,45,48,48,27.5x,27.5,30,30,90,97.5,102.5,102.5
F,52,Thevni,Thehara,,CA,,49.58,competed,,2.5x,2.5,3.75,3.75,22.5,25x,25x,22.5,17.5x,18.5,21.5,21.5,45,52.5,57.5x,52.5
F,57,Cassandra,Chyz,,CA,,68.14,competed,,0,1.25x,1.25x,0,39,41.75,43.5,43.5,39,47x,47x,39,93,95.5,98x,95.5
F,57,Chiara,Lucchesi,,CA,,60.75,competed,,7.5,12.5,15,15,22.5,28.5,30,30,35,38.5x,38.5x,35,62.5,67.5,75,75
F,57,Florence,Morin B,,CA,,50.33,competed,,3.5,5x,5x,3.5,27.5,30,32x,30,27.5x,27.5x,27.5,27.5,62,72,77x,72
F,63,Issree,Pittayayon,,CA,,59.39,disqualified,Bombed the muscle-up,0x,0x,0x,,27.5,30,32.5,32.5,31,33.5,37,37,85,93,95.5,95.5
F,63,Maryam,Sh,,CA,,45.45,competed,,1.5,2.75x,2.75,2.75,27.5,30,32.5x,30,32x,33.25,38x,33.25,50,55,60,60
F,70,Svitlanka,Sergiichuk,,CA,,43.81,disqualified,Bombed the muscle-up,0x,0x,0x,,22,26,29x,26,22,26,29x,26,65,68x,70.5,70.5
