Sex,WeightClassKg,FirstName,LastName,Disambiguation,Country,BodyweightKg,Ris,Status,StatusReason,MuscleUp1Kg,MuscleUp2Kg,MuscleUp3Kg,BestMuscleUpKg,PullUp1Kg,PullUp2Kg,PullUp3Kg,BestPullUpKg,Dips1Kg,Dips2Kg,Dips3Kg,BestDipsKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg
M,66,Mohammed,Aflal,,IN,,31.14,disqualified,Bombed the muscle-up,0x,0x,0x,,15,20,27.5,27.5,20,30,40,40,50,60x,60,60
M,66,,Aravinth,,IN,,13.96,disqualified,Bombed the muscle-up and pull-up,2.5x,2.5x,2.5x,,20x,20x,20x,,10,12.5x,12.5x,10,25x,30x,40,40
M,66,,Ashraf,,IN,,71.56,competed,,22.5x,22.5,25x,22.5,55,60x,60x,55,77.5,83,88,88,115,125,135,135
M,66,Sidharthan,B,,IN,,31.57,disqualified,Bombed the squat,10x,10,15x,10,40,47.5x,47.5x,40,70x,70,75x,70,125x,125x,125x,
M,66,Jobin,Godson,,IN,,45.54,competed,,1.25,2.5x,2.5x,1.25,30,35,40,40,55,60x,60x,55,90x,95,105x,95
M,66,Rajamanickam,J,,IN,,45.84,competed,,5,7.5x,7.5x,5,45,47.5,50,50,42.5,47.5,50x,47.5,90x,90,97.5x,90
M,66,Suresh,K,,IN,,60.81,competed,,12.5,15x,15x,12.5,50,55x,55x,50,60x,60,65x,60,115x,118x,125,125
M,66,Sushant,Kharadi,,IN,,81.89,competed,,12.5,17.5,20,20,52.5,57.5,60,60,86.25x,88,92,92,175,185x,194.5x,175
M,66,Praveen,Kumar,,IN,,30.09,disqualified,Bombed the squat,10,12.5,15x,12.5,47.5,50,53x,50,57.5,62,65,65,80x,80x,80x,
M,66,Ram,Kumar,,IN,,43.51,disqualified,Bombed the muscle-up,17.5x,17.5x,17.5x,,52,55x,55x,52,55,57.5x,60,60,50,70,100x,70
M,66,,Manoj,,IN,,40.5,competed,,2.5,5x,7.5x,2.5,37.5,45,50x,45,20,30,35,35,70,80x,80x,70
M,66,,Mariselvam,,IN,,51.78,competed,,7.5,11,14x,11,45,51,55x,51,55x,57.5,64x,57.5,80x,85,92,92
M,66,Monish,N,,IN,,52.39,competed,,2.5x,2.5,5,5,45,47.5,52.5x,47.5,47.5,52.5,57.5,57.5,100,105,110,110
M,66,Rithesh,P,,IN,,67.15,competed,,10,13.5,16.25,16.25,52.5,57.5x,57.5x,52.5,60,70,75x,70,105x,110,115x,110
M,66,Logesh,Rajendran,,IN,,75.46,competed,,12.5,16.25x,16.25,16.25,67.5,71,73,73,77.5,84,85.5,85.5,135,145,150x,145
M,66,Rahul,Rajput,,IN,,67.61,competed,,10x,10,15x,10,45,50x,50x,45,75,80,85,85,140x,145x,145,145
M,66,,Rakesh,,IN,,36.58,disqualified,Bombed the muscle-up,0x,0x,0x,,30,40x,42.5x,30,30,40,45,45,80x,80x,80,80
M,66,Akash,S,,IN,,56.47,competed,,1.25x,1.25,2.5x,1.25,40,45,47.5,47.5,50,55,62.5,62.5,100,115x,125,125
M,66,Vetri,S,,IN,,52.96,competed,,2.5,5x,5x,2.5,30,40,47.5,47.5,40,50,55,55,80x,80,100,100
M,66,M.,Sandeep,,IN,,46.52,competed,,7.5,10x,13x,7.5,35,41,43x,41,55,60,62.5,62.5,60,70,80x,70
M,66,Soham,Sanghavi,,IN,,52.87,competed,,2.5x,4,7.5x,4,45,50,52.5x,50,50,55,60x,55,100x,110,115,115
M,66,Omkar,Satam,,IN,,88.55,competed,,17.5,23.75,25,25,55,61,63.75,63.75,97.5,102.5,105x,102.5,155.75,167.5,175,175
M,66,,Sharukesh,,IN,,44.48,disqualified,Bombed the muscle-up,0x,0x,0x,,32.5,36,40,40,35,45,52.5,52.5,75,80,95,95
M,66,Vignesh,T,,IN,,58.85,competed,,7.5x,7.5x,10,10,40x,42.5,46,46,60x,60,63x,60,125x,125,130x,125
M,66,Shreyash,Telangi,,IN,,37.69,competed,,5,10x,10,10,22.5,30,35,35,22.5x,27.5,35,35,35x,40,50,50
M,66,Tharun,Vijayakumar,,IN,,23.57,disqualified,Bombed the squat,2.5x,2.5,5,5,30,37.5x,37.5,37.5,45,55,60x,55,80x,90x,100x,
M,66,Santhosh,kumar,,IN,,57.36,competed,,10,15,20x,15,55x,57,60x,57,75x,75,80x,75,70,80x,80x,70
M,66,ganesh,ram,,IN,,44.94,disqualified,Bombed the muscle-up,2.5x,4x,4x,,35,37,39x,37,52.5,57.5x,58.5x,52.5,95x,95,97.5x,95
M,73,Rohit,Anand,,IN,,82.73,competed,,35x,35,40.25x,35,77,85.25x,85.25,85.25,126.5,133.5,140x,133.5,120,140x,142.5x,120
M,73,Sahil,Anand,,IN,,85.17,competed,,16.5,20,22.75x,20,60,66.25x,66.25x,60,107.5,114,118.5x,114,187.5,197,211x,197
M,73,Vishvaa,Dayakaran,,IN,,40.81,disqualified,Bombed the dips and muscle-up,11x,11x,13x,,52.5,56,58x,56,67.5x,67.5x,67.5x,,125,130,135x,130
M,73,Augustine,Fernandes,,IN,,87.85,competed,,30x,35.5,36.75x,35.5,62.5,68.75,73.75,73.75,102.5,112.5,120x,112.5,170,180x,185,185
M,73,Jayanth,Giftson,,IN,,42.14,competed,,2.5x,2.5,7.5x,2.5,30,35,40x,35,45,50,55,55,90,100,110x,100
M,73,Harrish,M,,IN,,67.1,competed,,5,7.5,11.25x,7.5,55,61.25,64,64,57.5,65,71,71,135,140,150,150
M,73,,Ritesh,,IN,,50.94,competed,,10,15x,15x,10,55,57.5x,57.5x,55,55,60,65,65,90,100,105,105
M,73,Ravi,Roshan Tuddu,,IN,,87.58,competed,,21.5x,23,25x,23,71,77.25,80.5,80.5,111,120.5x,120.5,120.5,177x,181x,181,181
M,73,Sanjai,S,,IN,,41.63,disqualified,Bombed the muscle-up,0x,0x,0x,,40,55x,55x,40,50,62.5,72.5x,62.5,90x,90x,90,90
M,73,Subham,Sourav Brahma,,IN,,81.78,competed,,20,23,25x,23,57.5,61,64x,61,101.25,111x,111,111,180,192x,195x,180
M,73,Baskaran,Subramani,,IN,,57.62,competed,,5,7.5x,7.5,7.5,42.5,47.5,51.5x,47.5,70,76,80,80,112,118,125,125
M,73,Jove,singh,,IN,,54.86,competed,,10x,10x,10,10,50x,52.5,55,55,60,65x,67.5x,60,115x,115,125,125
M,80,Adhvait,Aahlaad,,IN,,49.68,disqualified,Bombed the muscle-up,0x,0x,0x,,50,55,60x,55,50,57.5,70x,57.5,120,130,135x,130
M,80,Ajay,Barath,,IN,,66.16,competed,,7.5,11.5,14,14,50,55x,55x,50,80,90,102x,90,150,160,165,165
M,80,Dinesh,Kumar,,IN,,79.28,competed,,7.5,11.25,13x,11.25,55,61.25,63x,61.25,105,112.5,120x,112.5,190,200,210x,200
M,80,saravana,kumar,,IN,,83.92,competed,,5,10,13,13,67.5,75x,75,75,102.5,115x,115,115,212.5,223x,223x,212.5
M,87,Aryan,Magoo,,IN,,90.31,competed,,25,28,31x,28,62.5,70,73,73,120,132.5,135,135,225,235,250x,235
M,87,Sudharsan,R K,,IN,,44.34,disqualified,Bombed the muscle-up,0x,0x,0x,,25x,25,30x,25,30,37.5,45,45,120,140,160,160
M,87,S,Sankar,,IN,,52.86,competed,,0x,0x,0,0,40,45,50,50,60x,65,70,70,150x,150,160x,150
