Sex,WeightClassKg,FirstName,LastName,Disambiguation,Country,BodyweightKg,Ris,Status,StatusReason,MuscleUp1Kg,MuscleUp2Kg,MuscleUp3Kg,BestMuscleUpKg,PullUp1Kg,PullUp2Kg,PullUp3Kg,BestPullUpKg,Dips1Kg,Dips2Kg,Dips3Kg,BestDipsKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg
M,66,Özdemir,Bolat,,DE,65.1,,competed,,15,17.5,20,20,60,65,67.5x,65,70,75,80,80,90,95,102.5,102.5
M,66,Anton,Dengler,,DE,65.3,,competed,,15,17.5,20,20,52.5,57.5,61.25,61.25,87.5,95,97.5x,95,142.5,150,162.5x,150
M,66,Alexander,Krasnov,,DE,64.2,,competed,,10,12.5x,12.5,12.5,45,47.5x,47.5,47.5,70,72.5,76.25,76.25,112.5,117.5,120,120
M,66,Can,Kücükyareli,,DE,63.1,,competed,,17.5,20,23.75,23.75,65,68.75,71.25,71.25,95,100x,100x,95,140,147.5,152.5,152.5
M,66,Adyreek,Le,,DE,64.1,,competed,,15,17.5,20,20,60,65,70x,65,85x,90,100x,90,120,130,140x,130
M,66,Gianluca,Macchia,,DE,66,,disqualified,"No successful muscle-up, dip or squat",15x,15x,15x,,40x,40,50x,40,,,,,,,,
M,73,Halil,Demir,,DE,73.09,,competed,,10,15,20x,15,60,65,67.5x,65,80,90x,90,90,115,125,130,130
M,73,Tamer,Eskin,,DE,68.6,,competed,,7.5,10,15x,10,50,55,57.5x,55,57.5,65,70,70,115,125,130,130
M,73,Arshia,Gholami,,DE,69.6,,competed,,23.75,25x,25,25,52.5,58.75,63.75x,58.75,75,80,82.5,82.5,127.5,132.5,137.5,137.5
M,73,Dario,Leonetti,,DE,73.09,,competed,,0,5,10,10,55,60,65,65,87.5,95x,95,95,165,172.5,180,180
M,73,Jakub,Nowak,,DE,71.5,,competed,,5,10x,10,10,45,50x,50x,45,70,75,80x,75,130,140x,140,140
M,73,Thomas,Schädler,,DE,72.5,,competed,,10,15,20x,15,60,66.25,72.5,72.5,65x,65,70,70,155,160x,160,160
M,73,Benedikt,Solka,,DE,71.3,,competed,,0,2.5,5,5,40,45,50x,45,45,52.5,57.5,57.5,110,120,135x,120
M,73,Robin,Tanner,,DE,72.1,,competed,,12.5,15,17.5,17.5,50,55,57.5,57.5,82.5,87.5,92.5,92.5,195,205,215x,205
M,73,Volker,Wintsche,,DE,71.4,,competed,,10,15,17.5,17.5,57.5,61.25,62.5x,61.25,57.5,62.5,67.5,67.5,140,147.5,152.5,152.5
M,80,Jannis,Grassl,,DE,74.3,,competed,,22.5,26.25,30x,26.25,65,70,72.5,72.5,90,95x,95,95,110,107.5x,,110
M,80,Niklas,Knaak,,DE,78.2,,competed,,17.5,20,22.5,22.5,52.5,57.5,61.25,61.25,87.5,92.5,100,100,170,175,180,180
M,80,Lukas,Kraßnitzer,,DE,78.8,,competed,,15,17.5,20,20,67.5,72.5,75,75,102.5,110,115x,110,172.5,177.5,180,180
M,80,Yurii,Mykhailovskyi,,DE,78.2,,disqualified,No successful squat,5x,5x,5,5,55x,55x,55,55,65,75x,75x,65,,,,
M,80,Petar,Todorov,,DE,77.6,,competed,,12.5,17.5,20,20,55,60,62.5,62.5,80,85,92.5,92.5,160,170,182.5,182.5
M,80,Marvin,Volkmann,,DE,76.4,,competed,,10,17.5x,17.5x,10,50,57.5,60,60,85,95,100,100,190,205x,205,205
M,80,Remigiusz,Wróblewski,,DE,77,,competed,,10x,10x,10,10,50,60,70x,60,70,80,85,85,130,140,145,145
M,87,Akl,Alyassin,,DE,,,disqualified,No attempt recorded,,,,,,,,,,,,,,,,
M,87,Bent,Bohl,,DE,85.1,,competed,,0,2.5x,2.5x,0,40,50,57.5x,50,45,61.25,72.5,72.5,90,110,122.5x,110
M,87,Jannik,Borgelt,,DE,86.4,,competed,,10,15,20x,15,60,65,70,70,90,95x,95x,90,125,135,142.5,142.5
M,87,Felix,Eschenbacher,,DE,81.8,,competed,,5,10,12.5,12.5,45,50,55x,50,72.5x,72.5,80,80,70,85,100x,85
M,87,David,Gogulla,,DE,83.1,,competed,,7.5,10,12.5,12.5,45,55,65x,55,50,65,72.5,72.5,110,130x,130,130
M,87,Cedric,Gust,,DE,83.2,,disqualified,"No successful pull-up, dip or squat",10x,10x,10,10,60x,60x,60x,,70x,80x,90x,,140x,150x,160x,
M,87,Michael,Hagemeister,,DE,85.5,,competed,,5,10x,10,10,50,55x,55x,50,100,105x,105x,100,160x,165,170x,165
M,87,Dejan,Markovski,,DE,,,disqualified,No attempt recorded,,,,,,,,,,,,,,,,
M,87,Alex,Naperkowski,,DE,84.2,,competed,,2.5,7.5,12.5x,7.5,52.5,57.5,60x,57.5,90,100,106.25x,100,140,150,160,160
M,87,Andre,Rieder,,DE,83.3,,competed,,7.5,12.5x,12.5x,7.5,50,55,60x,55,77.5,82.5,87.5x,82.5,140,145,150,150
M,87,Daniel,Rudloff,,DE,84.2,,competed,,10,17.5,21.25,21.25,52.5,57.5,60x,57.5,70,85,,85,130,140,150,150
