Sex,WeightClassKg,FirstName,LastName,Disambiguation,Country,BodyweightKg,Ris,Status,StatusReason,MuscleUp1Kg,MuscleUp2Kg,MuscleUp3Kg,BestMuscleUpKg,PullUp1Kg,PullUp2Kg,PullUp3Kg,BestPullUpKg,Dips1Kg,Dips2Kg,Dips3Kg,BestDipsKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg
M,66,Ibrahim,Chaibi,,BE,,75.9,competed,,12.5,15,17.5,17.5,35,40,42.5,42.5,72.5,80,81.25,81.25,140,147.5,155,155
M,66,Killian,Flecheux,,BE,,75.27,competed,,7.5,11.25,13.75,13.75,47.5,55,58.75x,55,80x,87.5,91.25,91.25,137.5,147.5,155x,147.5
M,66,Arthur,Jongen,,BE,,87.69,competed,,20,25,28.75,28.75,62.5,70,72.5,72.5,90,100,103.75x,100,147.5,157.5,162.5x,157.5
M,66,Allan,Kostka,,FR,,83.77,competed,,12.5,17.5,21.25,21.25,60,66.25,70,70,70,80,85,85,155,165,172.5x,165
M,66,Edric,Magalona,,NL,,75.67,competed,,5,8.75,12.5,12.5,45,52.5x,52.5,52.5,82.5,87.5,92.5,92.5,135,142.5,152.5,152.5
M,66,Rayn,Ramkishun,,NL,,52.75,competed,,0,2.5x,2.5x,0,42.5,47.5,50,50,52.5,57.5,70x,57.5,105,115x,115x,105
M,66,Ryan,Ronomoeljo,,NL,,47.14,disqualified,Bombed the squat,7.5,11.25,15x,11.25,50,57.5,62.5x,57.5,110,117.5,122.5,122.5,165x,175x,185x,
M,66,,ThiZho,,BE,,91.92,competed,,25,30x,30x,25,70,77.5,82.5x,77.5,100,110,117.5x,110,145,155,162.5,162.5
M,66,Aaron,Willaert,,BE,,76.52,competed,,17.5x,17.5x,17.5,17.5,62.5,65,70,70,80,85,87.5,87.5,130,132.5,135,135
M,73,Israelian,Albert,,BE,,101.33,competed,,20,23.75,25,25,60,65,68.75x,65,110,120,125,125,210,227.5,240.5,240.5
M,73,Yohann,Capdeville,,FR,,98.31,competed,,25,30,32.5,32.5,76.25,80,83.75,83.75,125x,130,132.5,132.5,170,177.5,185,185
M,73,Samir,Hussain,,BE,,90.55,competed,,30,35,37.5x,35,75,80,82.5,82.5,100x,107.5,112.5x,107.5,165,175,182.5x,175
M,73,Guillaume,Parein,,BE,,80.94,competed,,17.5x,20x,20,20,70,77.5,82.5x,77.5,85,90,95,95,150,165,170,170
M,73,Etienne,Sahel,,FR,,90.88,competed,,15,20,22.5x,20,62.5,70,72.5,72.5,90,97.5,102.5x,97.5,190,200,212.5,212.5
M,73,Luca,Van Gremberghen,,NL,,102.03,competed,,37.5,41.25x,41.25x,37.5,80,82.5,85x,82.5,120,122.5,127.5,127.5,200,207.5,210,210
M,73,Devano,Zaandam,,NL,,89.3,competed,,17.5,20,25x,20,62.5,67.5,72.5,72.5,100x,107.5,115,115,170,180x,190,190
M,80,Daan,Bogert,,NL,,63.1,competed,,7.5,10,12.5,12.5,57.5,65x,65x,57.5,90,97.5x,102.5x,90,120,130,145,145
M,80,Romain,Chistrel,,FR,,94.61,competed,,12.5,16.25x,17.5,17.5,60,65,70,70,132.5,140,142.5x,140,205,215,225,225
M,80,Francois,Conreur,,BE,,95.28,competed,,35,41.25x,42.5x,35,90,95,100.25,100.25,125,132.5,136.25x,132.5,180,190,200x,190
M,80,Rafael,Furtado Matos,,BE,,78.23,competed,,20,25,27.5x,25,67.5,72.5,75,75,90,97.5,102.5x,97.5,170,180x,180,180
M,80,Deniz,Insel,,BE,,82.49,competed,,22.5,27.5,30,30,65,71.25,75x,71.25,115,120x,120x,115,175,182.5,187.5x,182.5
M,80,John,Nguyen,,NL,,82.58,competed,,17.5,22.5,25x,22.5,60,65,68.75,68.75,105,112.5x,112.5x,105,195,210x,217.5x,195
M,80,Michael,Schulz,,DE,,0,no_show,,,,,,,,,,,,,,,,,
M,80,S.E.M,Visser,,NL,,65.1,competed,,10x,12.5x,12.5,12.5,55,60,65x,60,65,75x,80,80,150,160x,160,160
M,80,Daniël,Wassenaar,,NL,,95.24,competed,,17.5,22.5,25,25,80,85,90,90,125,132.5,140x,132.5,190,200,212.5,212.5
M,80,Stanislav,Zhos,,UA,,83.27,competed,,20x,22.5x,22.5,22.5,80,85x,85x,80,112.5x,112.5,115,115,170,177.5,185,185
M,87,Tim,Engel,,NL,,84.55,competed,,15,20,25,25,70,80,85,85,100,112.5,115,115,190,200,207.5x,200
M,87,Paul-Emile,Huet,,BE,,90.5,competed,,20,25x,25,25,80x,85,92.5,92.5,110x,120,130x,120,200,210,215,215
M,87,Daan,Janssen,,NL,,74.1,competed,,12.5,17.5,20x,17.5,60,67.5,70,70,95,105,107.5x,105,170,180,185x,180
M,87,Dennis,Keyner,,NL,,74.43,competed,,15,17.5,20,20,62.5,66.25,68.75,68.75,92.5,97.5,100,100,170,175,180,180
