Sex,WeightClassKg,FirstName,LastName,Disambiguation,Country,BodyweightKg,Ris,Status,StatusReason,MuscleUp1Kg,MuscleUp2Kg,MuscleUp3Kg,BestMuscleUpKg,PullUp1Kg,PullUp2Kg,PullUp3Kg,BestPullUpKg,Dips1Kg,Dips2Kg,Dips3Kg,BestDipsKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg
M,66,Nana,Boison,,DE,,105.27,competed,,20,25,30,30,67.5,75,80,80,100,110,115x,110,185x,185,200,200
M,66,Cyril,Brau,,FR,,93.63,competed,,20,22.5,25,25,60x,60,65x,60,100,107.5,111.25x,107.5,175,185,190,190
M,66,Julien,Capdeville,,FR,,108.21,competed,,22.5,25,27.5,27.5,68.75,73.75,77.5x,73.75,128.75,136x,136,136,187.5,197.5x,197.5,197.5
M,66,Alessio,Ceragioli,,IT,,103.87,competed,,22.5,27.5,31.25x,27.5,72.5x,72.5,77.5,77.5,95x,100,107.5x,100,202.5x,210,217.5x,210
M,66,Arthur,Jongen,,BE,,88.43,competed,,22.5,26.25x,27.5,27.5,62.5,70,73.75,73.75,92.5,97.5x,100x,92.5,150,157.5,167.5,167.5
M,66,Can,Kuecuekyareli,,DE,,91.26,competed,,20,25x,25x,20,70,76.25,80x,76.25,105,110,112.5x,110,165,172.5x,172.5x,165
M,66,Pablo,Reveriego Sansón,,ES,,95.73,competed,,20x,22.5x,22.5,22.5,70,72.5,75x,72.5,115,120x,120x,115,180,190x,190x,180
M,66,Domenico,Zezza,,IT,,103.67,competed,,20,23.75,25x,23.75,62.5x,66.25,68.75x,66.25,117.5,120x,120,120,207.5,210,212.5x,210
M,73,Israelian,Albert,,BE,,101.41,competed,,20x,23.75,28.75x,23.75,62.5,68.75,71.25,71.25,120,127.5,135x,127.5,230,241x,243.5x,230
M,73,Aubin,Chevillard,,FR,,117.9,competed,,42.5,46.25,50x,46.25,100,106.25,108,108,143.75,152.5,157.5,157.5,195,207.5,215,215
M,73,Lionel,Da Silva,,PT,,101.97,competed,,30,35,37.5,37.5,77.5,82.5,85,85,120,126.25,132.5,132.5,195x,195,200,200
M,73,Adeel,Iqbal,,GB,,97.73,competed,,15x,20x,20,20,70,80,81.25x,80,110,135x,135,135,200,210x,210x,200
M,73,François,Li,,FR,,108.41,competed,,27.5,33.75,36.25x,33.75,85,92.5,96.25x,92.5,135,145,152.5,152.5,180,192.5,205,205
M,73,Lorenzo,Mazzi,,IT,,108.12,competed,,20,23.75,25,25,75,80,82.5,82.5,115,126.25,133.75,133.75,220,232.5,243,243
M,73,Peter,Tolstrup,,NO,,99.38,competed,,27.5,31.25,32.5x,31.25,75,82.5,85,85,127.5,135,140,140,170,182.5,185,185
M,73,Giulio,Torelli,,IT,,104.47,competed,,25,30,35,35,80,85,90,90,115,125,130,130,180x,185,200,200
M,80,Shakil,Ahmed,,GB,,103.36,competed,,27.5,32.5x,35,35,85x,92.5,97.5x,92.5,140,150x,155,155,210,220x,220x,210
M,80,Cristiano,Bellorini,,IT,,102.94,competed,,27.5,32.5,35x,32.5,75,80x,80x,75,115,125,132.5x,125,245,255,262.5,262.5
M,80,Tony,D'Agostino,,IT,,105.21,competed,,25,30,31.25x,30,87.5,92.5,95x,92.5,112.5,120x,120,120,255x,262.5x,262.5,262.5
M,80,Bartlomiej,Orchowski,,PL,,108.14,competed,,37.5,42.5,45,45,90,95,100x,95,145,152.5,160,160,210,220,227.5x,220
M,80,Raul,Teslavici,,FR,,111.23,competed,,40,45x,45x,40,95,101.25,105,105,130x,137.5,142.5,142.5,225,235x,240,240
M,80,Daniël,Wassenaar,,NL,,104.07,competed,,22.5,27.5,30,30,85x,90,95,95,142.5x,150,157.5,157.5,207.5x,217.5x,217.5,217.5
M,87,Pere,Coll,,ES,,115.9,competed,,47.5,51.25,53,53,105,113.75,116.25,116.25,170,182.5,186x,182.5,215,227.5,232.5,232.5
M,87,Diego,Corazza,,IT,,97.75,competed,,37.5x,37.5,41.25x,37.5,85,93.75x,93.75,93.75,125x,125,135x,125,220,232.5,237.5x,232.5
M,87,Kevin,Gogo,,FR,,95.25,competed,,27.5,32.5x,32.5x,27.5,77.5,80x,83.75x,77.5,136.25x,145,153.75x,145,225,232.5,240x,232.5
M,87,Thomas,Mathieu,,FR,,95.66,competed,,20x,20,25x,20,62.5x,66.25,72.5,72.5,130,137.5,140x,137.5,235,247.5,252.5,252.5
M,87,Amedeo,Pulcini,,IT,,103.38,competed,,30x,35,40x,35,80,85,87.5,87.5,110,125x,130,130,245,255,265,265
M,87,Sandor,Siddiqi,,GB,,95.5,competed,,30,33.75x,33.75x,30,75x,80,83.75x,80,115,125,127.5,127.5,225,235,245,245
M,87,Lucian,Stanut,,RO,,106.56,competed,,35,40,42.5x,40,87.5,95,100x,95,125x,137.5,145,145,245,257.5,270x,257.5
M,94,Charlie,Cameron,,GB,,99.15,competed,,17.5,22.5,27.5x,22.5,77.5,85x,85,85,130,140,150,150,240x,240,255,255
M,94,Théo,Goutte-Toquet,,FR,,99.9,disqualified,Bombed the muscle-up,22.5x,27.5x,27.5x,,81.25,88.75,91.25,91.25,160,172.5,177.5x,172.5,240,250,255,255
M,94,Giovanni,Lategana,,IT,,98.7,competed,,22.5,27.5,32.5,32.5,60,67.5,72.5,72.5,110,120,130,130,260,272.5,285x,272.5
M,94,Xavier,Macias,,IT,,118.4,competed,,35,40,43.75,43.75,95,102.5,108.75,108.75,155,162.5x,165,165,280,285,292.5,292.5
M,94,Gwendal Scott,Roy Simon,,BE,,96.1,competed,,25,30,32.5x,30,75,82.5,86.25,86.25,135,150x,150x,135,225,232.5x,240,240
M,94,Robin,Stoltze,,DE,,99.69,competed,,26.25,32.5,33.75x,32.5,75,80,85,85,135,142.5,150,150,235,242.5,250,250
M,94,Timo,Wunnenberg,,DE,,100.11,competed,,22.5x,25,27.5x,25,80,90,97.5,97.5,125,135x,135x,125,260,272.5,288x,272.5
M,94,Badreddine,van der Stoel,,NL,,103.38,competed,,30,32.5,35x,32.5,87.5x,87.5,90x,87.5,171.5,180.25,182.5x,180.25,225x,235x,235,235
M,94+,Leonardo,Giliberto,,IT,,108.41,competed,,17.5,21.25,25,25,80,87.5,93.75,93.75,145,152.5,157.5,157.5,265,277.5x,295,295
M,94+,Jonas,Mees,,BE,,93.26,competed,,12.5,17.5,20x,17.5,55,65,67.5x,65,110,122.5,130x,122.5,260,277.5,282.5,282.5
M,94+,Davide,Molinaro,,CZ,,59.11,disqualified,Bombed the dips,15,20,22.5x,20,62.5,67.5,70,70,100x,102.5x,102.5x,,205,220,230x,220
M,94+,Valerio,Naldi,,IT,,99.17,competed,,15x,20,22.5,22.5,101.25,110x,110x,101.25,150,165x,170x,150,230,245,250,250
M,94+,Jomei,Straker,,GB,,92,competed,,10,15,20,20,80x,85,90x,85,130,140x,145,145,215,230x,235,235
M,94+,Jordin,Vliegen,,NL,,89.91,competed,,17.5x,17.5,21.25,21.25,65,72.5,77.5,77.5,130x,130,135x,130,215,227.5,240,240
M,94+,Tonio,Zeidler,,DE,,106.88,competed,,10,15,20,20,72.5,82.5,90,90,175x,175,200.5x,175,262.5,277.5,285,285
F,52,Céline,Chatelain,,FR,,104.51,competed,,8.75x,10,12.5,12.5,38.75,42.5,44,44,51.25x,53.75x,55,55,97.5,102.5,105,105
F,52,Eleni,Christinaki,,GR,,79,disqualified,Bombed the dips,5,10,12.5,12.5,32.5,37.5x,37.5,37.5,50x,52.5x,52.5x,,110,117.5x,117.5,117.5
F,52,Ludivine,Compain,,FR,,111.23,competed,,7.5,10x,10,10,25,30,32.5,32.5,50,56.25,61.25x,56.25,125,132.5,137.5x,132.5
F,52,Selly,Ortis,,IT,,91.98,competed,,1.25x,1.25,2.5x,1.25,23.75,27.5,30x,27.5,35,40,42.5,42.5,110x,110,115,115
F,52,Aurora,Riccardi,,IT,,110.25,competed,,7.5,11.25,13.75,13.75,27.5,32.5,35,35,50,55,57.5x,55,115,120,130,130
F,52,Miriam,Scheld,,DE,,94.83,competed,,2.5,5,7.5,7.5,17.5,22.5,26.25x,22.5,42.5,47.5,50,50,110,115,120,120
F,52,Mona,Shafiei,,GB,,100.23,competed,,1.25,3.75x,3.75x,1.25,35,41.25x,44.25,44.25,45,52.5,55x,52.5,105,110,117.5x,110
F,52,Sarah,Taylor,,GB,,97.58,competed,,10,13.75x,13.75x,10,27.5,28.75x,28.75x,27.5,35,40,45,45,100,110,120,120
F,57,Nicole,Anania,,IT,,94.6,competed,,5,10,12.5x,10,25,30,32.5x,30,40x,40,45,45,127.5,135x,135x,127.5
F,57,Julie,Brion,,FR,,115.14,competed,,5x,5,7.5,7.5,27.5,32.5,35,35,55,60,65,65,147.5x,152.5x,152.5,152.5
F,57,Sofia,Cerdan Bes,,IT,,114.84,competed,,8.75,11.25,13.75x,11.25,25,30,32.5x,30,55,60,65,65,147.5,152.5,155,155
F,57,Nadine,Hettinga,,NL,,120.35,competed,,7.5,11.25,15,15,48.75,54,56.25,56.25,70,77.75,83.5,83.5,120x,120x,120,120
F,57,Martha,Lubczynskyj,,GB,,112.5,competed,,15,22.5,27.5,27.5,50,57.5,60.5x,57.5,60x,65,70x,65,105,115x,115x,105
F,57,Julia,Längerer,,DE,,111.38,competed,,7.5,12.5,15,15,37.5,42.5,47.5x,42.5,45,53.75,58.75,58.75,115,125,130,130
F,57,Johanna,Orlitzky,,DE,,92.53,disqualified,Bombed the muscle-up,5x,10x,10x,,30,35,37.5x,35,50,55,57.5,57.5,110x,110,117.5,117.5
F,57,Margaux,Sanchez,,FR,,114.44,competed,,16.25,20,22.5x,20,41.25,46.25,47.5x,46.25,60,65,67.5x,65,127.5x,127.5x,127.5,127.5
F,57,Manon,Vergucht,,BE,,93.75,competed,,5,7.5x,7.5x,5,30,36.25,38.75x,36.25,47.5,53.75,55x,53.75,110,117.5x,117.5,117.5
F,63,Faye,Butler,,GB,,113.54,competed,,7.5,11.25,15,15,35,40,43.75,43.75,65,75,80x,75,125x,130,132.5,132.5
F,63,Laura,García Bitrian,,ES,,113.01,competed,,10,12.5,15,15,35,40,41.25,41.25,65x,65,70,70,130,135x,142.5,142.5
F,63,Jessica,Kallage-Götze,,DE,,88.24,competed,,5,10,12.5x,10,22.5,28.75x,28.75,28.75,45,55x,60x,45,115,122.5x,125,125
F,63,Mar,Martinez,,ES,,104.77,competed,,15,17.5,18.75,18.75,33.75,38.75,41.25,41.25,61.25,65x,65x,61.25,122.5,127.5x,127.5,127.5
F,63,Veronika,Martinčič,,SI,,98.62,competed,,3.75,7.5,10x,7.5,27.5,33.75,36.25x,33.75,45,50,55,55,130,135,137.5,137.5
F,63,Taru,Riipinen,,FI,,97.85,competed,,7.5x,7.5,11.25x,7.5,35,40,41.25x,40,47.5,55,60x,55,120,127.5x,130,130
F,63,Janneke,Roeterink,,NL,,86.2,competed,,0,2.5,5x,2.5,23.75,27.5,30x,27.5,52.5x,52.5,60x,52.5,110,117.5,122.5,122.5
F,63,Gianna,Webbe,,GB,,103.28,competed,,5,10,12.5,12.5,42.5,47.5,51.25x,47.5,63.75x,65,70,70,100,105,115,115
F,70,Elly,Ball,,GB,,89,competed,,5x,5,7.5x,5,30,35,37.5,37.5,45,50,51.25x,50,110,120,125x,120
F,70,Axelle,Ditacroute,,FR,,106.17,competed,,17.5,20,22.5,22.5,37.5,41.25,45x,41.25,56.25,58.75x,58.75,58.75,125,130x,132.5,132.5
F,70,Christina,Fröhlich,,DE,,118.89,competed,,12.5,18.75,21.25,21.25,48.75,57.5x,57.5x,48.75,65,70,73.75,73.75,130,140x,142.5,142.5
F,70,Amanda,Khok,,HK,,89.23,competed,,0,1.25x,1.25x,0,25,30,32.5,32.5,52.5,57.5,61.25x,57.5,115,125x,125,125
F,70,Lynn,Narings,,NL,,115.72,competed,,8.75,12.5,15,15,27.5,32.5,36.25,36.25,65,71.5x,72.5,72.5,147.5,155,163.5x,155
F,70,Milana,Popovic,,RS,,110.75,competed,,5x,7.5x,10,10,25,30,33.75,33.75,47.5,55,60,60,150,160,163,163
F,70,Nadine,Schulz,,DE,,110.64,competed,,12.5,16.25,18.75x,16.25,27.5,32.5,35,35,67.5,75.25,80x,75.25,127.5,135,140,140
F,70,Florence,Wong,,FR,,109.7,competed,,2.5,7.5,11.25,11.25,35,45,50,50,55,62.5,70x,62.5,135x,140,150x,140
F,70+,Sarah,Anyamele,,DE,,124.28,competed,,10,20,25,25,40x,40,45x,40,60,67.5x,67.5,67.5,150,160,167.5,167.5
F,70+,Lian,Brands,,NL,,87.49,competed,,0,3.75,5,5,21.25,26.25,28.75,28.75,47.5,52.5,57.5x,52.5,125,132.5x,135x,125
F,70+,Alexandra,Gautheron,,FR,,79.18,competed,,1.25,2.5x,2.5x,1.25,11.25x,13.75,18.75,18.75,42.5,46.25,51.25,51.25,107.5,117.5,120,120
F,70+,Ana,Grimšičar,,SI,,85.99,competed,,0,1.25x,1.25x,0,15,20x,20x,15,37.5,45,50,50,137.5x,142.5,147.5x,142.5
F,70+,Katerina,Najmanova,,CZ,,99.31,competed,,2.5x,2.5x,2.5,2.5,35,42.5x,42.5,42.5,57.5,65,70,70,125,130x,130x,125
F,70+,Anastasija,Odzic,,RS,,92.27,competed,,0x,0,2.5,2.5,25,31.25,35,35,45x,50,55,55,130,140x,147.5x,130
F,70+,Claudia,van Osch,,NL,,110.24,competed,,10x,12.5,16.25x,12.5,40,47.5,53.75,53.75,52.5,60,63.75x,60,125x,132.5,140,140
