Sex,WeightClassKg,FirstName,LastName,Disambiguation,Country,BodyweightKg,Ris,Status,StatusReason,MuscleUp1Kg,MuscleUp2Kg,MuscleUp3Kg,BestMuscleUpKg,PullUp1Kg,PullUp2Kg,PullUp3Kg,BestPullUpKg,Dips1Kg,Dips2Kg,Dips3Kg,BestDipsKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg
M,66,Nana,Boison,,DE,,102.5,competed,,25,30.25,32.5x,30.25,67.5,75,80,80,100,107.5,112.5x,107.5,190,197.5,205x,197.5
M,66,Richard,Bulang,,DE,,52.27,competed,,7.5x,7.5x,7.5,7.5,30,40,47.5,47.5,45,55,65x,55,75x,80,100,100
M,66,Malo,Cabillic,,DE,,74.88,competed,,10x,10x,10,10,55,60,62.5x,60,67.5,75,80,80,145,152.5x,152.5,152.5
M,66,Abdelrahman,Hesham,,EG,,61.8,competed,,0,5,10,10,45,50,55x,50,65,75x,75,75,105,115,125x,115
M,66,Henrik,Matalewski,,DE,,48.04,disqualified,Bombed the squat,15,20x,20,20,65,70,71.25,71.25,105,115x,115x,105,195x,195x,195x,
M,66,Evan,Rozier,,FR,,67.57,competed,,0,1.25,2.5,2.5,42.5,47.5,51.25,51.25,75,82.5x,87.5x,75,145x,145x,145,145
M,66,Lovro,Topic,,HR,,86.05,competed,,10x,10x,10,10,60,65,70,70,90,100,110x,100,140,150,160,160
M,66,Hoang,Tran,,CZ,,72.49,competed,,11.25,16.25,20x,16.25,47.5,55,60x,55,65,72.5,77.5,77.5,135,142.5,147.5x,142.5
M,73,David,Ayubi,,AT,,88.07,competed,,25,32.5,35,35,70,75,77.5,77.5,110x,110,115x,110,135,140,152.5,152.5
M,73,Jurij,Barach,,DE,,69.39,competed,,5,10,15x,10,55,62.5,65,65,75x,80,85x,80,150,155,160x,155
M,73,Yanis,Hadjarab,,FR,,104.1,competed,,23.75,27.5,31.25,31.25,75,80,85,85,132.5x,132.5,140,140,190,200,210,210
M,73,Machaal,Mohammad Arabi,,LB,,85.19,competed,,17.5,22.5,26.25x,22.5,70x,70x,70,70,95x,105,110,110,170x,170x,170,170
M,73,Hung Quang,Nguyen,,DE,,57.03,competed,,5,10,12.5,12.5,27.5,33.75,37.5,37.5,70,80x,81.25x,70,120,127.5x,130,130
M,73,George,Souss,,DE,,84.92,competed,,10x,10,20,20,45,55,70,70,75,92.5x,100,100,150x,160,175,175
M,73,Oskar,Wolter,,DE,,87.92,competed,,22.5,27.5,30x,27.5,66.25x,66.25,76.25x,66.25,100,107.5,115,115,175,185,192.5x,185
M,73,Taymour,el Desouky,,EG,,91.22,competed,,15,20,22.5x,20,65,70,71.25x,70,112.5,122.5x,125,125,182.5,190,195x,190
M,80,Wael,Hallak,,DE,,84.42,competed,,18.75,23.75x,25x,18.75,65,67.5x,70,70,107.5x,110,117.5x,110,195,205,210x,205
M,80,Pascal,Klinkowski,,DE,,100.33,competed,,21.25,26.25,30.5x,26.25,75,82.5,86.75,86.75,105,115,120,120,220,230,240,240
M,80,Dario,Leonetti,,DE,,83.48,competed,,10,15,16.25x,15,57.5,62.5x,62.5,62.5,105x,107.5,115x,107.5,200,207.5,215,215
M,80,Jonas,Maier,,DE,,88.18,competed,,17.5,23.75,27.5x,23.75,77.5,82.5x,82.5x,77.5,95,105,110,110,195,205,215,215
M,80,Michael,Schulz,,DE,,99.56,competed,,20,25,26.25x,25,70,77.5,81.25,81.25,127.5,140,145,145,205,220,230x,220
M,80,Sindre,Strom,,NO,,63.57,disqualified,Bombed the muscle-up,10x,10x,10x,,50,57.5,62.5,62.5,90x,95,102.5,102.5,130x,135,140x,135
M,80,Sven,Thorkildsen,,NO,,93.04,competed,,20x,22.5,27.5,27.5,75,82.5,87.5,87.5,115,130x,130,130,170,187.5,200,200
M,80,Peter,Tolstrup,,NO,,102.59,competed,,30,35,37.5x,35,75,82.5,87.5,87.5,135,150,161.25,161.25,170,190,195,195
M,80,Anh,Tu Pham,,CZ,,92.43,competed,,22.5,27.5,32.5,32.5,72.5,80,85x,80,112.5,120,125,125,190,200x,200,200
M,80,Àlex,Ventura Capellà,,ES,,78.85,competed,,22.5,27.5x,27.5x,22.5,65,72.5,77.5x,72.5,96.25,105x,107.5,107.5,160,170,175x,170
M,87,Gökcan,Aydin,,DE,,99.9,competed,,10,17.5,22.5x,17.5,82.5,92.5,100x,92.5,117.5,132.5x,145,145,235,250,260x,250
M,87,John,Getliff,,GB,,91,competed,,20,25,30x,25,65,72.5x,77.5,77.5,115,122.5,130,130,210,217.5,222.5,222.5
M,87,Lukas,Kraßnitzer,,DE,,85,competed,,20,25,27.5x,25,60,70,75,75,100,112.5,117.5,117.5,195,210,215x,210
M,87,Gerard,Llobet,,ES,,93.39,competed,,30,35,37.5x,35,82.5,90,95x,90,120,127.5,135x,127.5,207.5x,217.5x,217.5,217.5
M,87,Denilson,Monteiro,,DE,,0,disqualified,"Bombed the muscle-up, pull-up and squat",0x,1.25x,1.25x,,0x,0x,0x,,0,1.25x,1.25x,0,0x,0x,0x,
M,87,Alex,Naperkowski,,DE,,87.98,competed,,20,25,28.75,28.75,60,70,77.5x,70,120,130,137.75x,130,205,215,225x,215
M,87,Jan,Padrón,,ES,,90.31,competed,,10,15x,15,15,65,72.5,75,75,112.5,120,122.5,122.5,230x,237.5,242.5,242.5
M,94,Paul,Bäns,,DE,,71.04,competed,,5,10,13.75x,10,50,53.75,56.25,56.25,83.75,90,100x,90,192.5,202.5,210,210
M,94,Shehabeldin,Housein,,EG,,80.71,competed,,0,5x,7.5x,0,60,70x,72.5x,60,100x,115,125,125,200,225x,235,235
M,94,Louis,Müller,,DE,,84.25,competed,,22.5,27.5x,27.5,27.5,75x,75,86.25x,75,100,110,120x,110,210x,220x,220,220
M,94,Timo,Wunnenberg,,DE,,90.41,competed,,20,22.5,25,25,80,90,95,95,122.5,132.5,141.25x,132.5,190,205,215,215
M,94,Joshua,Wünsch,,DE,,69.55,competed,,0,10x,10,10,60,62.5,65x,62.5,80,90,100x,90,180x,190x,195,195
M,94,Christian,Zöller,,DE,,84.58,competed,,15,20,25,25,65,70,75,75,115x,120,130x,120,210x,220,230x,220
M,101,David,Klimek,,CZ,,95.62,competed,,10,15,20x,15,72.5x,72.5x,72.5,72.5,120x,120,140,140,260,275,287.5x,275
M,101,Ola,Rønning,,NO,,58.36,competed,,0,1.25x,1.25x,0,40,45,51.25,51.25,65x,75,80x,75,180,182.5x,182.5x,180
M,101,David,Tegam,,DK,,77.26,competed,,7.5,15,20,20,70,80,90x,80,100,112.5x,122.5,122.5,185,200x,210x,185
M,101,Mathew,Zlat,,RU,,111.72,competed,,27.5,35x,40,40,95,105,112.5,112.5,170x,180,191.25x,180,240,255,267.5x,255
M,101+,Florian,Dunkel,,DE,,76.77,competed,,0,6.25,10,10,62.5,72.5,77.5,77.5,90,102.5,105,105,200,212.5,217.5,217.5
M,101+,Aun,Evensen,,NO,,75.81,competed,,0,2.5x,5,5,50x,50,57.5,57.5,115,125,130x,125,200,215,220x,215
M,101+,Maximilian,Klaus,,DE,,86.64,competed,,5x,10,17.5x,10,68.75,73.75,76.25x,73.75,100,112.5,120,120,240,250,257.5,257.5
M,101+,Davide,Molinaro,,CZ,,79.48,competed,,16.25,20x,20x,16.25,65,70,73.75,73.75,105,110,115x,110,220x,220x,220,220
M,101+,Jakub,Racewicz,,PL,,87.97,competed,,15x,15x,15,15,85,92.5x,95x,85,120,130,135,135,220x,230,240x,230
M,101+,Moritz,Sievers,,DE,,80.76,competed,,10,15,17.5x,15,60,70,75,75,115,125,135x,125,200,212.5,220x,212.5
M,101+,Tonio,Zeidler,,DE,,103.11,competed,,10,15,20x,15,70,80,90x,80,160,170,180,180,255,265x,275,275
F,52,Anaïs,Lozano,,ES,,121.39,competed,,12.5x,15,17.5,17.5,27.5,31.25,33.75,33.75,57.5,62.5,66.5x,62.5,137.5,142.5,145,145
F,52,Svenja,Scherner,,DE,,96.98,competed,,3.75,6.25,10x,6.25,25,31.25,33.75,33.75,46.25,52.5,53.75,53.75,102.5,107.5,112.5x,107.5
F,52,Jules,Schultz,,DE,,72.67,competed,,2.5,6.25,10x,6.25,30,33.75,36.25,36.25,35,42.5x,42.5x,35,67.5,72.5,75x,72.5
F,52,Marina,Van Remoortere,,ES,,89.57,competed,,2.5x,3.75x,3.75,3.75,22.5,26.25,30,30,45,50,52.5x,50,105x,107.5,112.5x,107.5
F,57,Layla-Jona,Bake,,DE,,71.96,competed,,2.5,6.25x,6.25x,2.5,15,20,22.5,22.5,35x,35,40x,35,95,102.5,110x,102.5
F,57,Nicole,Fischer,,NL,,24.42,disqualified,Bombed the dips and squat,10,15,20,20,35,40x,41.25x,35,60x,62.5x,62.5x,,0x,0x,0x,
F,57,Julia,Längerer,,DE,,116.46,competed,,11.25,16.25,20x,16.25,40,45,46.25,46.25,53.75,60,63.75,63.75,127.5x,135,140x,135
F,57,Olga,Maseda de Andrés,,ES,,89.46,disqualified,Bombed the muscle-up,7.5x,7.5x,7.5x,,33.75x,33.75x,33.75,33.75,60x,62.5,65x,62.5,105,107.5x,107.5,107.5
F,57,Lucie,Mutinská,,CZ,,89.95,competed,,0x,0,7.5,7.5,30,36.25,40x,36.25,40,47.5x,47.5x,40,115,122.5,125x,122.5
F,57,Rosina,Spehr,,DE,,91.54,competed,,2.5,5,7.5,7.5,21.25,26.25,30,30,47.5,52.5,57.5x,52.5,102.5,112.5,117.5,117.5
F,63,Sabrina,Fleper,,DE,,68.39,competed,,0x,0,3.75x,0,17.5,20x,22.5x,17.5,35,40x,42.5x,35,105,110,115x,110
F,63,Jessica,Kallage-Götze,,DE,,95.14,competed,,7.5,11.25,13.75,13.75,25,30,31.25,31.25,47.5,52.5,53.75,53.75,115,122.5,127.5,127.5
F,63,Mar,Martinez,,ES,,108.2,competed,,16.25,18.75,20,20,37.5,41.25,43.75,43.75,61.25,67.5x,67.5x,61.25,127.5,132.5,135x,132.5
F,63,Johanna,Orlitzky,,DE,,101.35,competed,,10x,10,15,15,30,35,38.75x,35,50,55,60,60,110,122.5x,127.5,127.5
F,63,Meike,Pohl,,DE,,110.45,competed,,5,10x,10,10,30,33.75,35,35,60,65,67.5,67.5,130,140,145,145
F,63,Taru,Riipinen,,FI,,103.57,competed,,12.5,16.25x,16.25x,12.5,40,45,47.5x,45,52.5,57.5,60x,57.5,130x,130,137.5x,130
F,63,Alina,Stuwe,,DE,,91.77,competed,,5,6.25x,6.25x,5,27.5,30,33.75x,30,55x,55,60x,55,127.5,132.5x,132.5x,127.5
F,63,Anne-Christin,Ullrich,,DE,,98.05,competed,,7.5,12.5,16.25x,12.5,35,38.75,40,40,50,55,57.5,57.5,115,120,122.5,122.5
F,70,Stefanie,Bull,,DE,,80.48,competed,,0,5,10,10,35x,35,40x,35,37.5x,41.25,45x,41.25,100,107.5x,107.5,107.5
F,70,Christina,Fröhlich,,DE,,119.4,competed,,15,20,22.5x,20,47.5x,50x,50,50,67.5,73.75,75,75,135,140,142.5,142.5
F,70,Anna,Klymenko,,DE,,0,no_show,,,,,,,,,,,,,,,,,
F,70,Miroslava,Liptáková,,SK,,96.63,competed,,0,7.5,10x,7.5,22.5,35,40x,35,40x,40,52.5,52.5,127.5,137.5,145x,137.5
F,70,Isabella,Rathgeb,,AT,,80.44,competed,,5,10,13.75,13.75,25,30,35x,30,35,40,42.5x,40,100,107.5,110,110
F,70,Nadine,Schulz,,DE,,115.69,competed,,12.5,16.25,20,20,32.5,36.25,38.75,38.75,67.5,75,80x,75,135,142.5x,145,145
F,70,Emmelie,Vrban,,DE,,98.15,competed,,10,15,17.5x,15,25,30x,30,30,52.5,56.25x,56.25,56.25,127.5,135,140x,135
F,70+,Gesa,Bimmermann,,DE,,94.18,competed,,5x,5,7.5,7.5,31.25,33.75,35,35,50,55,60x,55,125x,125,130,130
F,70+,Katerina,Najmanova,,CZ,,110.82,competed,,2.5,7.5,11.25x,7.5,37.5,42.5,45x,42.5,67.5x,67.5,75x,67.5,130,140,150,150
F,70+,Ellen B.,Åkesson,,SE,,106.27,competed,,5,10x,10x,5,30,35,37.5,37.5,43.75,51.25,57.5x,51.25,155,162.5,167.5x,162.5
