Sex,WeightClassKg,FirstName,LastName,Disambiguation,Country,BodyweightKg,Ris,Status,StatusReason,MuscleUp1Kg,MuscleUp2Kg,MuscleUp3Kg,BestMuscleUpKg,PullUp1Kg,PullUp2Kg,PullUp3Kg,BestPullUpKg,Dips1Kg,Dips2Kg,Dips3Kg,BestDipsKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg
M,66,Válter Filipe,Fernandes Pinto,,PT,,86.02,competed,,25x,25x,25,25,60,70,77.5,77.5,60,80,90,90,120,140,155,155
M,66,Mauro,Franklim,,PT,,85.93,competed,,10,15,17.5x,15,50,60,65,65,65,75x,75,75,170,185x,185,185
M,66,Herickson,Gomes,,GW,,39.5,disqualified,Bombed the muscle-up and the squat,25x,25x,25x,,55,75x,75,75,80,82.5x,82.5x,80,120x,125x,125x,
M,66,João,Miguel,,PT,,86,competed,,22.5,25,27.5,27.5,55,60,62.5,62.5,80,85,87.5,87.5,150,160,165x,160
M,66,Miguel,Mouro,,PT,,75.71,competed,,15,17.5,20x,17.5,55x,60,62.5,62.5,70,75,77.5x,75,140,145,150,150
M,66,André,Oliveira Santos,,PT,,61.79,competed,,2.5,5x,5x,2.5,30,40,47.5x,40,50,60,70x,60,120,130,140,140
M,66,João,Paulo Abreu,,PT,,73.52,competed,,10,12.5,15x,12.5,45,47.5,50x,47.5,72.5,80,90x,80,135,142.5,152.5,152.5
M,66,André,Sousa,,PT,,78.45,competed,,7.5x,12.5x,12.5,12.5,50,55x,55x,50,75,85,97.5,97.5,140,150,155x,150
M,73,Nelson,Amado,,PT,,53.82,competed,,5,7.5,10,10,40x,45x,45,45,45,60,70x,60,100,110,120,120
M,73,Lionel,Da Silva,,PT,,106.12,competed,,32.5,37.5,40x,37.5,75,85,90x,85,120,130,135,135,197.5,207.5,212.5,212.5
M,73,Mario,Garcia,,PT,,60.63,competed,,7.5x,10,13.75,13.75,40,45,51.25,51.25,65,70,75,75,102.5,110,115,115
M,73,Miguel,Guerreiro,,PT,,78.36,competed,,15,20,25,25,70,75,80x,75,92.5,100,105,105,120,130,140x,130
M,73,Rui,Mendes,,PT,,58.43,competed,,10,12.5x,12.5x,10,55,60,65x,60,65,70,72.5,72.5,105,110,115x,110
M,73,Henrique,Nascimento,,PT,,102.04,competed,,30,33.75,36.25,36.25,80,85,87.5,87.5,120,126.5,132.5,132.5,175,180,182.5x,180
M,73,Pedro,Oliveira,,PT,,0,no_show,,,,,,,,,,,,,,,,,
M,73,Alexandre,Padinha,,PT,,77.07,competed,,20,25,27.5,27.5,52.5,57.5,60x,57.5,75x,80,85,85,135,140,147.5,147.5
M,73,João,Pedro Oliveira,,PT,,71.63,competed,,12.5,17.5,20x,17.5,55,60,62.5,62.5,72.5,80,90x,80,130,140,145,145
M,73,Fábio,Rosa,,PT,,87.02,competed,,10,15,17.5x,15,55,62.5,65x,62.5,90x,95,102.5,102.5,172.5,185,192.5,192.5
M,73,Nuno Romão Areias,Santos Barbosa,,PT,,46.15,disqualified,Bombed the squat,17.5,20,22.5x,20,72.5,75,78.75,78.75,95,102.5,107.5x,102.5,162.5x,167.5x,167.5x,
M,73,Rafael Rodrigues,da Costa,,PT,,44.43,disqualified,Bombed the muscle-up and the dips,10x,10x,10x,,45,47.5,52.5x,47.5,80x,80x,85x,,140x,140,145,145
M,80,André,Alves Martins,,PT,,102.33,competed,,15,20,25,25,70,75,80,80,135,145,147.5x,145,215,225,230,230
M,80,Filipe,Braga,,PT,,98.13,competed,,27.5,32.5,35,35,80,85,90,90,110,120,125,125,195,202.5,205,205
M,80,Diogo,Camacho,,PT,,80.06,competed,,20,25,30x,25,65,70,72.5,72.5,95,105,112.5,112.5,160,165x,165x,160
M,80,Manuel,Campanário,,PT,,57.63,competed,,5,10,12.5,12.5,40,47.5,52.5,52.5,45,52.5,65x,52.5,125,140,155,155
M,80,Diogo,Chaves,,PT,,61.92,competed,,12.5,15x,15,15,50,55,57.5x,55,70,75,80,80,115,125,130,130
M,80,Aubin,Chevillard,,FR,,113.22,competed,,40,45.5,47.5,47.5,100,105.5,106.75x,105.5,145,155,160.5,160.5,207.5,217.5,225,225
M,80,Vitor,Domingues R,,BR,,54.84,disqualified,,5,7.5,11.25x,7.5,40,47.5,55x,47.5,40x,50,57.5,57.5,130,145,155,155
M,80,Guilherme Lucas,Ferreira Moura,,PT,,53.19,disqualified,Bombed the pull-up,12.5,15,17.5x,15,60x,60x,60x,,55,65,72.5,72.5,155,162.5,170x,162.5
M,80,João,Paciência,,PT,,59.78,competed,,2.5x,2.5x,2.5,2.5,41.25,50,55x,50,61.25,73.75,80,80,135,145,152.5x,145
M,80,Benoit,Pataux,,PT,,64.89,competed,,16.25,20,22.5x,20,60,67.5,70,70,67.5,75,80,80,127.5,135x,135,135
M,80,Marcelo,Queirós,,PT,,75.92,competed,,15,17.5,21.25,21.25,55,60,63.75,63.75,65,80,87.5x,80,180,190x,190,190
M,80,Joffrey,Simões,,PT,,50.41,competed,,3.5x,5,7.5,7.5,40,45,50x,45,60,72.5,80x,72.5,105,115,125x,115
M,80,João,Vasconcelos,,PT,,63.02,competed,,15x,15,17.5x,15,50,55x,56.25x,50,80,90x,90,90,130x,132.5,137.5,137.5
M,80,João,Vicente,,PT,,63.22,competed,,10,15x,17.5x,10,50,55,61.25x,55,70,85,90x,85,135,145,150x,145
