Sex,WeightClassKg,FirstName,LastName,Disambiguation,Country,BodyweightKg,Ris,Status,StatusReason,MuscleUp1Kg,MuscleUp2Kg,MuscleUp3Kg,BestMuscleUpKg,PullUp1Kg,PullUp2Kg,PullUp3Kg,BestPullUpKg,Dips1Kg,Dips2Kg,Dips3Kg,BestDipsKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg
M,66,Matias,Abarca,,CL,63.95,,competed,,12.5,16.25,18.75,18.75,57.5,62.5,67.5,67.5,110x,117.5,125,125,142.5,155,165,165
M,66,Leonardo,Arce,,CL,63.15,,competed,,10,13.75,15,15,55x,55,60,60,55,65,71.25,71.25,115,122.5,130,130
M,66,Aidan,Castro Reyes,,CL,63.8,,competed,,17.5,20,22.5,22.5,55,60,62.5,62.5,80x,90,95,95,160,170,185,185
M,66,Daniel,Corbalan Cruz,,BR,62.25,,competed,,22.5,27.5,32.5,32.5,67.5,73.75x,73.75,73.75,90,100,107.5,107.5,182.5,195,207.5x,195
M,66,Carlos,Czeszak,,BR,64.2,,competed,,20,25,30,30,70,77.5,81.25,81.25,105,112.5,116.25,116.25,180,190,195x,190
M,66,Alexis,Escobar Castro,,CL,62.8,,competed,,5,12.5x,12.5,12.5,42.5,47.5,55,55,92.5,97.5,100,100,120,130,135,135
M,66,Pablo Thomas,Garrido Pinochet,,CL,65.5,,competed,,20,23.75,25x,23.75,61.25,66.25x,66.25,66.25,87.5,92.5,95x,92.5,165,170,175,175
M,66,Andrés,Guerra,,CL,65.35,,competed,,15,20,22.5,22.5,60x,60,61.25x,60,110,120,125,125,175x,175,185,185
M,66,Cristopher,Gutiérrez,,CL,63.95,,competed,,10,13.75,17.5,17.5,52.5,57.5,62.5,62.5,80,87.5,88.75x,87.5,165,172.5,175x,172.5
M,66,Theo,Lopez Marques,,US,65,,competed,,21.25,26.25,30,30,62.5,67.5,72.5x,67.5,80,85,91.25x,85,155,160,165,165
M,66,Benja,Nunez,,CL,60.3,,competed,,15,20,22.5x,20,55,60x,60,60,90,97.5,105x,97.5,165x,170x,170,170
M,66,Fabián,Ortega,,CL,,0,no_show,,,,,,,,,,,,,,,,,
M,66,Nicolas,Schwember,,CL,63.1,,competed,,15,20,25,25,70,80,82.5x,80,90x,100x,100,100,130,150,170x,150
M,66,Bastian,Torres,,CL,66.1,,competed,,12.5,16.25,18.75x,16.25,45,50,52.5,52.5,80,90,100,100,150,160,170,170
M,66,Vicente,Vargas,,CL,65.5,,competed,,20,23.75,25,25,60x,60,61.25,61.25,105,110,115x,110,165,175,185x,175
M,66,Vicente,Villalobos,,CL,63.15,,competed,,5,10,15,15,45,50,55,55,80,85,90,90,130,140,150,150
M,73,Sebastian,Garces Ramirez,,CO,72.55,,competed,,20,25,30x,25,60,75,80,80,110,120,130x,120,200,220x,220x,200
M,73,Victor,Gonzalez,,VE,70.65,,competed,,2.5,7.5,12.5,12.5,45,55x,55x,45,85,90,100,100,150,165,175,175
M,73,Benjamín,Ibáñez,,CL,72.55,,competed,,40,42.5x,42.5,42.5,90,100,102.5x,100,140x,150,,150,200,210,,210
M,73,Aaron,Maldonado,,CL,71.95,,competed,,20,25,28.75x,25,72.5,76.25,80,80,107.5,115,117.5x,115,160,170,180,180
M,73,Bryan Alfredo,Muñoz Olivares,,CL,71.95,,competed,,27.5,30,33.75,33.75,80,85,90x,85,125x,125,125x,125,190x,190,205,205
