Sex,WeightClassKg,FirstName,LastName,Disambiguation,Country,BodyweightKg,Ris,Status,StatusReason,MuscleUp1Kg,MuscleUp2Kg,MuscleUp3Kg,BestMuscleUpKg,PullUp1Kg,PullUp2Kg,PullUp3Kg,BestPullUpKg,Dips1Kg,Dips2Kg,Dips3Kg,BestDipsKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg
M,66,Nana,Boison,,DE,,106.93,competed,,27.5x,27.5,32.5x,27.5,72.5,82.5,83.75x,82.5,105,115,120,120,190,205,207.5x,205
M,66,Walid,Boulaghzalate,,IT,,110.46,competed,,26.25,30x,31.25,31.25,72.5,76.25x,76.25,76.25,121.25,131.25,140x,131.25,192.5x,202.5,207.5,207.5
M,66,Julien,Capdeville,,FR,,108.64,competed,,23.75,27.5,30,30,70,75x,76.25x,70,133.75,138,143.25,143.25,197.5x,197.5,207.5x,197.5
M,66,Alessio,Ceragioli,,IT,,103.15,competed,,25,30x,30x,25,73.75,77.5,80,80,100,106.25x,106.25x,100,200,210,220x,210
M,66,Parth,Chamaria,,IN,,100.25,competed,,25,30,32.5x,30,67.5,75,80x,75,97.5,105,110,110,182.5,190,200x,190
M,66,Carlos,Czeszak,,BR,,107.08,competed,,22.5,27.5,30x,27.5,77.5,83.75x,83.75x,77.5,115,122.5x,122.5,122.5,190,197.5,207.5,207.5
M,66,Ashura,Youssef Bouida,,TN,,109.21,competed,,40.5,43,45x,43,95x,100x,100,100,110,117.5,122.5x,117.5,180,185x,187.5,187.5
M,73,Lionel,Da Silva,,PT,,107.59,competed,,35,40,41.25,41.25,80,86.25,87.5,87.5,135x,135x,135,135,210,217.5,220x,217.5
M,73,Benjamín,Ibáñez,,CL,,63.96,disqualified,Bombed the squat,42.5x,42.5,45x,42.5,90,97.5,100,100,140x,145x,145,145,200x,210x,212.5x,
M,73,François,Li,,FR,,103.09,competed,,31.25,36.25,37.5x,36.25,88.75,93.75x,93.75x,88.75,142.5,150x,150x,142.5,182.5,192.5,200x,192.5
M,73,Amedeo,Simonelli,,IT,,98.44,competed,,17.5,21.25,25x,21.25,70,77.5,81.25,81.25,115x,125,130,130,205x,210,220x,210
M,73,Jesus,Toscano,,ES,,0,disqualified,"Bombed the muscle-up, pull-up, dips and squat",1.25x,1.25x,1.25x,,80x,81.25x,81.25x,,150x,150x,150x,,230x,230x,230x,
M,73,Enzo,Zezza,,IT,,53.13,disqualified,Bombed the squat,25,30,33.75,33.75,67.5,75,77.5x,75,120,126.25,133.75x,126.25,200x,217.5x,217.5x,
M,73,johan,sanon,,FR,,111.89,competed,,27.5,33.75,35x,33.75,80,85,90,90,147.5,158x,158,158,210,217.5,220,220
M,80,Aubin,Chevillard,,FR,,111.09,competed,,40,45,46.5,46.5,97.5x,100,106,106,150,156.25,160.25,160.25,210,220,225x,220
M,80,Aditya,Magoo,,IN,,101.89,competed,,35,37.5,40x,37.5,82.5,87.5,90x,87.5,140x,145x,145,145,215x,215x,222.5,222.5
M,80,Mattia,Martinelli,,IT,,101.9,competed,,30,35,40x,35,77.5x,85,90,90,117.5,130x,135,135,215,230,240x,230
M,80,Bartlomiej,Orchowski,,PL,,105.23,competed,,35,40x,40x,35,82.5,90,95x,90,140,150,161,161,210x,220,235x,220
M,80,Elder,Paredes,,MX,,112.25,competed,,25,30,33.75x,30,80,86.25,90,90,145,151.25,156.25x,151.25,240x,240,247.5,247.5
M,80,Raul,Teslevici,,FR,,111.52,competed,,40x,40x,40,40,95,101.25,106.25x,101.25,132.5,142.5,147.5x,142.5,235x,235,250x,235
M,80,Daniël,Wassenaar,,NL,,108.96,competed,,27.5,32.5,35x,32.5,95,100,102.5x,100,150,157.5x,161.25,161.25,200,215,222.5,222.5
M,87,Marc,Altarriba Coronado,,ES,,109.3,competed,,26.25x,28.75,30,30,72.5,80x,82.5,82.5,160,170,175x,170,255x,255,265,265
