Sex,WeightClassKg,FirstName,LastName,Disambiguation,Country,BodyweightKg,Ris,Status,StatusReason,MuscleUp1Kg,MuscleUp2Kg,MuscleUp3Kg,BestMuscleUpKg,PullUp1Kg,PullUp2Kg,PullUp3Kg,BestPullUpKg,Dips1Kg,Dips2Kg,Dips3Kg,BestDipsKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg
M,66,Matias,Abarca,,CL,,100.23,competed,,20,25x,25x,20,62.5,67.5,72.5,72.5,120,127.5x,130,130,180,190,200,200
M,66,Benjamín,Aburto Lantadilla,,CL,,38.54,disqualified,Bombed the dips,2.5x,2.5,7.5,7.5,50,55x,55x,50,75x,75x,75x,,90,97.5,102.5,102.5
M,66,Nicolás,Becerra,,CL,,76.51,competed,,20,22.5x,23.75,23.75,60,62.5,63.75x,62.5,70,71.25x,71.25x,70,160,165,167.5,167.5
M,66,Aidan,Castro Reyes,,CL,,63.67,disqualified,Bombed the muscle-up and the dips,25x,27.5x,27.5x,,65,70x,70x,65,90x,90x,90x,,190,200,210x,200
M,66,Sam,Fuentealba,,CL,,62.59,disqualified,Bombed the muscle-up and the dips,25x,25x,25x,,67.5,72.5x,72.5x,67.5,100x,110x,110x,,185,195,200x,195
M,66,Christian Fabián,Haimovich,,AR,,66.64,disqualified,Bombed the muscle-up,10x,15x,20x,,47.5,55,62.5,62.5,80,90,100x,90,135,145x,155x,135
M,66,Vicente,Villalobos,,CL,,0,disqualified,Bombed every movement,20x,20x,20x,,50x,50x,50x,,90x,90x,90x,,160x,160x,160x,
M,73,Diego,Baeza,,CL,,58.42,competed,,0x,0,1.25x,0,30,35,40x,35,72.5,80,87.5x,80,140,150x,150x,140
M,73,Pablo Thomas,Garrido Pinochet,,CL,,83.87,competed,,20,23.75,26.25,26.25,60,63.75,65,65,95,100,102.5x,100,180,190,200x,190
M,73,Sebastian,Lasker,,CL,,55.54,disqualified,Bombed the muscle-up,10x,10x,10x,,40x,40,45,45,55,60x,65,65,135,140,145,145
M,73,Joaquin,Moris Petit,,CL,,82.67,competed,,21.25,23.75,26.25,26.25,67.5,71.25,72.5x,71.25,102.5x,107.5x,107.5,107.5,165,172.5,175,175
M,73,Franco,Orellana,,CL,,69.95,disqualified,Bombed the muscle-up,2.5x,2.5x,2.5x,,40,50x,52.5x,40,85,95,100x,95,185,190,200x,190
M,73,Wallie,Palacios,,AR,,70.78,competed,,2.5x,8.75,13.75,13.75,50,55,60,60,90,97.5x,97.5,97.5,142.5,152.5,157.5x,152.5
M,73,Rodrigo,Pérez,,CL,,87.6,disqualified,Bombed the muscle-up,35x,35x,35x,,75,80,82.5,82.5,125,130x,130x,125,200,202.5x,202.5x,200
M,73,Victor,Riveros,,CL,,78.03,competed,,13.75x,13.75,17.5,17.5,52.5,57.5,62.5,62.5,75,87.5x,87.5,87.5,165,175,185,185
M,73,Bastian,Tello,,CL,,84.11,competed,,20,21.25,25,25,65,72.5,77.5,77.5,97.5,107.5,115x,107.5,155,162.5,170,170
M,80,Thomas,Cabezas,,CL,,94.86,competed,,25x,25,27.5,27.5,70,75,76.25x,75,115,120x,120x,115,225,240,250,250
M,80,Alexis,Canales,,CL,,75.88,competed,,7.5,12.5,15,15,60,70,72.5,72.5,82.5,90,92.5,92.5,170,180,190,190
M,80,Nahuel,Freixas,,AR,,89.04,competed,,20,25,30,30,75,81.25,83.75,83.75,130,137.5x,137.5x,130,180,190x,190,190
M,80,Edgar de Jesus,Gonzalez Andrade,,CL,,74.52,competed,,1.25,5x,10,10,50,55,60x,55,85,90,95,95,200,210,220x,210
M,80,Benjamín,Ibáñez,,CL,,104.11,competed,,35,40,43x,40,90,95,100,100,135,142.5,147.5,147.5,200,210,215,215
M,80,Vicente,Mallea Díaz,,CL,,76.11,competed,,20x,22.5,27.5,27.5,75,80x,80x,75,92.5,97.5,102.5,102.5,150,157.5,160,160
M,80,Nelson,Parada Piña,,CL,,69.15,competed,,12.5,15x,15x,12.5,55,60,65x,60,80,85,90x,85,160,170,180,180
M,80,Bastian,Sanchez,,CL,,17.23,disqualified,Bombed the dips and the squat,22.5x,25,30x,25,62.5,65x,70x,62.5,105x,110x,110x,,200x,200x,200x,
M,80,Nahuel,Terzano,,AR,,95.84,competed,,5,10,17.5,17.5,65,72.5,75,75,100,120,130,130,225,245,255,255
M,80,Bastian,Uribe,,CL,,82.78,competed,,20,25,27.5,27.5,75,83.75,88.75,88.75,100,105,108.75x,105,175,187.5,205x,187.5
M,87,Franco,Farias Jofre,,CL,,0,no_show,,,,,,,,,,,,,,,,,
M,87,Vicente,Ignacio,,CL,,75.81,competed,,5x,10,15,15,50,60,65,65,95,105,112.5,112.5,170x,180,195,195
M,87,Benjamin,Mesias Castillo,,CL,,0,no_show,,,,,,,,,,,,,,,,,
M,87,Jonathan,Oróstegui,,CL,,80.1,competed,,15x,17.5,20,20,70,80,81.25x,80,100,115,115,115,180x,190,200,200
M,87,Diego,Severino,,CL,,72.71,competed,,0,5,10x,5,40,50,55x,50,115,127.5,135x,127.5,185,192.5,207.5x,192.5
M,87,Pablo,Sommer,,AR,,76.36,competed,,2.5,7.5x,7.5,7.5,42.5,52.5,60,60,100,112.5x,120,120,187.5,200,212.5,212.5
M,87,Mauricio,Tejo,,CL,,78.99,disqualified,Bombed the muscle-up,25x,30x,30x,,75,78.75x,78.75x,75,120,122.5x,122.5x,120,205,215x,215,215
M,87,Luis,Vargas,,VE,,79.46,competed,,27.5,33.75,35x,33.75,75,78.75x,81.25x,75,115,117.5x,117.5x,115,162.5,172.5x,172.5,172.5
M,94,Gonzalo,Solis,,CL,,91.02,competed,,20,25,30x,25,80,87.5,90x,87.5,130,140,145,145,210,225,235x,225
M,101,Angelo,Bassa,,CL,,77.69,competed,,2.5,6.25x,6.25,6.25,52.5,60,67.5x,60,115,122.5,127.5x,122.5,215,225,235,235
M,101,Benjamin Antonio,Escobar Apablaza,,CL,,95.91,competed,,17.5,22.5,26.75,26.75,65,72.5x,72.5,72.5,140x,150,155x,150,270,287.5x,290x,270
M,101,Javier,Laforet,,CL,,80.7,competed,,15,20,25,25,80,85,90,90,105,115,125,125,180,190,200,200
F,52,Karen,Maciel,,AR,,97.9,competed,,16.25,20x,20,20,30,35,40x,35,45,50,56.25,56.25,110,115x,115,115
F,57,Fernanda,Cárdenas Cerda,,CL,,79.64,competed,,0,1.25,3.75x,1.25,25x,26.25,27.5,27.5,41.25,45x,45,45,130,135,140x,135
