Sex,WeightClassKg,FirstName,LastName,Disambiguation,Country,BodyweightKg,Ris,Status,StatusReason,MuscleUp1Kg,MuscleUp2Kg,MuscleUp3Kg,BestMuscleUpKg,PullUp1Kg,PullUp2Kg,PullUp3Kg,BestPullUpKg,Dips1Kg,Dips2Kg,Dips3Kg,BestDipsKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg
M,66,Jan,Bajszczak,,PL,,84.44,competed,,20,22.5,25,25,60,65,67.5,67.5,100,105,110,110,140,145,147.5x,145
M,66,Hubert,Chwałek,,PL,,100.35,competed,,25,27.5,28.75,28.75,75,80,81.25x,80,120,125,127.5x,125,175,180x,185,185
M,66,Michał,Fila,,PL,,97.26,competed,,25x,25,30,30,80,90,100,100,110,120,125x,120,150,160x,160,160
M,66,Mateusz,Koślak,,PL,,103.7,competed,,20x,22.5,27.5x,22.5,90,95,100x,95,130,135,137.5,137.5,170,175,180x,175
M,66,Nam,Nguyen,,CZ,,59.08,competed,,0,5,6.25,6.25,45,50,52.5,52.5,55,60,62.5,62.5,120,127.5,130x,127.5
M,66,Hoang,Tran,,CZ,,76.01,competed,,15,20,25,25,52.5,60,62.5x,60,75,82.5,85x,82.5,140,152.5x,152.5,152.5
M,73,𝙎𝙖𝙢𝙪𝙚𝙡,Vavrík,,SK,,93.69,competed,,20,25,30x,25,70x,70,77.5,77.5,140x,140,145x,140,165,175,185,185
M,73,Ondřej,Zelený,,CZ,,88.98,competed,,12.5,17.5x,17.5,17.5,70,75x,75x,70,100,107.5,110,110,200,212.5,223x,212.5
M,73,Timo (Taymour,el Desouky),,EG,,94.64,competed,,20,25,26.25x,25,62.5,67.5,68.75x,67.5,120,130,135,135,197.5,207.5,215x,207.5
M,80,Jan,Gabryš,,CZ,,76.63,competed,,0,5,10x,5,60,62.5x,62.5,62.5,110,115x,115,115,180,185,187.5x,185
