Sex,WeightClassKg,FirstName,LastName,Disambiguation,Country,BodyweightKg,Ris,Status,StatusReason,MuscleUp1Kg,MuscleUp2Kg,MuscleUp3Kg,BestMuscleUpKg,PullUp1Kg,PullUp2Kg,PullUp3Kg,BestPullUpKg,Dips1Kg,Dips2Kg,Dips3Kg,BestDipsKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg
M,66,David,Ayubi,,AT,63.7,,competed,,30x,30,32.5,32.5,65,72.5,73.75,73.75,100x,100,105,105,125,135,140,140
M,66,Nana,Boison,,DE,65.3,,competed,,27.5,32.5,35,35,75,80,83.75x,80,107.5,115x,115,115,190,200,202.5x,200
M,66,Henrik,Matalewski,,DE,65.8,,competed,,17.5x,17.5,22.5,22.5,66.25,71.25,73.75,73.75,106.25x,106.25,112.5,112.5,177.5,190,200,200
M,66,Joachim,Smaragdis,,AT,65,,competed,,0,6.25x,10,10,37.5,45,50,50,60,72.5,80,80,100,110,120,120
M,66,Hoang,Tran,,CZ,65.2,,competed,,17.5,22.5,26.25x,22.5,52.5,60,62.5,62.5,75x,80,87.5,87.5,140,150x,150,150
M,73,Cristian,Bodeanu,,NL,,16.62,disqualified,Bombed the dips and squat,10x,10,15x,10,55,61.25x,65,65,90x,90x,90x,,125x,125x,125x,
M,73,Daniel,Brychcy,,DE,,44.39,disqualified,Bombed the muscle-up,2.5x,2.5x,2.5x,,30,40,45x,40,42.5,55,60x,55,90x,90,100,100
M,73,Sinh,Huynh,,DE,72.4,,competed,,17.5,22.5,25,25,70,82.5,90x,82.5,102.5,115.25,121,121,165,180,190,190
M,73,Ali,Shaaben,,LB,72.4,,competed,,37.5,42.5,46.5x,42.5,92.5,100,105x,100,135,150,161.25,161.25,175,185x,185x,175
M,73,George,Souss,,DE,69.7,,competed,,20x,20,25,25,60,75,82.75x,75,90,105x,105x,90,175,185,200,200
M,73,Oskar,Wolter,,DE,72.9,,competed,,27.5,31.25,35.5x,31.25,67.5,75,80,80,102.5,110,120x,110,20,22.5x,22.5x,20
M,80,Samuel,Guidi,,DE,78.5,,competed,,20,23.75,25,25,72.5,78.75x,80x,72.5,120,127.5,135x,127.5,200,210,212.5,212.5
M,80,Wael,Hallak,,DE,,19.94,disqualified,Bombed the dips and squat,20,23.75,26.25x,23.75,65,72.5,75,75,117.5x,120x,120x,,0x,0x,0x,
M,80,Nick,Hempel,,DE,78.7,,competed,,20,25,26.25x,25,65,71.25x,71.25x,65,117.5,120,125x,120,190,200x,200x,190
M,80,Pascal,Klinkowski,,DE,78.4,,competed,,25,30.25,31.5,31.5,75,82.5,85,85,110,117.5,122.5,122.5,232.5,251.5,261x,251.5
M,80,Paul,Lieberich,,DE,78.49,,competed,,11.25x,15x,15,15,58.75,67.5,72.5,72.5,110x,120,135,135,167.5,177.5,182.5x,177.5
M,80,Andy,Nankeng,,NL,76.6,,competed,,0,2.5x,2.5x,0,40,45,50x,45,80,90,101.25x,90,145,160,172.5,172.5
M,80,Sven,Thorkildsen,,NO,79.7,,competed,,20,25,28.75,28.75,75,80,82.5,82.5,130,137.5,145x,137.5,195,205,210,210
M,80,Peter,Tolstrup,,NO,79.1,,competed,,32.5,36.25,37.5x,36.25,82.5,90,92.5,92.5,140,155,160,160,180,195,205,205
M,80,Anh,Tu Pham,,CZ,78.3,,competed,,30,35,40,40,77.5,85,90x,85,125,132.5x,135x,125,195,205,210x,205
M,87,Peter,Buck,,DE,82.7,,competed,,22.5,27.5x,27.5x,22.5,65,72.5,75x,72.5,105,112.5,117.5,117.5,200,215,230x,215
M,87,Blaise,Giris,,BE,,0,no_show,,,,,,,,,,,,,,,,,
M,87,Lukas,Kraßnitzer,,DE,86.2,,competed,,20,25,27.5x,25,62.5,72.5,75,75,100,112.5,120,120,192.5,205,210,210
M,87,Francisco,Müller Zurita,,DE,83.5,,competed,,17.5,22.5x,25x,17.5,65,70,73.75,73.75,90,100x,100x,90,200,210,220,220
M,87,Jacques Daryl,Ndongo,,FR,84.7,,competed,,15,20,21.25x,20,70,75,77.5x,75,115x,125,130,130,215,225,235,235
M,87,Daniel,Schreiblehner,,AT,86.2,,competed,,15x,15,22.5,22.5,50,65,71.25x,65,100,110,115,115,75,125,155,155
M,87,Fabian,Vorberg,,DE,84.39,,competed,,15,20,25,25,67.5,73.75,77.5,77.5,105,117.5,122.5,122.5,200,212.5x,220,220
M,87,Timo,Wunnenberg,,DE,86.2,,competed,,27.5,32.5,35,35,75,92.5,103,103,120,130,135,135,220,235,250,250
M,94,Alexander,Kleivene,,NO,91.5,,competed,,0x,0,5x,0,50,55x,55,55,95,105,110x,105,230,245,255x,245
M,94,,Leon,,DE,,0,no_show,,,,,,,,,,,,,,,,,
M,94,Jonas,Mees,,BE,93.12,,competed,,10,15,17.5,17.5,55,62.5,67.5,67.5,125,135x,135x,125,260,277.5,287.5x,277.5
M,94,Christian,Zöller,,DE,92.82,,competed,,20,25x,25x,20,70,77.5,80,80,120,130,133.75x,130,220,235,245x,235
M,101,Christopher,Jähn,,DE,96.5,,competed,,17.5,22.5,26.25,26.25,82.5,92.5,97.5,97.5,125,135,142.5x,135,260,280x,280x,260
M,101,Alex,Naperkowski,,DE,96.78,,competed,,17.5,22.5,25,25,62.5,75,80,80,130,141.25,146.25x,141.25,220,230,240x,230
M,101,Arsenij,Shunevych,,DE,96.51,,competed,,10,20x,20x,10,70,80x,82.5,82.5,140,155,160x,155,210,225x,225x,210
M,101+,Aun,Evensen,,NO,105.27,,competed,,0,5x,5,5,50,55,60,60,125x,125,140x,125,190,205,210,210
F,57,Layla-Jona,Bake,,DE,56.7,,competed,,17.5,21.25x,21.25,21.25,30,35,37.5x,35,50,55,60x,55,115,120,127.5,127.5
F,57,Eleni,Christinaki,,GR,56.8,,competed,,0,5x,7.5,7.5,27.5,33.75,36.25,36.25,50,55,60x,55,115x,120,125,125
