Sex,WeightClassKg,FirstName,LastName,Disambiguation,Country,BodyweightKg,Ris,Status,StatusReason,MuscleUp1Kg,MuscleUp2Kg,MuscleUp3Kg,BestMuscleUpKg,PullUp1Kg,PullUp2Kg,PullUp3Kg,BestPullUpKg,Dips1Kg,Dips2Kg,Dips3Kg,BestDipsKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg
M,66,Mauro,Franklim,,PT,,80.22,competed,,12.5x,12.5,15x,12.5,55,65,67.5x,65,65,75,80,80,180,206x,206x,180
M,66,Guilherme,Lourenço,,PT,,69.82,competed,,7.5x,7.5x,7.5,7.5,40,50,60x,50,55,65,70,70,150x,160,165x,160
M,66,André,Oliveira Santos,,PT,,79.19,competed,,10,13.75,16.25,16.25,42.5,50,53.75,53.75,70,80,87.5x,80,160,172.5,180,180
M,66,Lourenço,Paixão,,PT,,78.4,competed,,20,22.5,25,25,60,65x,67.5x,60,80,85,90x,85,135,140x,140,140
M,66,André,Sousa,,PT,,89.06,competed,,15,17.5x,17.5,17.5,55,63x,63,63,105,115x,115,115,160,167.5,174,174
M,73,Rafael Rodrigues,da Costa,,PT,,78.44,competed,,5,10,15,15,55,60,65x,60,85,95,100,100,165,170x,172.5,172.5
M,73,Miguel,Guerreiro,,PT,,86.2,competed,,26.25x,31.25,33.75,33.75,72.5,80,85x,80,105,113.75,118.75,118.75,140,150,155,155
M,73,Tom,Guilpin,,FR,,75.92,competed,,15,17.5,21.25,21.25,50,55,60,60,80,85,90,90,155,162.5,170,170
M,73,Yanis,Hadjarab,,FR,,101.43,competed,,25,30,32.5,32.5,77.5,82.5,86.25,86.25,130,137.5x,140,140,200,210,215x,210
M,73,Henrique,Nascimento,,PT,,107.61,competed,,32.5,36.25,38.5,38.5,87.5,92.5,96.5,96.5,135,140x,140,140,195,207.5,212.5x,207.5
M,73,Márcio,Oliveira,,PT,,75.62,competed,,10x,12.5,17.25x,12.5,62x,70,75x,70,92,102,107,107,147,158.5,163x,158.5
M,73,Abdulwahab,Othman Boresli,,KW,,62.03,competed,,7.5,12.5x,12.5,12.5,45,55,60,60,65,70,77.5,77.5,120,130,132.5,132.5
M,73,João,Pedro Oliveira,,PT,,76.52,competed,,21.25,26.25x,26.25x,21.25,62.5,67.5,70x,67.5,85,92.5,95x,92.5,140,150,157.5,157.5
M,80,Eric,Altarriba Coronado,,ES,,85.99,competed,,25,27.5,30x,27.5,75,80,81.5,81.5,90,90x,,90,210,217.5,225,225
M,80,Yousef,Alterkait,,KW,,73.5,competed,,15,20,25x,20,60,67.5,71.25x,67.5,90,105,115x,105,150,160,162.5x,160
M,80,Filipe,Braga,,PT,,96.8,competed,,35,37.5,39x,37.5,85,92.5x,95,95,125,135x,135x,125,210,220,226x,220
M,80,Matteo,Cerbone,,IT,,91.44,competed,,30,32.5,33.75x,32.5,72.5,77.5x,80x,72.5,115,122.5x,122.5x,115,220,230,232.5x,230
M,80,Francois,Conreur,,BE,,95.73,competed,,30,33.75,35x,33.75,85,91,92.25x,91,135,142.5,147.5,147.5,195,200,205x,200
M,80,Julien,Descaillot,,FR,,80.01,competed,,15,17.5,20x,17.5,60,65,70,70,112.5,116.25x,116.25,116.25,175,182.5,190,190
M,80,Diogo,Pacheco,,PT,,85.18,competed,,10,15,20,20,50,60,65,65,105,110,110x,110,210,220,225,225
M,80,Benoit,Pataux,,PT,,69.69,competed,,20,25,26.25x,25,67.5,70,72.5x,70,85,90,92.5x,90,142.5,150,155,155
M,80,Alfra,Teixeira,,PT,,89.25,competed,,16.25,18.75x,18.75x,16.25,60,65,67.5x,65,115,125,127.5x,125,210,220,222.5,222.5
M,87,Marc,Altarriba Coronado,,ES,,105.28,competed,,25,30,32.5x,30,70,80,85x,80,155x,170,183x,170,240,260,270,270
M,87,Bruno,Betcancourt Carreño,,PT,,78.39,competed,,20,24x,24x,20,50,55,60x,55,90,100,105x,100,205x,215,225,225
M,87,Yannis,Cros,,CH,,78.77,competed,,13.75,17.5x,17.5,17.5,67.5,72.5,76.25,76.25,107.5,112.5,115x,112.5,190,200,207.5x,200
M,87,Baptistin,Culot,,BE,,50.59,disqualified,Bombed the muscle-up,0x,0x,0x,,37.5,42.5,45x,42.5,65,70,73.75x,70,135,142,150,150
M,87,Tony,D'Agostino,,IT,,107.09,competed,,25,30,31.25x,30,80,90,95,95,120,130,130x,130,275,290,300,300
M,87,Marcelo,Queirós,,PT,,78.03,competed,,20,22.5,25x,22.5,65,70,72.5x,70,90,95,100x,95,195,202.5,212.5x,202.5
M,87,Amaro,Santos,,PT,,76.44,competed,,15,20,23.75,23.75,55,65,70x,65,100,110x,110x,100,180,200,215x,200
M,94,Manuel,Campanário,,PT,,66.91,competed,,15,21.25,23.75x,21.25,45,55,60,60,65,75,85,85,155,170,185,185
M,94,Dinis,Coimbra,,PT,,76.72,competed,,10,15,17.5,17.5,55,65,72.5,72.5,85,95,100,100,180,200,215,215
M,94,Loïck,Pipolo,,CH,,79.71,competed,,23.75,28.75,33.75,33.75,70,77.5,82.5,82.5,117.5,127.5,130x,127.5,172.5,182.5,190x,182.5
M,94,Robin,Pittia,,BE,,97.09,competed,,15,20,22.5,22.5,67.5,72.5x,72.5x,67.5,142.5,152.5,160,160,255,267.5,276x,267.5
M,94,Fábio,Silva,,PT,,76.22,competed,,15,17.5x,20x,15,65x,65x,65,65,120x,120,130,130,160,170,195,195
M,94,,Sofien,,PT,,48.83,competed,,0,2.5x,2.5x,0,32.5,37.5x,37.5,37.5,75x,75,82.5,82.5,122.5,130,137.5,137.5
