Sex,WeightClassKg,FirstName,LastName,Disambiguation,Country,BodyweightKg,ReportedRis,TotalKg,Status,StatusReason,ReportedRisEdition,MuscleUp1Kg,MuscleUp2Kg,MuscleUp3Kg,BestMuscleUpKg,PullUp1Kg,PullUp2Kg,PullUp3Kg,BestPullUpKg,Dips1Kg,Dips2Kg,Dips3Kg,BestDipsKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg
M,66,Martin,Do Thanh Nguyen,,,63.7,74.35,295,competed,,2024,,,,20,,,,50,,,,80,,,,145
M,66,Tristan,Gautier,,,65.5,81.73,332.5,competed,,2024,,,,12.5,,,,52.5,,,,90,,,,177.5
M,66,Nicolas,Huy,,,66,86.05,352.5,competed,,2024,,,,20,,,,65,,,,87.5,,,,180
M,66,Anderson,Kouadio,,,63.45,94.21,372.5,competed,,2024,,,,27.5,,,,72.5,,,,107.5,,,,165
M,66,Ronan,Pouillot,,,66,91.23,373.75,competed,,2024,,,,25,,,,76.25,,,,105,,,,167.5
M,66,Mathis,Rama,,,63.05,81.69,321.25,competed,,2024,,,,11.25,,,,55,,,,95,,,,160
M,73,Leonard,Bloch,,,69.4,82.7,355,competed,,2024,,,,25,,,,65,,,,92.5,,,,172.5
M,73,Grégoire,Boudon,,,71.8,83.83,371.25,competed,,2024,,,,20,,,,65,,,,116.25,,,,170
M,73,Thavisay,Chanthaboun,,,73.05,100.05,450,competed,,2024,,,,22.5,,,,75,,,,132.5,,,,220
M,73,Baptiste,Leban,,,72.55,75.78,338.75,competed,,2024,,,,18.75,,,,47.5,,,,92.5,,,,180
M,73,Alexandre,Pinson,,,72.8,81.4,365,competed,,2024,,,,15,,,,70,,,,105,,,,175
M,73,Etienne,Sahel,,,70.8,93.77,410,competed,,2024,,,,22.5,,,,70,,,,107.5,,,,210
M,73,Martin,Thomas,,,71.9,95.56,423.75,competed,,2024,,,,28.75,,,,80,,,,115,,,,200
M,80,Timothée,Ducoulombier,,,79.4,74.08,356.25,competed,,2024,,,,16.25,,,,60,,,,120,,,,160
M,80,Paul,Joignant,,,78.8,87.82,420,competed,,2024,,,,22.5,,,,75,,,,115,,,,207.5
M,80,Clovis,Lévêque,,,80,79.91,386.25,competed,,2024,,,,15,,,,71.25,,,,122.5,,,,177.5
M,80,Jean-Rodrigue,Perle,,,78.7,99.41,475,competed,,2024,,,,35,,,,95,,,,135,,,,210
M,80,Théo,Pinettes,,,79.2,68.75,330,competed,,2024,,,,7.5,,,,62.5,,,,80,,,,180
M,80,Faris,Taieb,,,79.9,85.93,415,competed,,2024,,,,20,,,,65,,,,115,,,,215
M,80,Clément,Vysavat,,,79.3,83.26,400,competed,,2024,,,,22.5,,,,62.5,,,,140,,,,175
M,87,Fabio,Abguillerm,,,86,80.34,405,competed,,2024,,,,20,,,,75,,,,115,,,,195
M,87,Mathieu,Bourgeois,,,83.5,88.63,440,competed,,2024,,,,26.25,,,,68.75,,,,140,,,,205
M,87,Yanis,Capitolin,,,85.3,89.62,450,competed,,2024,,,,27.5,,,,80,,,,125,,,,217.5
M,87,Enzo,Chartier,,,85.5,93.5,470,competed,,2024,,,,22.5,,,,76.25,,,,141.25,,,,230
M,87,Olivier,Duvillage,,,86.8,73.08,370,competed,,2024,,,,20,,,,70,,,,110,,,,170
M,87,Léo,Gemon,,,86.8,77.52,392.5,competed,,2024,,,,20,,,,70,,,,90,,,,212.5
M,87,Timothée,Merandon,,,84.9,79.86,400,competed,,2024,,,,20,,,,65,,,,115,,,,200
M,87,Nicolas,Poignant,,,86.9,87.11,441.25,competed,,2024,,,,15,,,,73.75,,,,120,,,,232.5
M,94,Ludovic,Adigery,,,90.5,102.08,525.5,competed,,2024,,,,35,,,,120.5,,,,150,,,,220
M,94,José,D'Almeida,,,93.4,87.52,455,competed,,2024,,,,25,,,,85,,,,125,,,,220
M,94,Adrien,Pelfresne,,,89.8,63.79,327.5,competed,,2024,,,,7.5,,,,60,,,,85,,,,175
M,94,Mamadou,Souare,,,89.4,78.78,403.75,competed,,2024,,,,18.75,,,,67.5,,,,92.5,,,,225
M,94+,Farouk,L,,,109.6,,,disqualified,Bombed muscle-up,,,,,,,,,,,,,,,,,
F,52,Feriel,Mesrour,,,52.1,85.47,182.5,competed,,2024,,,,7.5,,,,37.5,,,,60,,,,77.5
F,57,Marion,Canipel,,,53.9,110.77,243.75,competed,,2024,,,,11.25,,,,45,,,,50,,,,137.5
F,57,Alicia,Chaabi,,,55.7,57.13,129,competed,,2024,,,,0.25,,,,20,,,,26.25,,,,82.5
F,63,Sarah,Folliard,,,59.9,73.95,173.75,competed,,2024,,,,8.75,,,,21.25,,,,43.75,,,,100
F,63,Chloé,Rossignol,,,60.9,81.99,193.75,competed,,2024,,,,3.75,,,,26.25,,,,43.75,,,,120
F,70,Imane,Moussaïd,,,67.7,82.07,197.5,competed,,2024,,,,3.75,,,,26.25,,,,40,,,,127.5
F,70,Eliza,Puech,,,65.6,88.56,212.5,competed,,2024,,,,7.5,,,,27.5,,,,47.5,,,,130
F,70,Adeline,Rochereux,,,67.7,68.67,165.25,competed,,2024,,,,0.25,,,,12.5,,,,22.5,,,,130
