Sex,WeightClassKg,FirstName,LastName,Disambiguation,Country,BodyweightKg,Ris,Status,StatusReason,MuscleUp1Kg,MuscleUp2Kg,MuscleUp3Kg,BestMuscleUpKg,PullUp1Kg,PullUp2Kg,PullUp3Kg,BestPullUpKg,Dips1Kg,Dips2Kg,Dips3Kg,BestDipsKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg
M,66,Cyril,Brau,,FR,,99.72,competed,,22.5,25,26.25,26.25,60,65,67.5x,65,110x,115,118.75x,115,190,195,200,200
M,66,Corentin,Goulmy,,FR,,96.04,competed,,21.25,26.25x,27.5x,21.25,63.75,68.75,71.25,71.25,92.5,98.75x,98.75,98.75,185,195,200,200
M,66,Anderson,Kouadio,,FR,,87.93,competed,,20,25x,25x,20,65,71.25x,71.25x,65,95,100,106.25,106.25,150x,155,162.5,162.5
M,66,Romain,Lardin,,FR,,93.28,competed,,20,25,27.5,27.5,52.5,58.75,65,65,107.5x,115,117.5x,115,150,160,172.5,172.5
M,66,Ankidini,Moirabou,,FR,,94.97,competed,,12.5,17.5,20x,17.5,52.5,61.25x,61.25x,52.5,85,93.75,100,100,195,207.5,210.5,210.5
M,66,Armand,Petit,,FR,,87.45,competed,,12.5,16.25,20x,16.25,55,60,65,65,95x,101.25,110,110,160x,165,175x,165
M,66,Ronan,Pouillot,,FR,,91.84,competed,,22.5,27.5,30,30,70,77.5,80x,77.5,97.5,105,108.75,108.75,155,160,165x,160
M,66,Colas,Tabot,,FR,,87.63,competed,,12.5,15,20x,15,55,62.5,65x,62.5,100,110x,112.5x,100,170,180x,180,180
M,73,Yohann,Capdeville,,FR,,107.53,competed,,27.5,32.5,35,35,75,81.25,85,85,130x,135,141.25,141.25,197.5,210,215,215
M,73,Thavisay,Chanthaboun,,FR,,98.79,competed,,20x,23.75x,23.75,23.75,70,76.25x,76.25,76.25,120x,120,135x,120,200,212.5,223,223
M,73,Enzo,Ingrassia,,FR,,97.25,competed,,18.75,22.5,27.5,27.5,52.5,60,62.5x,60,105,115,120,120,212.5,222.5,227.5,227.5
M,73,Julien,Le Niou,,FR,,96.61,competed,,15x,22.5x,25,25,60,70,75x,70,110,120,125,125,200,210,220x,210
M,73,Ali,Lessig,,FR,,101.79,competed,,27.5,31.25,33.75,33.75,82.5,87.5,90,90,107.5,113.75,116.25,116.25,200,212.5,220x,212.5
M,73,Cédric,Percheminier,,FR,,94.11,competed,,18.75,22.5,25,25,52.5,57.5,62.5x,57.5,120,125,130,130,210,220x,228x,210
M,73,Johan,Sanon,,FR,,111.62,competed,,27.5,33.75,36.25x,33.75,80,85,88.75x,85,147.5,150,158,158,205,215,225,225
M,73,Martin,Thomas,,FR,,96.66,competed,,20,25,27.5x,25,75,80,82.5,82.5,110,120,127.5,127.5,195x,200x,200,200
M,80,Loan,Bernard-Bodier,,FR,,80.35,competed,,17.5,22.5,23.75x,22.5,65,72.5,76.25x,72.5,115,125x,125x,115,165,172.5,175x,172.5
M,80,Paul,Joignant,,FR,,13.67,disqualified,"Bombed the muscle-up, the dips and the squat",18.75x,18.75x,18.75x,,65,67.5x,67.5x,65,115x,115x,115x,,205x,205x,205x,
M,80,Winess,Lakhnati,,FR,,95.42,competed,,15,17.5,20,20,60,65,66.25x,65,130x,135x,135,135,220,230,232.5,232.5
M,80,Jean-Rodrigue,Perle,,FR,,103.45,competed,,30,35,37.5,37.5,90,95,100x,95,132.5,140,143.75x,140,210,220,227.5x,220
M,80,Nicolas,Routier-Scappucci,,FR,,94.18,competed,,28.75,32.5,35,35,78.75,82.5,86.25,86.25,107.5,115,120x,115,205,215x,215,215
M,80,Faris,Taieb,,FR,,88.86,competed,,17.5,21.25,23.75x,21.25,62.5,66.25,68.75,68.75,115,120,122.5x,120,205x,215,222.5x,215
M,80,Raul,Teslavici,,FR,,109.74,competed,,40,45,47.5x,45,95,100,105,105,132.5,137.5,142.5x,137.5,230,242.5,252.5x,242.5
M,80,Clément,Vysavat,,FR,,0,no_show,,,,,,,,,,,,,,,,,
M,87,Max,Amblard,,FR,,93.38,competed,,20,25,30,30,65,72.5,77.5x,72.5,105,120,125x,120,250.5,267.5x,278x,250.5
M,87,,Amir,,FR,,98.69,competed,,20,25,27.5x,25,90,95,96.25,96.25,127.5,135,136.25x,135,220,235x,235,235
M,87,Mathieu,Bourgeois,,FR,,89.64,competed,,20x,20,25,25,65,70,72.5x,70,130,140,150x,140,190,200,210,210
M,87,Yanis,Capitolin,,FR,,89.12,competed,,25x,27.5x,27.5,27.5,77.5,81.25x,81.25,81.25,120,130,135x,130,210,220x,220x,210
M,87,Enzo,Chartier,,FR,,99.52,competed,,17.5,22.5,25,25,67.5,75,78.75,78.75,135,145,151.25,151.25,232.5,245,255x,245
M,87,Clément,Leguis,,FR,,81.32,competed,,5x,10,12.5,12.5,45,55,62.5x,55,100,112.5,122.5x,112.5,200x,215,220,220
M,87,Lucien,Memery,,FR,,93.48,competed,,20,23.75,26.25x,23.75,70,75,80,80,120,130,135,135,220,225,235,235
M,87,,Merat,,FR,,90.62,competed,,31.25,36.25,40,40,80,85,90x,85,132.5,140,145x,140,190,200x,200x,190
M,87,Nico,Statham,,FR,,88.52,competed,,12.5x,15,20x,15,65,71.25,75,75,115,121.25,122.5x,121.25,220,235,245x,235
M,94,Maxence,Bekima,,FR,,83.32,competed,,17.5,22.5,25,25,75,80,85x,80,100,106.25,110x,106.25,200,210,220,220
M,94,Tom,Berthier,,FR,,51.11,disqualified,Bombed the squat,25,30,35x,30,85,90,95x,90,145,155x,155x,145,230x,230x,235x,
M,94,José,D'Almeida,,FR,,0,no_show,,,,,,,,,,,,,,,,,
M,94,Alix,Davy,,FR,,95.51,competed,,22.5,27.5,31.25,31.25,82.5,92.5,96.25x,92.5,135x,145x,145,145,210,222.5,227.5,227.5
M,94,Victor,Dierckens,,FR,,84.47,competed,,10,15x,17.5,17.5,60,67.5,70,70,100,115,115x,115,210,220,235,235
M,94,Jérémy,François,,FR,,80.46,competed,,15,20x,20,20,60x,60,65,65,125,130,132.5x,130,190,200,205x,200
M,94,Alexis,Gitton,,FR,,85.54,competed,,7.5,12.5,17.5x,12.5,60,67.5,72.5,72.5,90,100,102.5,102.5,230,245,252.5,252.5
M,94,Aghiles,Hamiti,,DZ,,94.06,competed,,20,26.25x,26.25,26.25,62.5,71.25,77.5,77.5,132.5,145,151.25,151.25,207.5,225,235,235
M,101,Christian Kevin,Bikai,,CM,,98.91,competed,,10,17.5,22.5,22.5,70,77.5,81.25,81.25,150,160,165x,160,240,255x,255,255
M,101,Etienne,Guillou,,FR,,82.52,competed,,1.25,2.5x,2.5,2.5,52.5,60,66.25,66.25,115,132.5x,132.5x,115,250,280x,300x,250
M,101,Killian,Lopez-Rua,,FR,,77.46,competed,,15,20,25x,20,65,70,75x,70,115x,115,120x,115,180,190,200,200
M,101,Mike,Tintin,,FR,,94.62,competed,,10,15,17.5x,15,60x,65,75,75,130,150,162.5x,150,240,260,280x,260
M,101+,,Frukito,,FR,,101.69,competed,,10,20,25,25,80,90,95,95,130,150,160,160,230,250,260,260
F,52,Maissa,Bourouis,,FR,,95.17,competed,,11.25,15,17.5x,15,28.25x,30,33.75x,30,47.5,51.25x,51.25x,47.5,110,115x,115x,110
F,52,Ludivine,Compain,,FR,,121.35,competed,,10,13.75,16.25,16.25,30,35,36.25,36.25,55,61.25,65,65,127.5,132.5,137.5,137.5
F,52,Clara,Torriani,,FR,,98.96,competed,,5,7.5,10,10,25,30,32.5,32.5,45,50,51.25x,50,105,110,112.5,112.5
F,57,Marion,Canipel,,FR,,114.56,competed,,10,13.75,16.25,16.25,37.5,42.5,45x,42.5,47.5,53.75,55x,53.75,125,132.5,140,140
F,57,Mariane,Dupas,,FR,,89.25,competed,,5,10,12.5,12.5,20,23.75,26.25,26.25,45,50,55,55,100,110,112.5x,110
F,57,Louane,Emond,,FR,,90.88,competed,,5x,6.25x,6.25,6.25,27.5,31.25,35,35,42.5,47.5,50,50,105,112.5,115,115
F,57,Coralie,Goedaer Dupas,,FR,,84.92,competed,,3.75,6.25,8.75,8.75,25,30,33.75,33.75,32.5,37.5,40,40,100,105,110,110
F,57,Lô-Anne,Jean-Baptiste,,FR,,0,no_show,,,,,,,,,,,,,,,,,
F,57,Salomé,Leray,,FR,,80.03,competed,,10,13.75,15,15,21.25,25,26.25x,25,36.25x,42.5,45,45,85,90,95x,90
F,57,Lauriane,Mahait,,FR,,78,competed,,1.25,3.75x,3.75,3.75,17.5,20,22.5x,20,28.75,32.5,36.25,36.25,105,110,115x,110
F,57,,Marine,,FR,,0,no_show,,,,,,,,,,,,,,,,,
F,57,Margaux,Sanchez,,FR,,119.78,competed,,17.5,21.25,23.75x,21.25,40,43.75,45,45,67.5,72.5,76.25x,72.5,130,135,137.5x,135
