Sex,WeightClassKg,FirstName,LastName,Disambiguation,Country,BodyweightKg,ReportedRis,TotalKg,Status,StatusReason,ReportedRisEdition,MuscleUp1Kg,MuscleUp2Kg,MuscleUp3Kg,BestMuscleUpKg,PullUp1Kg,PullUp2Kg,PullUp3Kg,BestPullUpKg,Dips1Kg,Dips2Kg,Dips3Kg,BestDipsKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg
M,66,Badr,Abaz,,FR,65.4,77.2,325,competed,,,,,,20,,,,65,,,,90,,,,150
M,66,Mattéo,Draghi,,FR,65.5,79.2,333.75,competed,,,,,,17.5,,,,57.5,,,,101.25,,,,157.5
M,66,Louis,Dupas,,FR,65.5,87.5,368.75,competed,,,,,,23.75,,,,67.5,,,,100,,,,177.5
M,66,Thomas,Gerbaud,,FR,64.6,90.3,376.25,competed,,,,,,25,,,,71.25,,,,105,,,,175
M,66,Yann,Izard,,FR,65.5,87.5,368.75,competed,,,,,,13.75,,,,57.5,,,,97.5,,,,200
M,66,Malo,Lamielle,,FR,64.9,65.8,275,competed,,,,,,18.75,,,,60,,,,86.25,,,,110
M,66,Franck,da Silva,,FR,64.6,90,375,competed,,,,,,20,,,,65,,,,115,,,,175
M,73,Elouan,Beghin,,FR,72.9,86,400,competed,,,,,,20,,,,60,,,,120,,,,200
M,73,Léonard,Bloch,,FR,70.7,87.3,395,competed,,2025,,,,25,,,,71.25,,,,108.75,,,,190
M,73,Damien,Camille,,FR,73.7,37.8,,disqualified,,2025,,,,10,,,,52.5,,,,115,,,,
M,73,Baptiste,Delacourt,,FR,72.2,78.6,362.5,competed,,,,,,0,,,,60,,,,107.5,,,,195
M,73,Théo,Langard,,FR,72.6,92.2,427.5,competed,,,,,,27.5,,,,80,,,,117.5,,,,202.5
M,73,Maxence,Reverdy,,FR,73.1,91.4,426.25,competed,,,,,,30,,,,76.25,,,,120,,,,200
M,80,Tristan,Carrel,,FR,79.6,70.1,350,competed,,,,,,10,,,,65,,,,102.5,,,,172.5
M,80,Philippe,Clombe,,FR,77.5,80.1,392.5,competed,,,,,,30,,,,70,,,,115,,,,177.5
M,80,Stan,Cohéléach,,FR,76.5,88.7,430,competed,,,,,,27.5,,,,72.5,,,,127.5,,,,202.5
M,80,Sofian,Drancourt,,FR,79,97.6,485,competed,,,,,,30,,,,95,,,,145,,,,215
M,80,Raphaël,Ducastel,,FR,80,78.6,393.75,competed,,,,,,21.25,,,,72.5,,,,110,,,,190
M,80,Yanis,Regent,,FR,77.4,74.3,363.75,competed,,,,,,26.25,,,,67.5,,,,102.5,,,,167.5
M,80,Dorian,Youf,,FR,79.4,70.2,350,competed,,2025,,,,15,,,,62.5,,,,85,,,,187.5
M,87,Antonin,Chaussignant,,FR,83.3,83,426.25,competed,,2025,,,,23.75,,,,75,,,,112.5,,,,215
M,87,Adrien,Gomez,,FR,83.7,76.7,395,competed,,,,,,12.5,,,,67.5,,,,115,,,,200
M,87,Rayane,Lastab,,FR,84.5,73.9,382.5,competed,,,,,,20,,,,70,,,,112.5,,,,180
M,87,Kévin,Noslen,,FR,83.7,87.6,451.25,competed,,,,,,23.75,,,,82.5,,,,132.5,,,,212.5
M,87,Hugo,Poulet,,FR,85.4,76.9,400,competed,,,,,,10,,,,62.5,,,,115,,,,212.5
M,87,Enzo,Rauscher,,FR,83.7,83.5,430,competed,,,,,,25,,,,65,,,,130,,,,210
M,87,Clément,Vysavat,,FR,85.4,89.4,464.75,competed,,,,,,21.25,,,,65,,,,166,,,,212.5
M,94,Mehdi,Brahimi,,FR,92,72.1,385,competed,,,,,,11.25,,,,53.75,,,,117.5,,,,202.5
M,94,Sofian,Fournier,,FR,90.4,72.9,387.5,competed,,2025,,,,12.5,,,,65,,,,90,,,,220
M,94,Mamadou,Souare,,FR,93,88.9,476.25,competed,,2025,,,,23.75,,,,77.5,,,,115,,,,260
M,94,Mathéo,Vayrac,,FR,93.8,78,418.75,competed,,,,,,15,,,,62.5,,,,126.25,,,,215
F,57,Marie,Cantie,,FR,56.2,80.4,190,competed,,2025,,,,16.25,,,,33.75,,,,40,,,,100
F,57,Emilie,Ou,,FR,56.6,61.1,145,competed,,,,,,0,,,,20,,,,35,,,,90
F,63,Amélia,Jézéquel,,FR,63.1,81.7,207.5,competed,,,,,,0,,,,30,,,,45,,,,132.5
F,70+,Dorène,Iliev,,FR,72,91.8,243,competed,,,,,,6,,,,30,,,,57,,,,150
