Sex,WeightClassKg,FirstName,LastName,Disambiguation,Country,BodyweightKg,ReportedRis,TotalKg,Status,StatusReason,MuscleUp1Kg,MuscleUp2Kg,MuscleUp3Kg,BestMuscleUpKg,PullUp1Kg,PullUp2Kg,PullUp3Kg,BestPullUpKg,Dips1Kg,Dips2Kg,Dips3Kg,BestDipsKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg
M,66,Badr,Abaz,,FR,65.9,,21.25,competed,,21.25,25x,25x,21.25,,,,,,,,,,,,
M,66,Naïm,Chefirat,,FR,62.4,,27.5,competed,,25x,25,27.5,27.5,,,,,,,,,,,,
M,66,Isaac,Madi,,FR,63.45,,20,competed,,15,20,22.5x,20,,,,,,,,,,,,
M,66,Ewen,Maillard,,FR,65.5,,32.5,competed,,30,32.5,35x,32.5,,,,,,,,,,,,
M,66,Vladimir,Manoukian,,FR,65.5,,37.5,competed,,30x,35,37.5,37.5,,,,,,,,,,,,
M,66,Alexis,Serre,,FR,64.9,,36.25,competed,,33.75x,35x,36.25,36.25,,,,,,,,,,,,
M,73,Hugo,Bastos,,FR,72.4,,15,competed,,15,18.75x,20x,15,,,,,,,,,,,,
M,73,Matthias,Gisselbrecht,,FR,72.7,,26.25,competed,,20,23.75,26.25,26.25,,,,,,,,,,,,
M,73,Vincent,Mladovan,,FR,68.8,,20,competed,,17.5,20,22.5x,20,,,,,,,,,,,,
M,80,Alexandre,Carneiro Gomes,,FR,78.9,,28.75,competed,,21.25,25,28.75,28.75,,,,,,,,,,,,
M,80,Théo,Couespel,,FR,79.4,,45,competed,,40x,42.5,45,45,,,,,,,,,,,,
M,80,Romain,Leunis,,FR,77.4,,28.75,competed,,25x,27.5x,28.75,28.75,,,,,,,,,,,,
M,80,Owen,Offredi,,FR,84.2,,,disqualified,Exceeded weight-class limit,25,30,32.5x,30,,,,,,,,,,,,
M,80,Jean-Rodrigue,Perle,,FR,80,,45,competed,,37.5,40,45,45,,,,,,,,,,,,
M,87,David,Guiot,,FR,85.8,,30,competed,,25,30,35x,30,,,,,,,,,,,,
M,87,Antoine,Plumer,,FR,82.3,,31.25,competed,,27.5x,27.5,31.25,31.25,,,,,,,,,,,,
M,87,Matéo,Poiree,,FR,87.1,,30,competed,,25,27.5,30,30,,,,,,,,,,,,
M,87,Alexis,Seguin,,FR,86.8,,25,competed,,22.5x,25,28.75x,25,,,,,,,,,,,,
M,94,Ludovic,Adigery,,FR,91.3,,37.5,competed,,30,37.5,45x,37.5,,,,,,,,,,,,
M,94,Olivier,Duvillage,,FR,87.8,,25,competed,,15,20,25,25,,,,,,,,,,,,
M,94,Bakary,Fofana,,FR,88.2,,30,competed,,25,30,35x,30,,,,,,,,,,,,
M,94,Alexis,Gitton,,FR,89.5,,20,competed,,12.5,16.25,20,20,,,,,,,,,,,,
M,94,Matthias,Memheld,,FR,89.8,,15,competed,,15,20x,22.5x,15,,,,,,,,,,,,
M,94,Tiago,Pereira,,FR,93.8,,45,competed,,40x,45,50x,45,,,,,,,,,,,,
M,101,Emmanuel,Ndiaye,,FR,97.8,,7.5,competed,,1.25,5,7.5,7.5,,,,,,,,,,,,
M,101,Alexis,Soares,,FR,98.1,,22.5,competed,,17.5,22.5,27.5x,22.5,,,,,,,,,,,,
F,52,Emeline,Greverath,,FR,47.4,,,disqualified,Bombed muscle-up,5x,6.25x,7.5x,,,,,,,,,,,,,
F,52,Chloé,Le Bihan,,FR,51.1,,6.25,competed,,2.5,5,6.25,6.25,,,,,,,,,,,,
F,52,Jessica,Pereira,,FR,51.7,,18,competed,,13.75,18x,18,18,,,,,,,,,,,,
F,57,Marion,Canipel,,FR,54.9,,5,competed,,5,7.5x,10x,5,,,,,,,,,,,,
F,57,Alicia,Chaabi,,FR,55.9,,2.5,competed,,1.25x,1.25,2.5,2.5,,,,,,,,,,,,
F,57,Coralie,Goedaer Dupas,,FR,56.6,,13.75,competed,,7.5,10,13.75,13.75,,,,,,,,,,,,
F,57,Caroline,Tucoulu,,FR,55,,13.75,competed,,7.5,11.25,13.75,13.75,,,,,,,,,,,,
F,63,Luisa,Hall,,FR,63.1,,2.5,competed,,0.25,2.5,5x,2.5,,,,,,,,,,,,
F,63,Chloé,Rossignol,,FR,61.6,,5,competed,,5,8.75x,8.75x,5,,,,,,,,,,,,
F,70,Imane,Moussaïd,,FR,66.8,,13.75,competed,,7.5,12.5,13.75,13.75,,,,,,,,,,,,
F,70,Eliza,Puech,,FR,66.9,,13,competed,,6.25,10,13,13,,,,,,,,,,,,
F,70,Océane,Verdot,,FR,66.2,,10,competed,,7.5x,7.5,10,10,,,,,,,,,,,,
