Sex,WeightClassKg,FirstName,LastName,Disambiguation,Country,BodyweightKg,ReportedRis,Status,StatusReason,BodyweightSource,ReportedRisEdition,ReportedTotalKg,MuscleUp1Kg,MuscleUp2Kg,MuscleUp3Kg,BestMuscleUpKg,PullUp1Kg,PullUp2Kg,PullUp3Kg,BestPullUpKg,Dips1Kg,Dips2Kg,Dips3Kg,BestDipsKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg
M,66,Guillaume,Brossard,,FR,63.7,,competed,,reported,,225,,,,,,,,,,,,,,,,
M,66,Estebann,Gadeau,,FR,63.2,,competed,,reported,,285,,,,,,,,,,,,,,,,
M,66,Vincent,Gauthier,,FR,65.3,,competed,,reported,,296.25,,,,,,,,,,,,,,,,
M,66,Axel,Giorgi,,FR,63.2,,competed,,reported,,262.5,,,,,,,,,,,,,,,,
M,66,Tristan,Latteux,,FR,65.6,,competed,,reported,,283.75,,,,,,,,,,,,,,,,
M,66,Benjamin,Madre,,FR,64.6,,competed,,reported,,275,,,,,,,,,,,,,,,,
M,66,Hugo,Meillerais,,FR,64.4,,competed,,reported,,217.5,,,,,,,,,,,,,,,,
M,66,Evan,Rozier,,FR,65.7,,competed,,reported,,288.75,,,,,,,,,,,,,,,,
M,73,Remi,Boucka,,FR,72.7,,competed,,reported,,320,,,,,,,,,,,,,,,,
M,73,Matthieu,Jourdaine,,FR,72.4,,competed,,reported,,180,,,,,,,,,,,,,,,,
M,73,Camille,Leneguer,,FR,71.3,,competed,,reported,,275,,,,,,,,,,,,,,,,
M,73,Maxime,Lombard,,FR,71.9,,competed,,reported,,272.5,,,,,,,,,,,,,,,,
M,73,Armand,Petit,,FR,68.9,,competed,,reported,,340,,,,,,,,,,,,,,,,
M,80,Nathan,De Dona,,FR,76.3,,competed,,reported,,306.25,,,,,,,,,,,,,,,,
M,80,Justin,Guillot,,FR,78.2,,competed,,reported,,318.75,,,,,,,,,,,,,,,,
M,80,Mathéo,Lavrilloux,,FR,83,,competed,,reported,,265,,,,,,,,,,,,,,,,
M,80,Pierre,Le Roux,,FR,76.8,,competed,,reported,,290,,,,,,,,,,,,,,,,
M,80,Arnaud,Saland,,FR,75.2,,competed,,reported,,196.25,,,,,,,,,,,,,,,,
M,80,Jules,Sauzet,,FR,79.7,,competed,,reported,,340,,,,,,,,,,,,,,,,
M,80,Martin,Thomas,,FR,75.8,,competed,,reported,,430,,,,,,,,,,,,,,,,
M,87,Simon,Carriere,,FR,85.6,,competed,,reported,,371.25,,,,,,,,,,,,,,,,
M,87,Abdelmalek,Khabdani,,FR,85.3,,competed,,reported,,453.75,,,,,,,,,,,,,,,,
M,87,Quentin,Loiseau,,FR,84.3,,competed,,reported,,345,,,,,,,,,,,,,,,,
M,87,Gabin,Maillet,,FR,85.4,,competed,,reported,,372.5,,,,,,,,,,,,,,,,
M,87,Clément,Naulleau,,FR,,,no_show,,,,,,,,,,,,,,,,,,,,
M,87,Emile,Raguy,,FR,86.4,,competed,,reported,,310,,,,,,,,,,,,,,,,
F,52,Maëlys,Bodet,,FR,50.39,43.45,competed,,recovered,2024,90,,,,,,,,,,,,,,,,
F,57,Salomé,Leray,,FR,53.4,66.99,competed,,recovered,2024,146.25,,,,,,,,,,,,,,,,
F,57,Audrey,Morin,,FR,54.5,87.8,competed,,recovered,2024,195,,,,,,,,,,,,,,,,
F,57,Marinette,Seve,,FR,53.47,59.37,competed,,recovered,2024,129.75,,,,,,,,,,,,,,,,
F,63,Chloé,Keller,,FR,,,competed,,,,127.5,,,,,,,,,,,,,,,,
F,63,Louise,Raux,,FR,,,competed,,,,141.25,,,,,,,,,,,,,,,,
F,70,Maëlhen,Douillard,,FR,,,competed,,,,151.25,,,,,,,,,,,,,,,,
F,70,Éloise,Gaudin,,FR,,,competed,,,,136.25,,,,,,,,,,,,,,,,
F,70,Chloé,Schmitt,,FR,,,competed,,,,157.5,,,,,,,,,,,,,,,,
