Sex,WeightClassKg,FirstName,LastName,Disambiguation,Country,BodyweightKg,Ris,Status,StatusReason,MuscleUp1Kg,MuscleUp2Kg,MuscleUp3Kg,BestMuscleUpKg,PullUp1Kg,PullUp2Kg,PullUp3Kg,BestPullUpKg,Dips1Kg,Dips2Kg,Dips3Kg,BestDipsKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg
M,66,Cyril,Brau,,FR,,100.23,competed,,25,27.5x,27.5x,25,60,65,66.25x,65,115,122.5,127.5x,122.5,200,207.5,210,210
M,66,Thomas,Gerbaud,,FR,,100.04,competed,,25,30,33.75,33.75,70,75,80,80,100,105,110,110,180,190,197.5x,190
M,66,Florent,Geschlecht,,FR,,105.83,competed,,27.5,32.5,36.5,36.5,90,95,100x,95,120,127.5,132.5x,127.5,180,180,190,190
M,66,Romain,Lardin,,FR,,91.91,competed,,25,30,32.5,32.5,57.5,65,67.5x,65,112.5,112.5,112.5,112.5,160,170,175,175
M,66,Ankidini,Moirabou,,FR,,96.77,competed,,13.75,17.5,20,20,57.5x,60,62.5,62.5,95,103.75,106.25,106.25,202.5,211,212.5,212.5
M,66,Ronan,Pouillot,,FR,,89.85,competed,,27.5,32.5,33.75x,32.5,72.5,78.75,81.25,81.25,105,111.25x,111.25x,105,150,160,160,160
M,73,Thavisay,Chanthaboun,,FR,,97.16,competed,,18.75,18.75,23.75x,18.75,75,80,81.25x,80,130,137.5x,137.5x,130,210,220,230x,220
M,73,Lionel,Da Silva,,PT,,108.08,competed,,40,43.75x,45,45,85,91.25,93.75x,91.25,130,137.5,137.5x,137.5,212.5,220,227.5x,220
M,73,Donan,Ibrahim Claret,,DZ,,90.83,competed,,30,35x,35x,30,72.5,77.5,77.5,77.5,120,125,130x,125,185,192.5x,192.5x,185
M,73,Enzo,Ingrassia,,FR,,103.05,competed,,22.5,27.5,32.5,32.5,57.5,66.25,70,70,115x,122.5,130,130,225,235,240,240
M,73,Théo,Langard,,FR,,99.81,competed,,30,35,40x,35,77.5,82.5,86.25,86.25,115,120,125x,120,205,212.5,217.5x,212.5
M,73,Maxence,Reverdy,,FR,,95.18,competed,,26.25,30,32.5x,30,72.5,77.5,80x,77.5,112.5,122.5,130x,122.5,185,197.5,207.5,207.5
M,80,Stan,Cohéléach,,FR,,94.24,competed,,25,27.5,30,30,62.5,72.5,76.25,76.25,125,132.5,137.5x,132.5,200,212.5,217.5,217.5
M,80,Georges,Louvel,,FR,,98.92,competed,,18.75,23.75,27.5,27.5,70,76.25,80x,76.25,127.5,135,140x,135,230,245,250.5x,245
M,80,Jean-Rodrigue,Perle,,FR,,104.65,competed,,37.5,41.25,45x,41.25,97.5,102.5,105,105,136.25x,140,145,145,212.5,220,225,225
M,80,Maxime,Poitevin,,FR,,107.11,competed,,22.5,26.25,26.25,26.25,86.25,92.5,96.25,96.25,140,150,152.5x,150,235,242.5,245,245
M,80,Faris,Taieb,,FR,,91.65,competed,,20,25,25,25,65,71.25,75x,71.25,120,125,127.5x,125,225x,230,235x,230
M,87,Max,Amblard,,FR,,94.88,competed,,20,25,25,25,70,76.25,78.75,78.75,110x,117.5,123.75,123.75,255,265,275x,265
M,87,Enzo,Chartier,,FR,,102.11,competed,,20,25,27.5,27.5,75,80,85,85,140,150,155,155,242.5,255,262.5,262.5
M,87,Aubin,Chevillard,,FR,,108.67,disqualified,,41.25,45,48.75x,45,100,105,108.75,108.75,150,158.75,163.75x,158.75,212.5,222.5,227.5,227.5
M,87,Sofian,Drancourt,,FR,,95.1,competed,,20,21.25,27.5,27.5,80,85,90,90,122.5,130,135,135,210,220,230,230
