Sex,WeightClassKg,FirstName,LastName,Disambiguation,Country,BodyweightKg,Ris,Status,StatusReason,MuscleUp1Kg,MuscleUp2Kg,MuscleUp3Kg,BestMuscleUpKg,PullUp1Kg,PullUp2Kg,PullUp3Kg,BestPullUpKg,Dips1Kg,Dips2Kg,Dips3Kg,BestDipsKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg
M,66,Badr,Abaz,,FR,65.75,,competed,,15,20,23.75x,20,55,62.5x,62.5x,55,80,90,95x,90,150,160x,160x,150
M,66,Malo,Lamielle,,FR,65.2,,competed,,17.5,20x,20x,17.5,55,65x,65x,55,80,85,90,90,125,127.5,135,135
M,66,Florian,Serdobbel,,FR,65.8,,competed,,15,20,21.25x,20,50,57.5,60,60,70,80,85,85,150,160x,160x,150
M,66,David,Tejeda,,FR,64.5,,competed,,1.25x,1.25,6.25,6.25,30,40,50,50,40,60,70x,60,107.5,115x,115,115
M,73,Hugo,Bastos,,FR,72.4,,competed,,13.75,16.25,18.75,18.75,60,65,70x,65,87.5,93.75,100,100,155,165,170,170
M,73,Elouan,Beghin,,FR,72.1,,competed,,18.75,22.5,26.25,26.25,55,62.5,65x,62.5,110,117.5,122.5x,117.5,190,200,207.5,207.5
M,73,Leonard,Bloch,,FR,73,,competed,,21.25,23.75,26.25,26.25,62.5,70,72.5,72.5,100,107.5,111.25,111.25,190,200,202.5x,200
M,73,Alban,Dias,,FR,72.8,,competed,,6.25,10,13.75,13.75,45,50,55,55,85,92.5,100x,92.5,125,132.5,140,140
M,73,Epiphanie,Nakavoua,,FR,72.2,,competed,,20,25x,25,25,70,80x,80,80,110x,110,120,120,130,140,160x,140
M,73,Mohamed Amine,Romdhane,,FR,72.2,,competed,,10,15,20x,15,45,52.5x,52.5,52.5,67.5,72.5,80x,72.5,100,110,120x,110
M,73,Rémi,Roussel,,FR,69,,competed,,7.5,10,12.5,12.5,40,45,50x,45,85,90,92.5x,90,130,135x,135,135
M,73,Etienne,Sahel,,FR,72.2,,competed,,16.25,21.25,25x,21.25,63.75,68.75,71.25,71.25,101.25,107.5,110x,107.5,200,212.5,217.5,217.5
M,73,Ly-Thibaut,Yauy,,FR,72.5,,competed,,17.5,21.25,25x,21.25,60,67.5,71.25,71.25,112.5,121.25,130x,121.25,185,197.5x,205x,185
M,80,Nassim,Akeb,,FR,75.6,,competed,,22.5,27.5,30x,27.5,62.5,70,72.5,72.5,87.5,95,100x,95,205,212.5,215x,212.5
M,80,Samuel,Ciprin,,FR,79,,competed,,28.75,32.5,35x,32.5,75,81.25,83.75,83.75,115,123.75,130,130,185,192.5,200x,192.5
M,80,Ruben,Dutoict,,FR,78.3,,competed,,20,25,27.5,27.5,70,75,77.5,77.5,110,115,117.5,117.5,175,185,190x,185
M,80,Jojo,Kpadenou,,FR,79,,disqualified,Bombed squat,10,15x,15,15,50,52.5,55x,52.5,80,90x,90x,80,170x,170x,170x,
M,80,Alexandre,Leconte,,FR,77.9,,competed,,10,15,17.5,17.5,62.5,67.5,70,70,92.5,100,102.5,102.5,162.5,172.5,180x,172.5
M,80,Clément,Leguis,,FR,76.7,,competed,,10,15,20x,15,50,55,60,60,110,120,125,125,210,222.5,227.5x,222.5
M,80,Clovis,Leveque,,FR,79.8,,competed,,17.5,21.25,23.75,23.75,65,70,73.75,73.75,117.5,127.5,132.5x,127.5,185,195,202.5,202.5
M,80,Esteban,Lopez,,FR,79,,competed,,20,25x,25x,20,72.5,77.5,81.25x,77.5,125,130x,130,130,220,230,240x,230
M,80,Maxime,Miotla,,FR,78.4,,disqualified,Bombed muscle-up,15x,15x,15x,,55,60x,65x,55,70,80,87.5,87.5,155,162.5,170x,162.5
M,80,Yanis,Regent,,FR,78.9,,competed,,18.75,22.5,27.5x,22.5,65,70,75x,70,100,107.5,111.25,111.25,165,172.5,180x,172.5
