Sex,WeightClassKg,FirstName,LastName,Disambiguation,Country,BodyweightKg,Ris,Status,StatusReason,MuscleUp1Kg,MuscleUp2Kg,MuscleUp3Kg,BestMuscleUpKg,PullUp1Kg,PullUp2Kg,PullUp3Kg,BestPullUpKg,Dips1Kg,Dips2Kg,Dips3Kg,BestDipsKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg
M,66,Curtis,Bunel,,FR,66.1,,competed,,2.5x,2.5,5x,2.5,40x,40,42.5,42.5,65,72.5,75,75,115x,115,120x,115
M,66,Quentin,Caretti,,FR,65.25,,competed,,11.25,16.25,20x,16.25,55,61.25,65,65,90,100,105x,100,150,160x,160x,150
M,66,Hilario,Fernandes,,FR,65.2,,competed,,27.5,31.25,35,35,70,76.25,80x,76.25,85,93.75,100,100,177.5,185,190,190
M,66,Carlo,Giacalone,,FR,66.1,,competed,,15,17.5,20,20,55,60,65x,60,97.5,100,105,105,160,167.5x,167.5x,160
M,66,Rayan,Guerroumi,,FR,62.6,,competed,,25,30x,30x,25,75,78.75,82.5,82.5,87.5,93.75,100,100,132.5,142.5,150,150
M,66,Maxime,Jolly,,FR,64.5,,competed,,20,25,27.5x,25,60,67.5,70,70,80,85,87.5x,85,135,140x,140,140
M,66,Noa,Lachal,,FR,65,,competed,,15,17.5,21.25x,17.5,50,55,58.75,58.75,102.5,111.25,120,120,142.5,152.5,157.5,157.5
M,73,Thomas,Auda,,FR,72,,competed,,7.5,10,15x,10,45,50,55x,50,100,110,120,120,162.5x,162.5,180x,162.5
M,73,Damien,Bonnet,,FR,72.9,,competed,,17.5,21.25,25,25,52.5,57.5,62.5,62.5,105,112.5,120,120,187.5,195,202.5,202.5
M,73,Damien,Camille,,FR,72,,competed,,7.5,10,12.5,12.5,51.25,55,60,60,110,115,117.5x,115,190,195,200x,195
M,73,Florent,Riou,,FR,72.3,,competed,,12.5,15,17.5,17.5,52.5,57.5,61.25x,57.5,87.5,93.75,95,95,165,175,185x,175
M,73,Nicolas,Tambia,,FR,72.85,,competed,,7.5,10,12.5,12.5,60,66.25,71.25,71.25,125,132.5,140x,132.5,215,222.5x,222.5,222.5
M,80,William,Attache,,FR,79,,competed,,7.5,10,12.5x,10,52.5,60,65x,60,60,70,75,75,165,175,180,180
M,80,Kevyn,Bolotte,,FR,78.35,,competed,,27.5,32.5,35,35,82.5,92.5,96.25,96.25,112.5,122.5,125,125,195,207.5,215,215
M,80,Remy,Cardy,,FR,78.1,,competed,,15,18.75,22.5,22.5,70,78.75,81.25,81.25,110,117.5,125,125,160,172.5x,172.5x,160
M,80,Morgan,Contrucci,,FR,77.2,,competed,,15,20,22.5,22.5,62.5,70,71.25,71.25,90,100x,100x,90,175x,175,190,190
M,80,Richard,Fanfano,,FR,79.1,,competed,,17.5,22.5,25x,22.5,57.5,65,68.75,68.75,107.5,115,120,120,162.5,175,182.5,182.5
M,80,Theophile,Galle,,FR,79.95,,competed,,13.75,17.5,20,20,57.5,65,67.5,67.5,110,120x,120,120,195,205,207.5,207.5
M,80,Jeremy,Joubert,,FR,78.78,,competed,,15,20,21.25,21.25,60,65,67.5x,65,115,125,130x,125,205,212.5,215x,212.5
M,80,Jossua,Martin,,FR,77.15,,competed,,12.5,16.25,20x,16.25,55,61.25,66.25,66.25,110,120x,120x,110,165,172.5,180,180
M,80,Lorian,Paysant,,FR,78.2,,competed,,22.5,27.5,30x,27.5,75,80,85x,80,110,115,117.5x,115,180,190x,190x,180
