Sex,WeightClassKg,FirstName,LastName,Disambiguation,Country,BodyweightKg,Ris,Status,StatusReason,MuscleUp1Kg,MuscleUp2Kg,MuscleUp3Kg,BestMuscleUpKg,PullUp1Kg,PullUp2Kg,PullUp3Kg,BestPullUpKg,Dips1Kg,Dips2Kg,Dips3Kg,BestDipsKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg
M,66,Thomas,Barbillon,,FR,60.3,,competed,,20,25,30x,25,65,67.5,70,70,80x,80,85,85,130,135,140x,135
M,66,Anderson,Kouadio,,FR,65.15,,competed,,20,25,27.5x,25,62.5,67.5,72.5,72.5,100,106.25,112.5x,106.25,155x,155,165,165
M,66,Carl,Robineau,,FR,65.3,,competed,,15,18.75,20,20,50,55x,55x,50,80,90,96.25x,90,120,130,140,140
M,66,Sami,Saci,,FR,66,,competed,,15,18.75x,18.75x,15,45,51.25,56.25,56.25,80,87.5,95x,87.5,155,165,170x,165
M,66,Rohan,Samain,,FR,63.1,,competed,,2.5,5x,5x,2.5,31.25,36.25,38.75,38.75,45,55,62.5x,55,105,115,125,125
M,73,Olivier Sam,Allane,,FR,70.1,,competed,,2.5,7.5,10,10,36.25,41.25x,41.25x,36.25,46.25,51.25,56.25,56.25,120,127.5,135,135
M,73,Baptiste,Bourdy Loriou,,FR,71.8,,competed,,20,23.75,27.5,27.5,62.5,70,80x,70,70,80,90,90,155,165,170,170
M,73,Damien,Camille,,FR,71.2,,competed,,10,12.5,15,15,52.5,57.5,61.25x,57.5,105,117.5,125x,117.5,185,195,200,200
M,73,Nicolas,Dufour,,FR,71.7,,competed,,15,17.5x,17.5,17.5,50,55,60,60,85,92.5,100,100,100,105,110,110
M,73,Lilian,Errard,,FR,69.1,,competed,,15,20,22.5x,20,52.5,57.5,62.5x,57.5,55,65,72.5x,65,115,125,132.5x,125
M,73,Saint-John,Fuzel-Rocheville,,FR,72,,competed,,17.5x,20,22.5,22.5,57.5,62.5,67.5,67.5,82.5x,87.5,90,90,140x,150,157.5x,150
M,73,Maxime,Junghen,,FR,72.1,,competed,,17.5,22.5x,22.5x,17.5,67.5,72.5,77.5x,72.5,100,107.5,112.5x,107.5,170,180,187.5,187.5
M,73,Xavier,Manin,,FR,71.8,,competed,,27.5,31.25,32.5x,31.25,77.5,82.5,85x,82.5,95,101.25,103.75x,101.25,165,175,177.5x,175
M,73,Idrick,Thiburce,,FR,72.9,,competed,,10,12.5x,16.25,16.25,40,46.25,51.25,51.25,70,78.75x,80,80,140,150,160,160
M,80,Phillipe,Clombe,,FR,78.71,,competed,,30,32.5,35x,32.5,70,75,77.5x,75,105,115,120,120,170,180,190,190
M,80,Raphaël,Ducastel,,FR,79.89,,competed,,17.5,20,22.5,22.5,65,73.75,80,80,100x,107.5x,115,115,180,190,202.5x,190
M,80,Tigran,Hakobian,,FR,76.12,,competed,,15,20,22.5,22.5,60,65,70,70,115,122.5,127.5x,122.5,170,180,187.5x,180
M,80,Denis,Loras,,FR,78.52,,competed,,15,20x,20x,15,65,70x,70x,65,77.5,82.5,,82.5,175,185,190x,185
M,80,Diego,Moreau,,FR,77.86,,disqualified,Bombed pull-up,10x,10x,10,10,55x,55x,55x,,90,,,90,,,,
M,80,Thomas,Zuamar,,FR,78.67,,competed,,20,25,30,30,65,70,75,75,80,,,80,140x,150,160x,150
M,87,Swan,Gozim,,FR,85.9,,competed,,10,13.75,15,15,51.25,57.5,61.25,61.25,90,100,102.5,102.5,180,190,200,200
M,87,Matéo,Poiree,,FR,83.58,,competed,,25,30,32.5,32.5,65,70,72.5x,70,110,115,120,120,165x,175,185x,175
M,87,Cissé,Reinert-Gamel,,FR,85.71,,competed,,10,15x,15,15,55x,55,60,60,90x,90,100,100,200,210,220x,210
M,87,Duncan,Roumy,,FR,84.65,,competed,,5,10,12.5x,10,60,65,70x,65,100,105,110x,105,145,155x,155x,145
M,94,Alexis,Seguin,,FR,88.29,,competed,,20,25,30,30,75,83.75,90,90,50,60,70,70,110,122.5,135,135
M,101,Florian,Larose,,FR,94.14,,competed,,22.5,25,27.5,27.5,70x,75,80,80,125,130,137.5,137.5,220,230x,,220
F,52,Marion,Raffin,,FR,51.8,,competed,,2.5,5,7.5,7.5,20,23.75,26.25,26.25,31.25,36.25,40,40,82.5,90,100,100
F,57,Marie,Cantie,,FR,55.6,,competed,,10,15,20,20,30,35,38.75x,35,37.5,42.5,47.5,47.5,90,100,107.5x,100
F,63,Adriana,Rolland,,FR,57.9,,competed,,2.5,3.75x,3.75,3.75,26.25,30x,30x,26.25,15,20,25,25,62.5,67.5,75x,67.5
