Sex,WeightClassKg,FirstName,LastName,Disambiguation,Country,BodyweightKg,ReportedRis,TotalKg,Status,StatusReason,ReportedRisEdition,MuscleUp1Kg,MuscleUp2Kg,MuscleUp3Kg,BestMuscleUpKg,PullUp1Kg,PullUp2Kg,PullUp3Kg,BestPullUpKg,Dips1Kg,Dips2Kg,Dips3Kg,BestDipsKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg
M,66,Marius,Desert,,,66,76.55,325,competed,,2025,,,,12.5,,,,60,,,,100,,,,152.5
M,66,Till,Maslanka,,,61.9,63.41,255,competed,,2025,,,,15,,,,47.5,,,,75,,,,117.5
M,66,Maxence,Petit,,,65.8,60.23,255,competed,,2025,,,,12.5,,,,62.5,,,,70,,,,110
M,66,Nyamdorj,Temujuuin,,,65.5,56.33,237.5,competed,,2025,,,,7.5,,,,47.5,,,,82.5,,,,100
M,73,Hicham,Ansri,,,69.1,66.61,295,competed,,2025,,,,15,,,,55,,,,92.5,,,,132.5
M,73,Hamza,Borni,,,68.4,74.37,326.25,competed,,2025,,,,20,,,,66.25,,,,100,,,,140
M,73,Baptiste,Cojean,,,72.1,53.18,,disqualified,,2025,,,,,,,,35,,,,70,,,,140
M,73,Owen,Melas,,,72.7,56.01,260,competed,,2025,,,,7.5,,,,50,,,,80,,,,122.5
M,73,Rwandon,Nullet,,,72.1,71.9,331.25,competed,,2025,,,,11.25,,,,50,,,,85,,,,185
M,80,François,Conreur,,,82,95.77,,disqualified,,2025,,,,35,,,,90,,,,150,,,,212.5
M,80,,Houcine,,,72.1,81.09,402.5,competed,,,,,,27.5,,,,72.5,,,,112.5,,,,190
M,80,Bastien,Sirot,,,68.4,74.67,351.25,competed,,,,,,20,,,,66.25,,,,95,,,,170
M,87,Adrien,Boyer,,,83.9,66.92,345,competed,,2025,,,,11.25,,,,56.25,,,,92.5,,,,185
M,87,Julian,Letestu,,,83.3,64.74,332.5,competed,,2025,,,,5,,,,52.5,,,,80,,,,195
M,87,Mathieu,Soler,,,86.2,68.93,360,competed,,2025,,,,12.5,,,,55,,,,92.5,,,,200
M,94,Léo,Dufort,,,91.7,74.51,,disqualified,,,,,,,,,,55,,,,112.5,,,,230
F,70,Eva,Plet,,,64.7,50.66,,disqualified,,2025,,,,,,,,20,,,,,,,,110
