Sex,WeightClassKg,FirstName,LastName,Disambiguation,Country,BodyweightKg,Ris,Status,StatusReason,MuscleUp1Kg,MuscleUp2Kg,MuscleUp3Kg,BestMuscleUpKg,PullUp1Kg,PullUp2Kg,PullUp3Kg,BestPullUpKg,Dips1Kg,Dips2Kg,Dips3Kg,BestDipsKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg
M,66,Florian,Aguilar,,FR,65.4,,competed,,10,15,20,20,50,60,65x,60,80,95,105,105,140,150,160,160
M,66,Enzo,Ammar,,FR,65.8,,competed,,5,10,15,15,40,50,55x,50,105,115,120,120,175,190,200x,190
M,66,Jonathan,Auberval,,FR,64.4,,competed,,20,22.5,25,25,50,57.5,62.5,62.5,80,87.5,90,90,140,145,150x,145
M,66,Taha,Baziz,,FR,65,,competed,,5,10,15x,10,40,46.25x,46.25,46.25,60,70x,70x,60,115,125,130,130
M,66,Joaquim,Chibouni,,FR,64.2,,competed,,17.5,20,25,25,60,65,70,70,70,80,85x,80,100,110,120x,110
M,66,Adem,Haji,,FR,65.8,,competed,,10,15,17.5x,15,40,46.25,52.5,52.5,61.25,66.25,70,70,122.5,132.5,140x,132.5
M,66,Lucas,Moal,,FR,65.4,,competed,,,12.5,15,15,50,57.5,62.5,62.5,70,77.5,85x,77.5,130x,130,132.5,132.5
M,66,Nicolas,Munafo,,FR,65.9,,competed,,15,20,25x,20,40,50,55,55,90,100,105x,100,160,170,180,180
M,66,Adelin,Pompeigne,,FR,65.4,,competed,,5,10,15,15,50,60,65x,60,55,65x,72.5x,55,80,95,100,100
M,66,Axel,Queti,,FR,65.3,,competed,,13.75,17.5,20,20,47.5,52.5,55,55,67.5,75,80,80,170,177.5,180,180
M,66,Carl,Robineau,,FR,63.4,,competed,,13.75,15,18.75x,15,40,45,50,50,70,80,90,90,115x,115,130,130
M,66,Lucas,Vialade,,FR,64.1,,competed,,17.5,20,25x,20,52.5,57.5,60,60,77.5,82.5,90,90,95,100,110,110
M,73,Alexis,Alle,,FR,72.9,,competed,,1.25,2.5,5x,2.5,40,45,50x,45,92.5,100,105x,100,160,170,180x,170
M,73,Mathys,Bonere,,FR,70.5,,competed,,12.5,16.25,17.5,17.5,55,62.5,67.5x,62.5,82.5,92.5,100x,92.5,150,162.5,177.5,177.5
M,73,Quentin,Conan,,FR,71.8,,competed,,1.25,3.75,5,5,40,45,50,50,70,75,80,80,125,135,145x,135
M,73,Yann,Croain,,FR,72.5,,competed,,7.5,10,12.5x,10,40,45,50x,45,85,90x,95x,85,140,150x,150,150
M,73,Romain,De Faria,,FR,72.9,,competed,,10,15,17.5,17.5,57.5,62.5,65,65,85,95x,95,95,155,162.5,175,175
M,73,Sam,Demarecaux,,FR,72.4,,competed,,5,7.5,10,10,40,45,50,50,67.5,75,80,80,142.5,152.5,160,160
M,73,Lorenzo,Giordani,,FR,72.6,,competed,,20,26.25,30,30,55,63.75,67.5,67.5,105,115,120,120,172.5x,172.5,180,180
M,73,Tom,Guilpin,,FR,70.8,,competed,,12.5,15,17.5,17.5,42.5,47.5,52.5,52.5,70,77.5,85,85,140,147.5,155,155
M,73,Louis,Mascaro,,FR,72.3,,competed,,12.5,17.5x,17.5,17.5,40,47.5,53.75,53.75,70,80x,85x,70,120,130,140,140
M,73,Jeremy,Matias,,FR,72,,disqualified,Bombed squat,17.5,22.5,25,25,60,65,71.25,71.25,95,105,110,110,165x,170x,170x,
M,73,Valentin,Pinte,,FR,71.3,,competed,,10,13.75x,13.75x,10,45,50,55,55,75,85,90x,85,120,130,132.5,132.5
M,73,Mehdi,Quadah,,FR,72.5,,competed,,,,,,32.5,40,42.5,42.5,55,65,75,75,115,122.5,135x,122.5
M,73,Rémi,Roussel,,FR,71.6,,competed,,7.5,10,12.5x,10,42.5,45x,45,45,80,85,90,90,125,130,135,135
M,80,Anto,Benedetti,,FR,77,,competed,,1.25,2.5,5,5,35,45,48.75x,45,37.5,50,65,65,127.5,135,142.5x,135
M,80,Yannis,Cabald,,FR,77.4,,competed,,1.25,3.75,5,5,35,42.5,47.5,47.5,60,67.5,72.5x,67.5,177.5,187.5,200x,187.5
M,80,Ruben,Dutoict,,FR,78.7,,competed,,15,17.5,22.5,22.5,65,70,72.5,72.5,110,115x,117.5x,110,165,170,180,180
M,80,Yanis,Fournel,,FR,78.5,,competed,,15,20,23.75,23.75,55,62.5,67.5,67.5,87.5,95,100x,95,175,190,200x,190
M,80,Romain,Nerot,,FR,73.1,,competed,,5,8.75,11.25x,8.75,40,50,56.25,56.25,82.5,92.5,100x,92.5,147.5,157.5,162.5,162.5
M,80,Tony,Nguyen,,FR,78.8,,competed,,10,15,20,20,50,60,65,65,110,130,140,140,130,140,150x,140
M,80,Guillaume,Raphet,,FR,79.4,,competed,,5,7.5,10x,7.5,50,55x,55x,50,75,82.5,87.5x,82.5,155,162.5,170x,162.5
M,80,Ruben,Skoury,,FR,77.5,,competed,,15,20,25,25,52.5,60,63.75,63.75,82.5,92.5,100x,92.5,155,162.5,170,170
M,80,Ai Van,Vuillemin,,FR,74.7,,competed,,18.75,25,30,30,77.5,87.5,100x,87.5,75,90,105,105,130,145,170x,145
M,87,Romaric,Agbegninou,,FR,85.5,,disqualified,Bombed squat,15,17.5,20,20,70,77.5,80x,77.5,40,80,100,100,160x,160x,160x,
M,87,Clément,Batton,,FR,85.4,,competed,,5,15,20,20,60,70,75,75,85,100,110,110,160,170,175,175
M,87,Reny,Bonbois,,FR,85.5,,competed,,1.25x,1.25,2.5,2.5,55,60,67.5,67.5,85,92.5,102.5,102.5,175,190,210x,190
M,87,Paul,Deshayes,,FR,85.4,,competed,,1.25,10x,10x,1.25,45,52.5,60,60,55,67.5,75,75,140,150,160,160
M,87,Wassim,Geimel,,FR,84.3,,competed,,20,25,27.5,27.5,65,70,72.5x,70,100,115,121.25x,115,187.5,200,212.5,212.5
M,87,Josue,Makaya,,FR,80.1,,competed,,6.25,8.75,11.25,11.25,50,57.5,65,65,52.5,62.5,72.5,72.5,80,90,100,100
M,87,Alex,Marques,,FR,85.1,,competed,,5x,5,10x,5,42.5,52.5,60,60,70,76.25,82.5,82.5,160,170,180,180
M,87,Théo,Primault,,FR,85.8,,competed,,12.5,15,17.5x,15,52.5,57.5,62.5,62.5,102.5,107.5,115,115,135,145,150x,145
M,87,Théo,Torres,,FR,86.4,,competed,,20,25,27.5,27.5,65,70,75,75,95,105,115,115,190,195,210,210
M,101,Mohamed,Ghezal,,FR,97.6,,disqualified,Bombed muscle-up,1.25x,1.25x,1.25x,,27.5,31.25,32.5,32.5,87.5,97.5,105,105,152.5,155x,155,155
M,101+,Killian,Guilpain,,FR,104.9,,disqualified,Bombed squat,2.5x,2.5,5,5,50,65,70,70,120,130,140x,130,200x,,,
F,52,Oriane,Corral,,FR,51,,competed,,1.25x,1.25,2.5x,1.25,25,30,33.75,33.75,20,25,32.5,32.5,90,95,100x,95
