Sex,WeightClassKg,FirstName,LastName,Disambiguation,Country,BodyweightKg,Ris,Status,StatusReason,BodyweightSource,ReportedRisEdition,MuscleUp1Kg,MuscleUp2Kg,MuscleUp3Kg,BestMuscleUpKg,PullUp1Kg,PullUp2Kg,PullUp3Kg,BestPullUpKg,Dips1Kg,Dips2Kg,Dips3Kg,BestDipsKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg
M,66,Muhammad,Amin Karim,,ID,63.3,76.01,competed,,recovered,2026,17.5,20,23.75x,20,50,57.5,58.75,58.75,85,92.5,101.25x,92.5,120,130,140,140
M,66,Viki,Candra Kirana,,ID,64.9,98.13,competed,,recovered,2026,25,30,32.5,32.5,70,75,80x,75,120,127.5,130x,127.5,170,175,180x,175
M,66,Ismail,Fawaz Ruhdiana,,ID,62.4,82.09,competed,,recovered,2026,25x,25,30x,25,60,65,70x,65,100x,100,107.5,107.5,125,135,140x,135
M,66,Zahlul,Fuad,,ID,63.7,89.3,competed,,recovered,2026,25,30x,30,30,67.5,75x,75x,67.5,100,101.25x,115,115,147.5,155,162.5x,155
M,66,Abdul,Hakim Al-Haazimi,,ID,65,88.45,competed,,recovered,2026,15,17.5x,17.5x,15,60,65x,65,65,105,115,120,120,160x,170,180x,170
M,73,Reza,Aries,,ID,71.4,71.58,competed,,recovered,2026,5,10,12.5x,10,50,55x,55,55,100,110,115x,110,140,150,155x,150
M,73,Teuku,Aufra Maretto,,ID,70.8,85.99,competed,,recovered,2026,10,15,17.5,17.5,50,55,60,60,100,110,120,120,175,190,200x,190
M,73,Vincentius,Bayu Tirta,,ID,72.7,87.25,competed,,recovered,2026,12.5x,15,20,20,65,70,72.5,72.5,100,110,120,120,175,185,190,190
M,73,Joshua,Tay,,SG,71,100.99,competed,,recovered,2026,27.5,32.5,35,35,82.5,88.75,91.25,91.25,135,140,145x,140,170,180,190,190
M,80,Ritjki,Ardiansah,,ID,78.39,76.64,competed,,recovered,2026,20,22.5,25,25,60,65,67.5,67.5,105,115,121.25,121.25,145,150,162.5,162.5
M,80,Muhammad,Ilham,,ID,73.1,75.51,competed,,recovered,2026,10,15,17.5x,15,55,60,65,65,100,110,115x,110,150,160,170x,160
M,80,Dmitrii,Vlasov,,RU,76.9,97.18,competed,,recovered,2026,30,40,41.25x,40,105,115,120,120,120,135,145,145,150,165,175x,165
M,94,Avisena,Nugroho,,ID,91.4,63.64,competed,,recovered,2026,0x,0,2.5x,0,45,52.5,60,60,105,115,120,120,145,152.5,160,160
F,52,Putri,T K,,ID,,58.25,disqualified,Bombed the muscle-up,,,0x,0x,0x,,20,21.25,22.5,22.5,22.5,25x,27.5,27.5,80x,85,90x,85
F,57,Desy,Indarta,,ID,56.8,47.23,competed,,recovered,2026,0,2.5,5x,2.5,10,15,16.25x,15,16.25,21.25,26.25,26.25,70x,75,82.5,82.5
F,63,Kristy,Farhat,,LB,58.7,63.68,competed,,recovered,2026,0,2.5,5,5,22.5,28.75,32.5x,28.75,40,41.25x,50,50,90,100x,100x,90
F,63,Melita,Mutia,,ID,58.2,60.75,competed,,recovered,2026,0,1.25,2.5x,1.25,16.25,21.25,26.25,26.25,30,35,37.5,37.5,80,90,100,100
F,70+,Takla,Abou Jaoude,,LB,70.05,80.83,competed,,recovered,2026,0,5,8.75x,5,25,32.5,37.5,37.5,50,51.25x,67.5,67.5,100,110,117.5,117.5
