Division,Sex,WeightClassKg,FirstName,LastName,Disambiguation,Country,BodyweightKg,Ris,Status,StatusReason,MuscleUp1Kg,MuscleUp2Kg,MuscleUp3Kg,BestMuscleUpKg,PullUp1Kg,PullUp2Kg,PullUp3Kg,BestPullUpKg,Dips1Kg,Dips2Kg,Dips3Kg,BestDipsKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg
Open,M,66,Mierza,Alif,,ID,,67.87,competed,,17.5,20,21.25x,20,67.5,72.5,77.5,77.5,50,62.5,67.5,67.5,95,105,115,115
Open,M,66,Muhammad,Amin Karim,,ID,,72.43,competed,,12.5,17.5,21.25,21.25,50,55,61.25x,55,80,87.5,90,90,110,120,130,130
Open,M,66,Ismail,Fawaz Ruhdiana,,ID,,72.17,competed,,15,18.75x,20,20,50,55,60,60,87.5,95,100,100,100,110,120,120
Open,M,66,Muhammad,Jilan Satria,,ID,,63.07,competed,,12.5,15,17.5,17.5,45,50,52.5x,50,70,80,85,85,95,105,110,110
Open,M,66,Kristoforus,Juan Nugroho,,ID,,68.64,competed,,7.5,12.5,17.5x,12.5,55,60,65,65,75,80,85x,80,115x,117.5,125,125
Open,M,66,Yosa,Rillo Rivaldy,,ID,,78.49,competed,,15,20,22.5x,20,72.5,77.5,80,80,75x,82.5,90,90,130,135,137.5,137.5
Open,M,66,Arip,Sisnandar,,ID,,0,no_show,,,,,,,,,,,,,,,,,
Open,M,73,Uwais,Ahmad R,,ID,,70.13,competed,,5,7.5,10x,7.5,60,62.5x,62.5x,60,100,105,112.5,112.5,125,130,140,140
Open,M,73,Rahman,Akbar,,ID,,81.09,competed,,12.5,17.5,20,20,55,62.5x,62.5,62.5,90,97.5x,102.5,102.5,175,180,185,185
Open,M,73,Alvaro,Asadel Shaquille,,ID,,62.1,competed,,2.5x,2.5,5x,2.5,40,50,57.5x,50,70,77.5,83.75,83.75,130x,145,155x,145
Open,M,73,Silvester,Caravario,,ID,,76.95,competed,,15,17.5,20,20,65,67.5,70,70,90,95,100x,95,135x,142.5,150,150
Open,M,73,Stefanus,Dedan,,ID,,74.15,competed,,5x,5x,5,5,50,55,60x,55,75,81.25,87.5,87.5,180,195,205x,195
Open,M,73,Yohannes,Nainggolan,,ID,,49.13,competed,,2.5x,3.75,5,5,40,45,47.5x,45,60,75,77.5x,75,90,100,115x,100
Open,M,73+,Rizky,Akbar Nursyamsi,,ID,,65.43,competed,,5,7.5,12.5x,7.5,65,70,72.5,72.5,75,80,90,90,130,140,150,150
Open,M,73+,Ritjki,Ardiansah,,ID,,16.41,disqualified,Bombed the dips and squat,17.5,20x,20,20,57.5,60,62.5x,60,95x,105x,105x,,120x,120x,120x,
Open,M,73+,Fahmi,Fauzan Saragih,,ID,,68.09,competed,,0,5,10,10,40,50,57.5,57.5,90,105x,105,105,150,175,190,190
Open,M,73+,Muhammad,Ilham,,ID,,69.41,competed,,5,10,15,15,50,55,60,60,90,100,105x,100,145,155,165x,155
Open,M,73+,Cakra,Jonatan,,ID,,63.21,competed,,5,7.5,10x,7.5,50,55,57.5x,55,85,90,95x,90,140,145,150,150
Open,M,73+,,Woky,,ID,,65.2,competed,,10,12.5x,12.5x,10,50,55,60x,55,70,77.5,90,90,130,147.5,155,155
Pro,M,66,Abdul,Hakim Al-Haazimi,,ID,,85.51,competed,,12.5,15,18.75x,15,55,60,65,65,95,105x,110,110,145,155,165,165
Pro,M,66,Maharadya,Rois,,ID,,78.77,competed,,17.5,21.25x,21.25x,17.5,55,57.5,60,60,100,105,107.5x,105,150,155x,155x,150
Pro,M,73,,Ginanjar,,ID,,83.65,competed,,20x,25,30,30,75,82.5,85,85,95,105,111.25,111.25,100,115,130,130
Pro,M,73,Muhammad,Rokhid Al-Ihsan,,ID,,78.48,competed,,20,22.5,25,25,60x,62.5,66.25,66.25,100x,107.5,110,110,130,140,147.5x,140
Pro,M,80,Nico,Maramis Saputra,,ID,,86.34,competed,,10,15,20x,15,65,70,77.5,77.5,117.5,127.5,140,140,160,177.5,195,195
