Sex,WeightClassKg,FirstName,LastName,Disambiguation,Country,BodyweightKg,Ris,Status,StatusReason,MuscleUp1Kg,MuscleUp2Kg,MuscleUp3Kg,BestMuscleUpKg,PullUp1Kg,PullUp2Kg,PullUp3Kg,BestPullUpKg,Dips1Kg,Dips2Kg,Dips3Kg,BestDipsKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg
M,66,Q Viet,Hoang,,VN,,78.8,competed,,15x,15,20x,15,50,60,65,65,70,80,85x,80,130,135x,137.5,137.5
M,73,Bernhard,Braunsdorfer,,AT,,42.64,disqualified,Bombed the dips,5,10,12.5,12.5,55,62.5,67.5x,62.5,50x,55x,55x,,100,110,117.5x,110
M,73,Patrick,K,,DE,,49.86,competed,,0,2.5,5x,2.5,40,45x,45x,40,52.5x,52.5,57.5x,52.5,110x,110,125,125
M,73,Kien,Quan,,DE,,59.9,competed,,2.5x,2.5,5,5,45,50,55x,50,55,60,70,70,150x,150,160x,150
M,80,Johannes,Früh,,DE,,51.13,competed,,0x,0,2.5x,0,40x,40,45x,40,40,45,52.5,52.5,135,145,150,150
M,80,Severin,Wolf,,DE,,59.39,competed,,0,5,10x,5,40,47.5x,50,50,55,65,70x,65,140,150,160,160
M,87,Shehabeldin,Housein,,EG,,63.38,competed,,5x,7.5,10x,7.5,45,55x,62.5x,45,80,90,100,100,160x,165,170,170
M,87,,Jakob,,DE,,58.33,competed,,0,5x,5,5,55,65,72.5,72.5,55,70x,70,70,140x,140,150,150
M,87,Jonas,Merk,,DE,,44.73,competed,,0,2.5,3.75x,2.5,40,46.25,50,50,45x,45,52.5,52.5,110x,110,120,120
M,87,Murilo,Pereira,,DE,,51.17,disqualified,Bombed the muscle-up,0x,0x,0x,,50,55,60x,55,50,60x,70,70,120,130,135,135
M,87,Dávid,Weinhardt,,HU,,72.44,competed,,0x,0,2.5x,0,50,57.5,62.5,62.5,90,105x,105,105,190,205,210,210
F,52,Mirela,Breaz,,DE,,50.18,competed,,1.25,1.25,2.5x,1.25,5,8.75,11.25x,8.75,15,20x,20x,15,72.5,77.5,85x,77.5
F,63,Krisztina,Kos,,HU,,62.5,disqualified,Bombed the muscle-up,0x,0x,0x,,15,17.5,20,20,32.5x,32.5,35,35,87.5,95,100x,95
F,63,Lara,Pfleider,,DE,,59.41,disqualified,Bombed the muscle-up,0x,0x,0x,,17.5,20,23.75x,20,17.5,22.5x,22.5x,17.5,105,110x,110x,105
