Sex,WeightClassKg,FirstName,LastName,Disambiguation,Country,BodyweightKg,Ris,Status,StatusReason,MuscleUp1Kg,MuscleUp2Kg,MuscleUp3Kg,BestMuscleUpKg,PullUp1Kg,PullUp2Kg,PullUp3Kg,BestPullUpKg,Dips1Kg,Dips2Kg,Dips3Kg,BestDipsKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg
M,66,,Benjamin,,DE,,53.05,competed,,0,5x,10x,0,45,52.5,60,60,45x,52.5,62.5,62.5,75,90,100,100
M,66,Q Viet,Hoang,,VN,,81,competed,,0x,15,21.25x,15,60,70x,70x,60,70,80,85x,80,130,140,150,150
M,66,Ramazan,Kilic,,DE,,64.94,competed,,5,10,15x,10,52.5,60,62.5,62.5,77.5x,77.5,82.5x,77.5,115,125,132.5x,125
M,66,Philipp,Spiegel,,DE,,46.05,disqualified,Bombed the muscle-up,0x,0x,0x,,25,30,35,35,42.5,50,55,55,95,105,112.5x,105
M,66,Waldemar,Waschilow,,DE,,84.94,competed,,10,12.5,16.25,16.25,60,65,66.25,66.25,75,82.5,85,85,150,160,170x,160
M,73,David,Feichtinger,,AT,,58.68,competed,,2.5,6.25,8.75,8.75,35,40,45,45,55x,55,65x,55,135,142.5,147.5,147.5
M,73,Jan Vincent,Kanschat,,DE,,60.18,competed,,7.5,11.25,15,15,52.5,62.5,70,70,60,67.5x,67.5,67.5,100,110,125,125
M,73,Urs,Karrer,,CH,,52.23,disqualified,Bombed the muscle-up,0x,0x,0x,,35,40,45x,40,51.25,57.5,62.5,62.5,122.5x,122.5,130,130
M,73,Shivan,Mansur,,DE,,41.22,competed,,0,2.5x,2.5,2.5,32.5,40,50x,40,35,42.5,57.5,57.5,80,95x,100x,80
M,73,Johannes,Schertler,,AT,,52.73,competed,,0x,5x,5,5,45,50,55x,50,70,75,80,80,100,105x,105x,100
M,73,Micha,Walch,,DE,,72.32,competed,,15,20,22.5x,20,65,72.5,75x,72.5,65,75,85,85,120,135,145x,135
M,80,,Cedric,,DE,,64.88,competed,,5,11.25,15x,11.25,45,52.5,57.5,57.5,92.5,101.25,110x,101.25,130,140,150x,140
M,80,Karim,Cherid,,DE,,55.91,competed,,10x,15,20,20,55,60x,60x,55,60,70,77.5,77.5,120,125x,125x,120
M,80,Georg,Eilers,,DE,,51.72,competed,,2.5,7.5,11.25,11.25,42.5,50,57.5,57.5,50,60,67.5,67.5,115,122.5x,122.5,122.5
M,80,Alexander,Felten,,DE,,61.82,competed,,2.5,5,7.5x,5,50,57.5,62.5x,57.5,62.5,72.5,80,80,147.5,157.5,165,165
M,80,Axel,Woelfel,,DE,,32.62,disqualified,Bombed the squat,10x,10x,10,10,60,65,70x,65,80,85x,90x,80,0x,0x,0x,
M,80,Severin,Wolf,,DE,,62.47,competed,,0,5,8.75,8.75,45,52.5,55x,52.5,65x,65,75,75,150,160x,160,160
M,87,Tim,Ahrens,,DE,,60.77,competed,,0,5,8.75x,5,40,45,48.75,48.75,65,72.5,75x,72.5,165,175,182.5,182.5
M,87,Moritz,Baumgartner,,AT,,50.12,competed,,0,2.5x,2.5x,0,41.25,47.5x,47.5x,41.25,65x,65,75x,65,145,155x,155,155
M,87,Korbinian,Hengl,,DE,,59.25,competed,,0,3.75,6.25x,3.75,40,47.5,53.75,53.75,75,82.5x,82.5,82.5,142.5,152.5,160,160
M,94,Damir,Omerovic,,BA,,82.21,competed,,0,5x,5x,0,50,57.5,62.5,62.5,110,121.25,131.25,131.25,215,230,240,240
F,52,Stephanie,Karrer,,CH,,16.89,disqualified,Bombed the pull-up and squat,0,1.25,2.5,2.5,15x,15x,15x,,22.5,27.5,31.25,31.25,80x,80x,85x,
F,52,Leoni,Rädler,,DE,,73.84,competed,,2.5,5,6.25x,5,15,20,22.5x,20,35,40,43.75,43.75,90x,90,95,95
F,57,Laura-Celine,Clasen,,DE,,68.97,competed,,0,1.25x,1.25,1.25,15,17.5x,17.5,17.5,35,40,42.5x,40,95,100,105,105
F,57,Franka,Elstermann,,DE,,43.17,disqualified,Bombed the muscle-up,0x,0x,0x,,7.5,12.5,17.5x,12.5,7.5,10x,10,10,70,80,90x,80
F,57,Christina,Langer,,DE,,61.73,competed,,0x,0x,0,0,15,20,25x,20,17.5,22.5,27.5,27.5,75,82.5,90,90
F,57,Carolin,Reichenecker,,DE,,64.73,competed,,2.5,6.25,8.75,8.75,15,20,22.5x,20,30,35,36.25x,35,82.5,90,95x,90
F,57,Michelle,Thanei,,AT,,74.77,competed,,2.5,6.25,10x,6.25,16.25,20,22.5x,20,40,45x,46.25,46.25,90,97.5x,100,100
F,57,Melissa,Vögel,,DE,,68.04,competed,,0,2.5,3.75x,2.5,15,20x,20,20,25,31.25,33.75x,31.25,105,112.5x,112.5x,105
F,63,Elisabeth,Derler,,DE,,70.65,competed,,0,1.25x,2.5,2.5,17.5x,20,22.5x,20,30x,35,40x,35,102.5,110,112.5,112.5
F,63,Jessica,Dietz,,DE,,50.79,disqualified,Bombed the muscle-up,0x,0x,0x,,5,12.5x,12.5x,5,12.5x,12.5,17.5,17.5,85,92.5,100,100
