Sex,WeightClassKg,FirstName,LastName,Disambiguation,Country,BodyweightKg,Ris,Status,StatusReason,MuscleUp1Kg,MuscleUp2Kg,MuscleUp3Kg,BestMuscleUpKg,PullUp1Kg,PullUp2Kg,PullUp3Kg,BestPullUpKg,Dips1Kg,Dips2Kg,Dips3Kg,BestDipsKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg
M,66,Jörg,Memmer,,DE,,84.66,competed,,10,12.5,15,15,45,50,55,55,92.5,102.5x,102.5x,92.5,170x,170,180,180
M,66,Lovro,Topic,,HR,,55.6,disqualified,Bombed the dips,10,15x,15x,10,60,65x,67.5x,60,90x,95x,105x,,140,150,160x,150
M,73,Felipe,Berio,,UY,,44.24,competed,,0x,2.5,5,5,37.5,40x,40x,37.5,55,61.25,66.25,66.25,85,92.5,100x,92.5
M,73,Timo,Jung,,DE,,48.45,competed,,2.5,7.5x,8.75,8.75,45,50x,50x,45,55x,60x,60,60,90,100,110x,100
M,73,Jan Vincent,Kanschat,,DE,,52.22,competed,,0,7.5,10,10,47.5,55,65,65,47.5x,55,60,60,90,100,105,105
M,73,Wilko,Moritz,,DE,,67.86,competed,,10,15,17.5x,15,50,57.5x,60,60,80,85,90,90,150x,150,152.5x,150
M,73,Julian,Schramm,,DE,,59.39,disqualified,Bombed the muscle-up,0x,0x,0x,,15,20,25x,20,60x,60,75,75,150,160,170,170
M,73,Fabian,Schrott,,IT,,64.38,competed,,5,7.5,10x,7.5,55,60,62.5x,60,60,65x,65,65,145,152.5x,160,160
M,73,Taymour,el Desouky,,EG,,83.26,competed,,12.5,17.5,20,20,62.5,67.5x,67.5,67.5,102.5x,106.25,115x,106.25,175,185,192x,185
M,80,Sven,Buchler,,DE,,39.99,disqualified,Bombed the muscle-up,0x,0x,0x,,30,40x,40,40,30,40,50x,40,80,100,110,110
M,80,Georg,Eilers,,DE,,45.56,competed,,0,5,7.5,7.5,37.5,45,52.5,52.5,40,47.5,60x,47.5,112.5,120,125x,120
M,80,Tom,Heyde,,DE,,47.06,disqualified,Bombed the pull-up,0,2.5x,2.5x,0,35x,42.5x,42.5x,,60x,60,75,75,140,150,160,160
M,80,Philipp,Hörl,,DE,,58.8,competed,,0x,0x,0,0,55,67.5,75x,67.5,50x,50,60x,50,160,162.5x,162.5x,160
M,80,Timo,Rolf,,DE,,52.92,competed,,0,6.25,10,10,42.5,50,57.5x,50,40,50,57.5x,50,120,130,140,140
M,80,Severin,Wolf,,DE,,60.35,competed,,0,5x,5,5,45,52.5,55x,52.5,60,70,75x,70,140,150,155,155
M,87,Tim,Ahrens,,DE,,59.1,competed,,0,2.5,5,5,40x,46.25,50x,46.25,60,67.5,71.25,71.25,160,172.5,177.5,177.5
M,87,Korbinian,Hengl,,DE,,59.36,competed,,2.5x,2.5,6.25,6.25,50,55,56.25x,55,75x,80,86.25,86.25,140,150,155x,150
M,87,Felix,Kaufmann,,AT,,75.18,competed,,0,5,11.25x,5,42.5,47.5,52.5,52.5,77.5,87.5,95x,87.5,215,227.5,235,235
M,87,Christian,Leurs,,DE,,64.26,competed,,10,15,17.5,17.5,52.5,60,65,65,82.5x,87.5x,90,90,155x,160,165x,160
M,87,Christopher,Markus,,DE,,40.66,disqualified,Bombed the muscle-up,0x,0x,0x,,10x,10x,25,25,25,40,60x,40,120,137.5,145,145
M,87,Damir,Omerovic,,BA,,71.01,competed,,0,8.75,11.25x,8.75,40,50,55,55,80x,90,105,105,180,190,200,200
M,87,Ole,Poedtke,,DE,,61.57,competed,,0,8.75,12.5x,8.75,57.5,65,70x,65,75,82.5,90,90,130,140,150,150
F,52,Mirela,Breaz,,DE,,57.37,competed,,0,1.25,2.5x,1.25,8.75,11.25,15x,11.25,15,20,25,25,75,80,85,85
F,52,Leoni,Rädler,,DE,,68.62,competed,,2.5,5,7.5x,5,15,20,21.25,21.25,30,35,37.5,37.5,80,85,87.5,87.5
F,57,Leo,Hosp,,AT,,58.21,competed,,0,2.5,5,5,12.5,16.25,18.75x,16.25,15x,15,21.25,21.25,85,90,95,95
F,57,Melissa,Vögel,,DE,,66.3,competed,,0,1.25x,1.25x,0,15,17.5,20x,17.5,25,27.5,30,30,100,105x,105,105
F,63,Ina,Becker,,DE,,71.03,competed,,2.5,5x,5,5,20,25,27.5x,25,30,40,45,45,85,95,100x,95
