Sex,WeightClassKg,FirstName,LastName,Disambiguation,Country,BodyweightKg,Ris,Status,StatusReason,MuscleUp1Kg,MuscleUp2Kg,MuscleUp3Kg,BestMuscleUpKg,PullUp1Kg,PullUp2Kg,PullUp3Kg,BestPullUpKg,Dips1Kg,Dips2Kg,Dips3Kg,BestDipsKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg
M,66,Jarno,Cammaerts,,BE,,82.84,competed,,5,8.75,12.5,12.5,52.5,57.5,65,65,92.5,100,106.25,106.25,132.5,140,150,150
M,66,Mohamed,El Boujdaini,,NL,,84.16,competed,,20,25,30,30,55,60,62.5,62.5,102.5x,110x,115,115,125,132.5,142.5x,132.5
M,66,Andreas,Gregoriades,,CY,,66.46,competed,,12.5,15x,15x,12.5,60x,60,62.5,62.5,77.5x,77.5,80,80,115,122.5x,122.5x,115
M,66,Roy,Hamelers,,NL,,82.45,competed,,5,10,12.5,12.5,50,55,60x,55,90,95,100x,95,135,142.5,150,150
M,66,Thomas,Leenders,,NL,,69.44,competed,,0,2.5x,2.5x,0,40x,40,45,45,75,80x,80x,75,155,162.5,170x,162.5
M,66,Edric,Magalona,,NL,,77.85,competed,,5,10x,10x,5,45,51.25,55x,51.25,95,101.25x,102.5,102.5,145,157.5,162.5x,157.5
M,66,Ryan,Ronomoeljo,,NL,,86.75,competed,,10,12.5,15x,12.5,47.5,53.75,57.5,57.5,105,115,120x,115,152.5,160,165,165
M,66,Selas,van Abeelen,,NL,,55.29,competed,,2.5,5,8.75x,5,35,40,46.25x,40,65x,70x,75,75,100,110,117.5x,110
M,73,Lars,Engel,,NL,,89.85,competed,,15,20,25x,20,70,80,82.5x,80,80,90,101.25,101.25,175,187.5,192.5x,187.5
M,73,Mathijs,Flaman,,NL,,70.46,competed,,5,8.75,11.25,11.25,47.5,52.5,57.5,57.5,75,80,85,85,145,150,157.5,157.5
M,73,Sam,Hendrix,,NL,,61.46,competed,,0,1.25,3.75x,1.25,35,40,42.5x,40,70,77.5,80,80,150x,155,162.5x,155
M,73,Jurvin,Valdez,,NL,,93.24,competed,,20,25x,25,25,62.5x,65,72.5x,65,120x,120,121.25x,120,195x,195,205,205
M,73,Devano,Zaandam,,NL,,23,disqualified,Bombed the dips and the squat,20,25,28.75x,25,65,72.5,77.5,77.5,107.5x,112.5x,112.5x,,160x,160x,160x,
M,73,Menno,Zwaan,,NL,,55.68,competed,,0,5,7.5x,5,40,47.5,51.25,51.25,60x,67.5x,67.5,67.5,110,125,137.5x,125
M,73,Colin,van den Berge,,NL,,76.19,competed,,0,5,7.5,7.5,47.5,52.5,57.5,57.5,87.5,95,102.5,102.5,160,170,175,175
M,73,Hakkı,Çakır,,TR,,71.52,competed,,7.5,12.5,13.75,13.75,52.5x,55,56.25x,55,92.5,100,103.75x,100,150x,150x,150,150
M,80,Ozgur,Ahmed Wahab,,NL,,61.19,competed,,5x,5,10x,5,42.5x,47.5x,47.5,47.5,80x,87.5x,90,90,145,152.5,160x,152.5
M,80,Daan,Bogert,,NL,,72.66,competed,,10,15,17.5x,15,55,60,65,65,100,110,115x,110,140,150,160,160
M,80,Yusuf,Dinke,,NL,,74.83,competed,,7.5,10,13.75,13.75,60,65x,67.5,67.5,100,107.5,115,115,145,152.5,160,160
M,80,Ashraf,Jaouhari,,MA,,72.56,competed,,15x,20,25x,20,55,65,70x,65,95,105,115x,105,140,150,160x,150
M,80,Stijn,Kerstens,,NL,,66.88,competed,,0,3.75x,5x,0,35x,35x,35,35,80x,82.5,90,90,175,185,192.5,192.5
M,80,Dennis,Keyner,,NL,,72.46,competed,,13.75,17.5,21.25,21.25,55,60,62.5,62.5,90x,92.5,102.5,102.5,150,160,162.5x,160
M,80,Justin,Kulen,,NL,,77.7,competed,,20x,20,22.5,22.5,60,65,70x,65,110,120x,120x,110,150,160x,160,160
M,80,John,Nguyen,,NL,,79.38,competed,,17.5,22.5,25x,22.5,47.5x,47.5,55,55,100,110,116.25x,110,192.5,202.5x,207.5x,192.5
M,80,Jason,Seur,,NL,,82.45,competed,,10x,15x,15,15,55,65,72.5,72.5,100x,110,120x,110,170,182.5,195,195
M,80,Rafet,Simsek,,NL,,56.52,competed,,5x,7.5,11.25x,7.5,45x,47.5,55,55,67.5x,75,82.5x,75,110x,115,130,130
M,80,Daan,Wagemakers,,NL,,66.26,competed,,0,5,7.5,7.5,50,55,57.5,57.5,77.5,85,90,90,145,155,162.5,162.5
M,80,Daniël,Wassenaar,,NL,,102.67,competed,,22.5,27.5,30,30,87.5,95,100x,95,150,157.5x,157.5x,150,200,210,220,220
M,80,Jesse,Welgraven,,NL,,48.66,disqualified,Bombed the dips,20x,20,25x,20,70,75,80x,75,100x,115x,120x,,140,160x,160x,140
M,80,Maxx,van Agt,,NL,,74.44,competed,,27.5,30,31.25,31.25,80,85x,85x,80,82.5,87.5,95,95,135,140x,140,140
M,80,Marco,van der Biezen,,NL,,63.09,competed,,2.5,5,10x,5,42.5,47.5x,52.5x,42.5,85,92.5,93.75,93.75,135,140,150,150
M,87,Joeri,Broers,,NL,,53.31,disqualified,Bombed the muscle-up,0x,0x,0x,,27.5,35x,40x,27.5,50x,60,70,70,152.5,162.5,170,170
M,87,Tim,Engel,,NL,,93.31,competed,,22.5,28.75,32.5x,28.75,82.5,87.5,90x,87.5,115x,116.25,125,125,225,235x,237.5x,225
M,87,Ferdinand,Seleski,,NL,,56.66,competed,,2.5x,2.5x,2.5,2.5,40,47.5,50x,47.5,70,75x,75,75,152.5,160,165x,160
M,87,Justin,Soetendal,,NL,,61.81,competed,,2.5,6.25,10,10,40,47.5,55,55,75,82.5,90,90,140,147.5,155,155
M,87,Glenn,Tertoolen,,NL,,90.62,competed,,15,20,23.75x,20,62.5,70,75,75,107.5,117.5x,122.5,122.5,225,237.5,240x,237.5
M,87,Jelke,Vonder,,NL,,66.51,competed,,12.5,16.25,18.75x,16.25,55x,60,65x,60,90,100,107.5,107.5,135,145x,150,150
M,87,Kelvin,Zauner,,NL,,72.45,competed,,15,17.5x,17.5,17.5,50,57.5,65x,57.5,105,115,120,120,160,170,180x,170
M,87,Joris,van Zalen,,NL,,58.21,competed,,2.5,5,6.25x,5,40,45x,50,50,60x,65,72.5,72.5,130,140,145,145
M,94,Micha,Jansen,,NL,,83.97,competed,,7.5,11.25,15,15,52.5,58.75,61.25,61.25,122.5,130,140,140,200,215,230x,215
M,94,Kenny,Kathmann,,NL,,88.88,competed,,15,20,23.75,23.75,75,80,85,85,110x,115,125,125,210,220,225,225
M,94,Duncan,Vos,,NL,,90.75,competed,,20,22.5,25,25,72.5,77.5,80x,77.5,125,132.5,140,140,220,230,240x,230
M,94,Tim,de Blois,,NL,,85.37,competed,,10x,15,20,20,60,65,70,70,140,150,160x,150,180,190,200,200
M,94,Jonathan Rodrigues,de Miranda,,NL,,68.18,competed,,0x,0x,0,0,38.75,42.5,46.25,46.25,85,95,101.25,101.25,190,200,207.5,207.5
M,94,Dennis,den Boef,,NL,,85.35,competed,,10,12.5,15x,12.5,52.5,57.5,62.5,62.5,110,117.5,125,125,225,232.5,242.5,242.5
M,94,Tony,van Embden,,NL,,75.18,competed,,0x,0,2.5,2.5,47.5,55,60x,55,107.5,115,120x,115,195,207.5,217.5,217.5
M,94,Bas,van der Hoek,,NL,,65.16,disqualified,Bombed the muscle-up,0x,0x,0x,,42.5,50x,55x,42.5,95,102.5,110,110,165,175,185,185
