Sex,WeightClassKg,FirstName,LastName,Disambiguation,Country,BodyweightKg,Ris,Status,StatusReason,MuscleUp1Kg,MuscleUp2Kg,MuscleUp3Kg,BestMuscleUpKg,PullUp1Kg,PullUp2Kg,PullUp3Kg,BestPullUpKg,Dips1Kg,Dips2Kg,Dips3Kg,BestDipsKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg
M,66,Hakim,Azahar,,MY,,108.12,competed,,22.5,30,33x,30,62.5x,70,72.5,72.5,122.5,130,137.5,137.5,152.5,160,162.5,162.5
M,66,Viki,Candra Kirana,,ID,,97.57,competed,,20,25,31.25,31.25,65x,65,71.25,71.25,110,120,122.25,122.25,160,170,175x,170
M,66,Chou,Chin Yi,,TW,,67.94,competed,,15x,20,25x,20,50,51.25,52.5,52.5,60,75,80,80,80,90,100x,90
M,66,Jed,Delegencia,,PH,,67.73,competed,,5,10,12.5,12.5,30,40,45,45,40,50,61.25,61.25,110,120,130,130
M,66,Zahlul,Fuad,,ID,,88.48,competed,,20,25,30,30,60,67.5,70,70,90,100,110,110,120,130,145,145
M,66,Rodeo,Isaac Dimailig,,PH,,69.95,competed,,15x,16,20x,16,55,58,60,60,70,75,80,80,120,130x,130x,120
M,66,Bong,Seong Hyeon,,KR,,84.55,competed,,15,17.5,20,20,55,60,62.5x,60,90,95x,95,95,160,170x,170x,160
M,66,Suwit,Thepissaradech,,TH,,70.47,competed,,15x,15,22.5x,15,60,65,70x,65,90,95,100x,95,90,100,105,105
M,66,Terrence,Ursua,,PH,,70.63,competed,,12.5x,13.75x,16,16,40,43,47.5,47.5,62.5,66.5,70,70,105,112,117,117
M,73,Reza,Aries,,ID,,72.32,competed,,5,10,12.5x,10,55,62.5,65x,62.5,92.5,105,110x,105,100,125,135,135
M,73,Kins,Cortes,,PH,,78.14,competed,,17.5,20,22.5,22.5,56,57.5,63,63,102.5x,107.5,112.5,112.5,142,145,150x,145
M,73,Seongmin,Kim,,KR,,88.52,competed,,27.5x,30,32.5x,30,75,80,82.5x,80,110,120,125x,120,160,165,175x,165
M,73,François,Li,,FR,,104.77,competed,,30,35,37.5,37.5,90,95,97.5x,95,145,150,151.25x,150,185,195x,195x,185
M,73,Kim,Tae Hwan,,KR,,88.17,competed,,18.75,22.5,25x,22.5,65,70,72.5,72.5,105,112.5,117.5x,112.5,180,190x,190x,180
M,73,Kim,jin seong,,KR,,79.23,competed,,10x,15,17.5x,15,50,55,60x,55,100,105,110,110,160,170,175x,170
M,73,,조정우,,PH,,0,no_show,,,,,,,,,,,,,,,,,
M,80,Azhar,Guiamadin,,PH,,54.56,disqualified,Bombed the muscle-up,10x,10x,10x,,45,52.5x,55x,45,55,65,82.5x,65,140,150,160x,150
M,80,Sơn,Hanma,,VN,,90.68,competed,,20,30x,31.25x,20,70,80x,82.5x,70,150,165x,167.25,167.25,145,155x,160,160
M,80,Howard,Kwok,,HK,,66.45,competed,,10,12.5,16x,12.5,60,70x,80x,60,80,95,105x,95,140x,150x,150,150
M,80,Diego Alexander,Leon Delgado,,CO,,96.81,competed,,28.75,32.5,35x,32.5,78.5,85x,87.5,87.5,130,140x,141.25x,130,195,210,225x,210
M,80,Ryu,Si Hyun,,KR,,93.95,competed,,35,37.5,40,40,72.5,77.5,80x,77.5,125,130,135x,130,180,195,200x,195
M,80,Martin,Yalung,,PH,,61.35,competed,,0x,2.5,6.25x,2.5,37.5x,40,46.25,46.25,60,70,75x,70,150,160,165x,160
M,80,won,chan LIM,,KR,,84.48,competed,,20,25,30x,25,70,75x,75,75,120,127.5x,127.5x,120,170,185x,195x,170
M,80,Melvin,jhordy,,ID,,78.48,competed,,20,25,32.5x,25,77.5,85,90x,85,95,105,120x,105,145,160,170x,160
M,87,Jinhyeong,Kim,,KR,,66.64,competed,,5,8.75,10x,8.75,50x,50,55x,50,75,82.5,90,90,160,170,175,175
M,87,Jasen Teoh,Zhi Hao,,SG,,96.65,competed,,30,33.75x,33.75x,30,77.5,80,82.5,82.5,135,140,145,145,200,210,220,220
M,101,Florian,Lory,,BE,,91.63,competed,,10,15,17.5x,15,82.5,90x,90x,82.5,120,130,135,135,227.5,245,267.5x,245
F,52,Katrena Goh,Jia Min,,SG,,107.6,competed,,7.5,12.5,15x,12.5,35,40,42.5,42.5,55,60,65,65,95,100,102.5,102.5
F,57,Prableen,Kaur Gill,,IN,,100.6,competed,,7.5,12.5x,13.75,13.75,30,36.25x,41.25x,30,57.5,65x,65,65,105,115,120x,115
F,57,Jenny,Tañedo,,PH,,68.08,competed,,0,1.25x,1.25x,0,22.5,27.5,32.5x,27.5,22.5,30,35,35,75,82.5,90,90
F,63,Lim Yu Ling,Charlotte Frances,,SG,,76.94,disqualified,Bombed the muscle-up,0x,0x,0x,,25,30,32.5x,30,47.5x,52.5,55x,52.5,85,90,95,95
