Sex,WeightClassKg,FirstName,LastName,Disambiguation,Country,BodyweightKg,Ris,Status,StatusReason,MuscleUp1Kg,MuscleUp2Kg,MuscleUp3Kg,BestMuscleUpKg,PullUp1Kg,PullUp2Kg,PullUp3Kg,BestPullUpKg,Dips1Kg,Dips2Kg,Dips3Kg,BestDipsKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg
M,66,Amr,Ahmed,,EG,,47.38,competed,,12.5,15x,15,15,37.5x,41.25,42.5,42.5,57.5x,61.25x,61.25,61.25,60x,60,70,70
M,66,Ibrahim,Amr,,EG,,0,no_show,,,,,,,,,,,,,,,,,
M,66,Youssef,Ashraf,,EG,,54.01,competed,,12.5,15x,15x,12.5,42.5,46.25,50,50,65,70,72.5x,70,60,70x,70x,60
M,66,Ziad,Dakroury,,EG,,0,no_show,,,,,,,,,,,,,,,,,
M,66,Abdelaziz,Elasheri,,EG,,54.13,competed,,2.5,7.5,10,10,32.5,35,40x,35,50,55x,56x,50,125x,130,140x,130
M,66,Youssef,Elsaeed,,EG,,69.32,competed,,10,15x,15x,10,55,60,62.5x,60,75,80x,80,80,135x,140,147.5x,140
M,66,Ahmed,Elsalamony,,EG,,80.49,competed,,25,30x,30x,25,65,72.5,77.5x,72.5,100,110x,110,110,115,125x,125,125
M,66,,Eyad,,EG,,45.9,competed,,5,7.5,10,10,35,40,45,45,55,65x,65x,55,70x,75x,75,75
M,66,,Mohamed,,EG,,72.13,competed,,10,15,20x,15,55,65,70,70,90,100,110,110,100,115x,115x,100
M,66,kamal,Tabet,,LB,,76.86,competed,,10,15x,15x,10,55,62.5,66.25x,62.5,95,102.5,110,110,135,150x,150x,135
M,66,ali,mohamed ghallab,,EG,,65.12,competed,,12.5,17.5,20x,17.5,45,51.25,55,55,72.5,73.75x,80,80,110,120x,132.5x,110
M,66,mahmoud,mrsal,,EG,,59.14,competed,,11.25,17.5,20x,17.5,42.5,47.5,50,50,57.5,60,65,65,80,85,90,90
M,73,Omar,Ahmed Farouk,,EG,,71.98,competed,,15,20,25x,20,55,60x,60x,55,100,105x,105x,100,140,150x,150x,140
M,73,Mohamed,Alkholy,,EG,,0,no_show,,,,,,,,,,,,,,,,,
M,73,Maroun,Bou Sleiman,,LB,,99.5,competed,,30,35,40,40,75,85,90,90,115,125,135,135,165,180,190x,180
M,73,Sherif,Hazem,,EG,,81.9,competed,,22.5,26.25,27.5,27.5,75,80,85x,80,100,110,115x,110,145x,145,152.5,152.5
M,73,kamel,Osama Zakaria,,EG,,79.25,competed,,20,25x,25x,20,67.5,72.5,75x,72.5,105,110,112.5x,110,155,160,170x,160
M,73,Youssef,Shehab,,EG,,76.64,competed,,15,20,25x,20,57.5,63.75x,63.75,63.75,97.5,102.5,107.5x,102.5,145,160,170x,160
M,73,ali,shaaben,,LB,,103.53,competed,,38.75x,42.5,47.5x,42.5,92.5,101.25,105x,101.25,135,150,161.25x,150,185,200x,200x,185
M,80,ashraf,Adel Mohamed,,EG,,94.83,competed,,37.5,42.5,43.75x,42.5,85,91.25x,91.25,91.25,125,135,135,135,195,205x,205x,195
M,80,Hatem,Albakri,,SA,,88.95,competed,,30,40,42.5x,40,85,92.5,95,95,140,150x,150,150,150,160x,162.5x,150
M,80,Zeiad,Ali Helmy,,EG,,0,no_show,,,,,,,,,,,,,,,,,
M,80,Ali,Khaled,,EG,,50.43,competed,,7.5x,7.5,11.25,11.25,32.5,40,43.75x,40,65,75,85x,75,90,110,120x,110
M,80,Abdullah,Mohamed,,EG,,44.51,disqualified,Bombed the squat,22.5x,27.7,30x,27.7,70,77x,77x,70,112.5x,112.5,120,120,172.5x,172.5x,175x,
M,80,AMIN,Mostafa Amin,,EG,,88.36,competed,,25,28.75,30x,28.75,80,90,92.5x,90,130x,137.5,142.5x,137.5,170x,175,190x,175
M,80,Hassan,Naser,,EG,,59.49,competed,,10,12.5,17.5x,12.5,45,46.25x,51.25,51.25,80,87.5x,90,90,130,140x,140,140
M,80,charbel,charabaty,,LB,,94.43,competed,,23.75,27.5,30,30,77.5,85,88.75,88.75,127.5,138.75,147.5,147.5,190,200,210x,200
M,80,youssef,debaiky,,EG,,74.63,competed,,25,30,35x,30,65,70,75,75,110,120x,120x,110,140x,140,150,150
M,80,khaled ahmed,el mokadem,,EG,,25.17,disqualified,Bombed the squat,5x,7.5,12.5,12.5,40,45,52.5x,45,65,75x,80x,65,110x,110x,110x,
M,80,mazen,ghaith,,LB,,89.2,competed,,17.5x,21.25,25,25,67.5,76.25,81.25,81.25,117.5x,125x,125,125,200,205,212.5x,205
