Sex,WeightClassKg,FirstName,LastName,Disambiguation,Country,BodyweightKg,Ris,Status,StatusReason,MuscleUp1Kg,MuscleUp2Kg,MuscleUp3Kg,BestMuscleUpKg,PullUp1Kg,PullUp2Kg,PullUp3Kg,BestPullUpKg,Dips1Kg,Dips2Kg,Dips3Kg,BestDipsKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg
M,66,Hakim,Azahar,,MY,,104.24,competed,,20,30x,32.5,32.5,60,70,75x,70,130,140,142.5,142.5,160,170,175x,170
M,66,Naim,Azali,,MY,,74.4,competed,,20x,22.5,26.25,26.25,75,82.5x,85,85,80,90,95x,90,100,110,120x,110
M,66,Hieu,Bui,,VN,,49.5,disqualified,Bombed the squat,10,15,20,20,60,70,75x,70,90,110,115,115,100x,130x,130x,
M,66,Chou,Chin Yi,,TW,,69.6,competed,,18.75,23.75x,23.75x,18.75,46.25,52.5,57.5x,52.5,77.5x,86.25,92.5,92.5,87.5,97.5,105x,97.5
M,66,Zahlul,Fuad,,ID,,87.42,competed,,25,30,32.5x,30,62.5,67.5,72.5,72.5,100,110,120x,110,130x,135,147.5,147.5
M,66,Fauzi,Hermawan,,ID,,90.4,competed,,15,20,25x,20,57.5,62.5,67.5,67.5,105,112.5,117.5,117.5,155,160,167.5,167.5
M,66,Raffy,Laa,,SG,,85.97,competed,,17.5,20,22.5,22.5,60,65,70x,65,110,120,125x,120,130,145,155x,145
M,66,Suwit,Thepissaradech,,TH,,73.28,competed,,15,20x,20x,15,60,65,67.5,67.5,95,100,105x,100,110,115,120,120
M,66,Terrence,Ursua,,PH,,77.08,competed,,16.25,17.5,20,20,47.5x,48.75,50,50,75,81.25,82.5,82.5,130,135,137.5,137.5
M,66,Asyam,Zufarahmad,,ID,,77.89,competed,,30x,30x,30,30,60,65,70,70,110,115,117.5x,115,110,120x,120x,110
M,73,Luqman,Al Hakim,,MY,,78.96,competed,,12.5x,15x,15,15,67.5,72.5x,75,75,97.5,102.5,110,110,150,155,162.5,162.5
M,73,Reza,Aries,,ID,,72.02,competed,,5,7.5,11.25x,7.5,55,60,63.75x,60,100,105,110x,105,130,140,150,150
M,73,Sơn,Hanma,,VN,,90.01,competed,,15,20x,20,20,65,70,75,75,145,153.75x,158.75,158.75,145,155,162.5,162.5
M,73,Maudana,Kasdam,,ID,,50.76,competed,,0,2.5,5,5,35,40,45,45,55,60,70,70,95,102.5,105,105
M,73,Haaziq,Mutazah,,SG,,77.95,competed,,15,20,25,25,55,60,61.25,61.25,90,100,107.5,107.5,130,140,150,150
M,80,Melvin,Jhordy,,ID,,93.79,competed,,30,35,40,40,85,90,92.5,92.5,115,125,132.5,132.5,175,185,195,195
M,80,Won-Chan,Lim,,KR,,94.15,competed,,25,30x,32.5x,25,75,80,82.5x,80,135,143.75x,145x,135,205,220,235x,220
M,80,Bat,Med,,SG,,61.31,competed,,5,10,12.5,12.5,50,55,62.5x,55,70,80,85,85,140,147.5,150x,147.5
M,80,Ryu,Si Hyun,,KR,,94.3,competed,,37.5,40,42.5x,40,75,80,81.25,81.25,130x,135,142.5x,135,200,210,220x,210
M,87,Mingi,Kim,,KR,,69.71,competed,,0,2.5x,5x,0,35,40,45,45,90,95,100x,95,200,210,220,220
M,87,Aryan,Magoo,,IN,,88.27,competed,,25x,27.5x,27.5,27.5,63.75,67.5,68.75,68.75,120,125x,125x,120,215,227.5,240x,227.5
M,87,Nico,Maramis Saputra,,ID,,84.55,competed,,15,17.5,21.25x,17.5,70,72.5,75x,72.5,130,137.5,145,145,185,195x,195,195
M,87,Jasen Teoh,Zhi Hao,,SG,,97.35,competed,,22.5,27.5,32.5x,27.5,80,87.5,88.75x,87.5,140,150,160,160,210,220,230,230
M,94,Sean,Wong,,SG,,78.31,competed,,12.5,17.5,20,20,50,57.5,62.5,62.5,125,137.5,147.5,147.5,160,170,180,180
F,52,Katrena Goh,Jia Min,,SG,,98.09,competed,,5,10,13.75,13.75,35,40,45,45,55,60,62.5,62.5,97.5,105,110,110
F,52,Diksha,Kapoor,,IN,,97.56,competed,,5,7.5,10x,7.5,40,45,47.5,47.5,45,50,55,55,110,117.5,120,120
F,52,Carmine,Lee,,SG,,87.31,competed,,7.5,10,12.5,12.5,27.5,31.25,33.75,33.75,50,55,60x,55,100,105,107.5,107.5
F,52,Ivory,Loh,,SG,,75.81,competed,,8.75,13.75,15,15,27.5x,31.25,33.75x,31.25,35,40,45x,40,82.5,90,97.5,97.5
F,57,Prableen,Kaur Gill,,IN,,85.51,competed,,10,13.75,15x,13.75,30,35,37.5,37.5,57.5x,57.5,62.5,62.5,102.5,110x,110,110
F,57,,Priscilla,,SG,,78.58,competed,,0,1.25,3.75,3.75,30,35,37.5,37.5,52.5,57.5,62.5,62.5,90,95,100,100
F,57,,Yen,,SG,,65.33,competed,,0,2.5,5,5,22.5,27.5,30x,27.5,30,35,40,40,80,85,90,90
F,63,Nur,Amira,,SG,,64.69,competed,,2.5,5x,5,5,20,25,30,30,45,50,52.5x,50,90,95,100x,95
F,63,Natasha,Kang,,SG,,63.1,competed,,1.25,3.75,5,5,20,22.5,25,25,32.5x,35x,35,35,105,110,112.5x,110
