Sex,WeightClassKg,FirstName,LastName,Disambiguation,Country,BodyweightKg,Ris,Status,StatusReason,MuscleUp1Kg,MuscleUp2Kg,MuscleUp3Kg,BestMuscleUpKg,PullUp1Kg,PullUp2Kg,PullUp3Kg,BestPullUpKg,Dips1Kg,Dips2Kg,Dips3Kg,BestDipsKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg
M,66,Alessandro,Buscarinu,,IT,,78.55,competed,,10,13.75,16.25,16.25,50,53.75,57.5x,53.75,85,92.5,100,100,142.5,150,157.5x,150
M,66,Alessio,Ceragioli,,IT,,106.7,competed,,25,27.5,30,30,72.5,77.5,80,80,100,105,110,110,202.5,210,215,215
M,66,Raffaello,Giammichele,,IT,,0,no_show,,,,,,,,,,,,,,,,,
M,66,Ginés,Martínez Pérez,,ES,,101.79,competed,,27.5,30,31.25,31.25,70,75,77.5,77.5,110,117.5,122.5,122.5,175,180,182.5x,180
M,66,Alessandro,Masala,,IT,,80.66,competed,,7.5,12.5,15x,12.5,50,55,57.5x,55,77.5,85,90x,85,170,175x,175x,170
M,73,Daniele,Bernardis,,IT,,87.78,competed,,20,22.5,25,25,60,65,70,70,105,110x,110,110,185,190x,192.5x,185
M,73,D,Black (Blakc),,IT,,65.41,competed,,10,13.75,16.25,16.25,45,51.25,56.25x,51.25,75,82.5,90,90,120,130,140x,130
M,73,Matteo,Carta,,IT,,93.32,competed,,25,30,32.5x,30,75,82.5,85,85,115x,120,127.5x,120,165,172.5,177.5,177.5
M,73,Mauro,Deiana,,IT,,73.47,competed,,6.25,8.75,11.25,11.25,42.5,47.5,52.5,52.5,70,77.5,85,85,155,167.5,175,175
M,73,Federico,Fresta,,IT,,91.78,competed,,25,30,32.5,32.5,70,75,80,80,110,117.5,122.5,122.5,152.5,160,165,165
M,73,,Giuseppe,,IT,,73.67,competed,,5,10,13.75,13.75,52.5,60x,62.5,62.5,55,70,77.5x,70,160,170,180,180
M,73,Marco,Laconi,,IT,,72.97,competed,,5,7.5,10,10,50,55,60x,55,85x,90,100x,90,175x,180,190x,180
M,73,,Marley,,IT,,83.08,competed,,25,28.75,31.25,31.25,52.5,57.5,61.25,61.25,85,92.5,95,95,160,170,180,180
M,73,Marco,Pavan,,IT,,60.9,competed,,0,7.5,10,10,57.5,65,70x,65,60,67.5,72.5,72.5,105x,110,120,120
M,73,Matteo,Pozzi,,IT,,78.39,competed,,17.5,22.5,25,25,65,70,73.75x,70,80,85,90,90,155,157.5,165,165
M,73,Ismaele,Varratta,,IT,,76.58,competed,,7.5,12.5,17.5,17.5,65,72.5,77.5,77.5,72.5,85,92.5x,85,155x,160x,160,160
M,73,Mateusz,Zabost,,PL,,97.45,competed,,25,27.5,30x,27.5,75,80,82.5x,80,130,140,145x,140,180,190,200x,190
M,73,edoardo,coppola,,IT,,70.44,competed,,0,13.75,16.5x,13.75,45,50,53.75x,50,60,70,80,80,155,170,175x,170
M,80,Milo,Banchetti,,IT,,93.78,competed,,10x,15,20x,15,57.5,62.5,66.25,66.25,112.5,120,125x,120,247.5,260x,260x,247.5
M,80,Luca,Bertolini Salvini,,IT,,63.83,competed,,2.5x,7.5,11.25x,7.5,50,55,60,60,50,60,61.25x,60,160,170,180,180
M,80,Leonardo,Cervelloni,,IT,,89.45,competed,,10,15,20,20,70,73.75,76.25,76.25,110,117.5,122.5x,117.5,207.5,217.5,225x,217.5
M,80,Simone,Facchinetti,,IT,,103.93,competed,,25,30,32.5x,30,75,80,82.5,82.5,145,152.5x,155x,145,200,215,227.5,227.5
M,80,Lorenzo,Giorgetti,,IT,,71.85,competed,,10x,13.75,16.25x,13.75,50,57.5,61.25x,57.5,75,82.5,90x,82.5,185,187.5,200x,187.5
M,80,Mattia,Martinelli,,IT,,100.77,competed,,27.5,32.5,35,35,77.5,83.75,90,90,115,125,133.75,133.75,215,225,227.5,227.5
M,80,Antonio,Migliaccio,,IT,,0,no_show,,,,,,,,,,,,,,,,,
M,80,Tommaso,Molinari,,IT,,72.92,competed,,5,11.25,12.5,12.5,45,50,53.75,53.75,97.5,102.5,107.5x,102.5,175,182.5,185x,182.5
M,80,Giuseppe,Pecoraro,,IT,,74.25,competed,,2.5,5,8.75x,5,52.5,58.75,60x,58.75,82.5,90x,93.75x,82.5,200x,207.5,212.5,212.5
M,80,Alessandro,Quaglia,,IT,,87.17,competed,,30,35,40x,35,70,75,80,80,110,120,130.5x,120,180,185x,185x,180
M,80,Marcello,Vigilante,,IT,,88.36,competed,,25,27.5x,27.5x,25,77.5,82.5,86.75,86.75,100,110,116.25x,110,205,207.5x,207.5x,205
M,87,Marc,Altarriba Coronado,,ES,,104.5,competed,,25,27.5,30x,27.5,75,80,85x,80,155,165,170,170,240x,250,273.5x,250
M,87,Guido,Barbarotto,,IT,,100.43,competed,,10,15,17.5x,15,70,72.5x,72.5,72.5,130,142.5,150.5x,142.5,255.5,268,277.5,277.5
M,87,Samuele,Carissimi,,IT,,71.18,competed,,11.25,16.25,20x,16.25,61.25,68.75,75x,68.75,85,92.5,100,100,155,165,172.5x,165
M,87,Diego,Corazza,,IT,,102.19,competed,,32.5,37.5,40,40,86.25,92.5,96.25x,92.5,125,135,140,140,225,235,245,245
