Sex,WeightClassKg,FirstName,LastName,Disambiguation,Country,BodyweightKg,Ris,Status,StatusReason,MuscleUp1Kg,MuscleUp2Kg,MuscleUp3Kg,BestMuscleUpKg,PullUp1Kg,PullUp2Kg,PullUp3Kg,BestPullUpKg,Dips1Kg,Dips2Kg,Dips3Kg,BestDipsKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg
M,66,D,Black,,IT,,70.93,competed,,15,17.5,20,20,52.5,57.5,60,60,82.5,90,95x,90,120,127.5,130x,127.5
M,66,Alessio,Castaldi,,IT,,63.82,competed,,17.5,20,22.5x,20,50,52.5x,52.5x,50,67.5,73.75x,73.75x,67.5,120,127.5,135,135
M,66,Dario,Chiappini,,IT,,0,no_show,,,,,,,,,,,,,,,,,
M,66,Andrey,Criste,,IT,,97.44,competed,,25,28.75,30,30,60,67.5,70x,67.5,115,122.5,126,126,175,187.5,195x,187.5
M,66,Federico,Pazziani,,IT,,55.31,competed,,1.25,5x,5,5,55,61.25,66.25,66.25,50,60,67.5,67.5,80,90,92.5x,90
M,66,Andrea,Tiberio,,IT,,0,no_show,,,,,,,,,,,,,,,,,
M,73,Gabriele,Barresi,,IT,,83.16,competed,,2.5,10,15,15,55,60,65,65,100,110,112.5,112.5,192.5,200x,200x,192.5
M,73,Giuseppe,Cocchiara,,IT,,77.04,competed,,10,13.75,15x,13.75,60,65,70x,65,85,92.5x,92.5x,85,192.5,200x,200x,192.5
M,73,Antonino,Comperatore,,IT,,96.29,competed,,17.5,22.5,26.25,26.25,77.5,82.5,86.25,86.25,105,112.5,117.5,117.5,200,205,210x,205
M,73,Mauro,Deiana,,IT,,75.15,competed,,7.5,11.25,16.25x,11.25,47.5,52.5,57.5,57.5,77.5,85,90,90,175,185,195x,185
M,73,Federico,Fresta,,IT,,96.3,competed,,25,30,33.75,33.75,75,81.25x,83.75,83.75,115,125,150x,125,172.5,185,195,195
M,73,Ilario,Gori,,IT,,99.04,competed,,25,30,36.5,36.5,90,100.5x,100.5x,90,120,127.5x,130x,120,170x,180,190,190
M,73,Federico,Lancini,,IT,,96.31,competed,,20,25,28.75x,25,72.5,80,83.75x,80,115,125,130,130,180,192.5,205,205
M,73,Alessandro,Masala,,IT,,85.97,competed,,12.5,17.5,18.75x,17.5,50,55,60,60,90,100,106.25,106.25,187.5,200,202.5x,200
M,73,Simone,Pasqua,,IT,,58,competed,,5,10,12.5,12.5,40,50,55,55,50,60,70,70,110,125,140x,125
M,73,Marco,Pavan,,IT,,64.57,competed,,7.5,12.5,13.75,13.75,62.5,70,75,75,70,77.5,82.5,82.5,110,120,125,125
