Sex,WeightClassKg,FirstName,LastName,Disambiguation,Country,BodyweightKg,Ris,Status,StatusReason,MuscleUp1Kg,MuscleUp2Kg,MuscleUp3Kg,BestMuscleUpKg,PullUp1Kg,PullUp2Kg,PullUp3Kg,BestPullUpKg,Dips1Kg,Dips2Kg,Dips3Kg,BestDipsKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg
M,66,Horea,Giloan,,RO,,74.71,competed,,5x,5,15,15,40,50,60,60,60,80,100x,80,120,140,150,150
M,66,Pablo,Reveriego Sansón,,ES,,96.96,competed,,22.5,25x,25x,22.5,70,73.75,75,75,110x,110,115x,110,180,187.5,195x,187.5
M,73,Bruno,Cordoba,,ES,,88.35,competed,,20,23.75x,23.75,23.75,67.5,71.25,73.75x,71.25,97.5,102.5,105x,102.5,185,195,202.5x,195
M,73,Pawel,Janosik,,PL,,90.43,competed,,17.5x,17.5x,17.5,17.5,60x,60,65,65,120,127.5x,127.5x,120,190,197.5,202.5,202.5
M,73,Milan,Pascan,,RS,,91.93,competed,,20,25,27.5,27.5,80,87.5,92.5,92.5,100,110x,110,110,155,165,172.5,172.5
M,73,David,Valant,,SI,,73.41,competed,,5x,10x,12.5,12.5,40,50,57.5,57.5,80,90,100x,90,150,160,170,170
M,80,Nik,Bavec,,SI,,92.47,competed,,22.5,27.5,30,30,65,75,80,80,105,115,120,120,190,200,210,210
M,80,Aleksa,Bibanovic,,RS,,80.95,competed,,15,20,25,25,65,72.5x,76.25,76.25,105,112.5,117.5x,112.5,155,165,172.5,172.5
M,80,Victor,Contreras Sanchez,,ES,,87.6,competed,,27.5,31.25,32.5x,31.25,70,76.25x,76.25x,70,100,110,115,115,182.5,192.5,200,200
M,80,Lazar,Djuric,,RS,,71.34,competed,,12.5,16.25,20,20,60,65,68.75x,65,95,102.5,107.5,107.5,145,155x,155x,145
M,80,Matija,Košuta,,SI,,77.08,competed,,5,10,12.5,12.5,45,52.5,57.5,57.5,87.5,97.5,107.5,107.5,170,180,187.5,187.5
M,80,Bartlomiej,Orchowski,,PL,,106.43,competed,,37.5,42.5,46,46,90,95,101,101,140,150,156x,150,210,215,217.5x,215
M,80,Elder,Paredes,,MX,,105.53,competed,,20,25x,27.5,27.5,70,77.5,85,85,135,145,155,155,215,227.5,232.5,232.5
M,80,Jernej,Silvester,,SI,,73.06,competed,,12.5,17.5,20,20,60,67.5,72.5,72.5,80,87.5,95,95,147.5,155,160,160
M,87,Daniel,Andrades Tocón,,ES,,91,competed,,25,30,35,35,77.5,85,90,90,120,130,135x,130,195x,200,205,205
M,87,Matevž,Hribar,,SI,,,competed,,0,5,7.5x,5,47.5,52.5,55,55,67.5,77.5,85,85,147.5x,157.5,170,170
M,87,Andrea,Popovic,,HR,,94.63,competed,,27.5,32.5,35x,32.5,90,95,97.5,97.5,115,125,135,135,190,200x,202.5,202.5
M,87,Georg,Rauch,,AT,,,competed,,15,20,25,25,70,76.25,80,80,110,122.5,127.5x,122.5,205,215,222.5,222.5
M,87,Arda,Sarıkaya,,TR,,90.16,competed,,25,30,32.5x,30,65,70x,70x,65,110,120,130x,120,220x,230,240,240
M,87,Juan,Tirado,,ES,,90.39,competed,,20,25,27.5,27.5,72.5,80,85,85,95,102.5,107.5x,102.5,220,232.5,240,240
M,94,Erik,Ašič,,SI,,83.87,competed,,25,30,32.5,32.5,75,80,85,85,105,115,120x,115,190,200,202.5x,200
