Sex,WeightClassKg,FirstName,LastName,Disambiguation,Country,BodyweightKg,ReportedRis,TotalKg,Status,StatusReason,MuscleUp1Kg,MuscleUp2Kg,MuscleUp3Kg,BestMuscleUpKg,PullUp1Kg,PullUp2Kg,PullUp3Kg,BestPullUpKg,Dips1Kg,Dips2Kg,Dips3Kg,BestDipsKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg
M,73,Gauthier,Aureille,,AU,72.9,,342.5,competed,,,,,11.25,,,,51.25,,,,105,,,,175
M,73,Brodii,Baron-Heeris,,AU,72.6,,267.5,competed,,,,,2.5,,,,60,,,,70,,,,135
M,73,Gwendal,Daniel,,AU,71.9,,226.25,competed,,,,,10,,,,51.25,,,,65,,,,100
M,73,Dan,Pettersson,,AU,71.6,,235,competed,,,,,0,,,,50,,,,65,,,,120
M,80,Troy,Abbott,,AU,76.7,,305,competed,,,,,0,,,,55,,,,75,,,,175
M,80,Rodolfo,Raba Larraguibel,,CL,77.3,,302.5,competed,,,,,20,,,,62.5,,,,85,,,,135
M,87,Adriano,Di Marco,,IT,83.9,,320,competed,,,,,10,,,,60,,,,85,,,,165
M,87,Daniel,Kwon,,AU,86.5,,237.5,competed,,,,,2.5,,,,50,,,,65,,,,120
M,87,Chris,Nixon,,AU,82.9,,247.5,competed,,,,,7.5,,,,40,,,,70,,,,130
M,94,Waylan,Batt,,AU,88.4,,290,competed,,,,,5,,,,55,,,,70,,,,160
M,94,Louis,Beaudlet,,AU,87.7,,338.75,competed,,,,,16.25,,,,55,,,,85,,,,182.5
M,94,Jacob,Moffit,,AU,93.5,,350,competed,,,,,2.5,,,,65,,,,82.5,,,,200
F,70,Angela,Abbott,,AU,65.9,,137.5,competed,,,,,5,,,,20,,,,22.5,,,,90
