Sex,WeightClassKg,FirstName,LastName,Disambiguation,Country,BodyweightKg,Ris,Status,StatusReason,MuscleUp1Kg,MuscleUp2Kg,MuscleUp3Kg,BestMuscleUpKg,PullUp1Kg,PullUp2Kg,PullUp3Kg,BestPullUpKg,Dips1Kg,Dips2Kg,Dips3Kg,BestDipsKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg
M,66,Zion,Cheng,,AU,64.5,,competed,,,,,30,,,,72.5,,,,80,,,,140
M,66,Alvin,Ng,,AU,63.7,,competed,,,,,16.25,,,,55,,,,85,,,,130
M,66,Nick,Raymond,,AU,65.3,,competed,,,,,28,,,,86.25,,,,125,,,,186
M,66,Manuel,Rodel,,AU,65.8,,competed,,,,,17.5,,,,65,,,,95,,,,155
M,66,Luis,Zhang,,AU,64.6,,competed,,,,,20,,,,55,,,,85,,,,117.5
M,73,David,Dada,,AU,73.1,,competed,,,,,20,,,,75.5,,,,112.5,,,,192.5
M,73,François,Delaveau,,FR,73.1,,competed,,,,,17.5,,,,65,,,,95,,,,167.5
M,73,Isra,Ghofur,,AU,73.1,,competed,,,,,20,,,,63.75,,,,90,,,,175
M,73,Thomas,Kearns,,AU,71.7,,competed,,,,,18.75,,,,55,,,,115,,,,180
M,73,Stanley,Lam,,AU,70.7,,competed,,,,,15,,,,50,,,,107.5,,,,140
M,73,Winson,Lam,,AU,72.9,,competed,,,,,22.5,,,,65,,,,130,,,,185
M,73,Paul,Tuckett,,AU,71.7,,competed,,,,,7.5,,,,58.75,,,,95,,,,132.5
M,73,Jacob,Yates,,AU,69.3,,competed,,,,,17.5,,,,47.5,,,,5,,,,160
M,80,Troy,Abbott,,AU,78.7,,competed,,,,,0,,,,55,,,,100,,,,190
M,80,Jaime,Chigwidden,,AU,80,,competed,,,,,20,,,,67.5,,,,90,,,,160
M,80,Liam,Nalder,,AU,77.1,,competed,,,,,30,,,,87.5,,,,155,,,,227.5
M,80,Rodolfo,Raba Larraguibel,,CL,79,,competed,,,,,20,,,,65,,,,100,,,,150
M,80,Byron,Watts,,AU,76.6,,competed,,,,,10,,,,60,,,,102.5,,,,162.5
M,80,Paul,Yen,,AU,79,,competed,,,,,40,,,,90,,,,142.5,,,,210
M,87,Bishoy,Ayad,,AU,86.1,,competed,,,,,16.25,,,,66.25,,,,115,,,,205
M,87,Chris,Cooper,,AU,81.3,,competed,,,,,21.25,,,,65,,,,105,,,,177.5
M,87,Donell,Matongo,,ZW,83.4,,competed,,,,,30,,,,85,,,,95,,,,210
M,87,David,Pena,,NC,87.1,,competed,,,,,15,,,,65,,,,0,,,,150
M,87,Manuel,Pommier,,NC,84.5,,competed,,,,,25,,,,77.5,,,,117.5,,,,215
M,87,Brock,Swan,,AU,86.6,,competed,,,,,27.5,,,,80,,,,137.5,,,,225
M,87,Ethan,Truong,,AU,86.9,,competed,,,,,10,,,,61.25,,,,95,,,,212.5
M,94,Adriano,Di Marco,,IT,87.1,,competed,,,,,15,,,,65,,,,90,,,,60
M,94,David,Fordyce,,AU,88.5,,competed,,,,,6.25,,,,60,,,,100,,,,175
M,94,Briar,Miller,,AU,92,,competed,,,,,0,,,,55,,,,5,,,,200
M,94,Lloyd,Miller,,AU,93.1,,competed,,,,,7.5,,,,80,,,,115,,,,212.5
M,94,Chris,Nixon,,AU,87.1,,competed,,,,,15,,,,65,,,,123.75,,,,160
M,94,Hamish,Wylie,,AU,87.4,,competed,,,,,21.5,,,,70,,,,122.5,,,,200
M,94+,Andrew,Xenikos,,AU,107.7,,competed,,,,,5,,,,65,,,,75,,,,190
F,63,Jemma,Aitken,,AU,61.3,,competed,,,,,12.5,,,,38.75,,,,62,,,,126
F,63,Toneiah,Blakelock,,AU,49.3,,competed,,,,,2.5,,,,22.5,,,,40,,,,97.5
F,63,Catherine,Clark,,AU,62.4,,competed,,,,,6.25,,,,35,,,,37.5,,,,115
F,63,Sophie,Scott,,AU,56.3,,competed,,,,,2.5,,,,21.25,,,,25,,,,85
F,63,Mariah,Stock Tambunan,,AT,50,,competed,,,,,5,,,,40,,,,52.5,,,,105
F,63,Cherrie,Veneman,,AU,55.2,,competed,,,,,5,,,,25,,,,36.25,,,,70
F,70,Angela,Abbott,,AU,61.3,,competed,,,,,2.5,,,,22.5,,,,25,,,,87.5
F,70,Georgia,Lilley,,GB,69.2,,competed,,,,,11.25,,,,36.25,,,,50,,,,117.5
F,70,Hayley,Moriarty,,AU,64.7,,competed,,,,,5,,,,27.5,,,,42.5,,,,115
F,70,Karla,Ramsden,,AU,65.5,,competed,,,,,21.5,,,,53,,,,65,,,,137.5
F,70,Michaela,Smith,,AU,66.8,,competed,,,,,7.5,,,,27.5,,,,40,,,,105
F,70,Ilena,Susup,,AU,68.2,,competed,,,,,13.75,,,,40,,,,67.5,,,,155
F,70+,Sarah,Tai,,AU,70.3,,competed,,,,,5,,,,25,,,,61.25,,,,125
