Sex,WeightClassKg,FirstName,LastName,Disambiguation,Country,BodyweightKg,Ris,Status,StatusReason,MuscleUp1Kg,MuscleUp2Kg,MuscleUp3Kg,BestMuscleUpKg,PullUp1Kg,PullUp2Kg,PullUp3Kg,BestPullUpKg,Dips1Kg,Dips2Kg,Dips3Kg,BestDipsKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg
M,66,Sam,High,,NZ,,73.66,competed,,6.25,10,15x,10,40,50,52.5,52.5,65,80,90,90,142.5,155,160,160
M,66,Kane,Marshall,,AU,,61.28,competed,,0x,0x,0,0,30,40,50,50,40,70,75,75,90,110x,110,110
M,66,Daniel,McConville,,AU,,39.04,competed,,0x,0,2.5x,0,20,40,42.5x,40,20,50,62.5,62.5,60x,60x,60,60
M,66,Manuel,Rodel,,AU,,77.59,competed,,17.5,20,22.5x,20,57.5,62.5,67.5x,62.5,85,95,100x,95,140,150,160x,150
M,66,,svon,,AU,,67.1,competed,,0x,0,5x,0,20,40,52.5x,40,80,90x,100,100,125,132.5,140,140
M,73,Shawn,Asturias,,AU,,74.85,competed,,15,18.75,20,20,52.5,57.5,60x,57.5,95,100,105,105,147.5,155,160x,155
M,73,,Bartosz,,AU,,56.66,competed,,5x,5,7.5x,5,35,40,47.5,47.5,75x,80x,80,80,110x,120,130,130
M,73,David,Dada,,AU,,80.64,competed,,15x,15,20x,15,65,70,75,75,90,100,110,110,165,170,175x,170
M,73,François,Delaveau,,AU,,71.7,competed,,6.25,10,15,15,52.5,60,65,65,75,81.25,87.5x,81.25,160,167.5,172.5x,167.5
M,73,Stanley,Lam,,AU,,71.9,competed,,12.5,15,20x,15,45,55,57.5,57.5,90,105,112.5x,105,125,135,140,140
M,73,Winson,Lam,,AU,,85.57,competed,,15,20,25,25,57.5,65,70x,65,120,127.5,132.5,132.5,170x,172.5,180x,172.5
M,73,Paul,Tuckett,,AU,,60.28,competed,,5,6.25x,7.5x,5,52.5,55,57.5,57.5,95x,95,100x,95,115x,115,120x,115
M,73,Jacob,Yates,,AU,,60.73,competed,,15,20x,20x,15,40,52.5,52.5x,52.5,50,60x,60x,50,150,160x,160x,150
M,80,Pierre,Antoinat,,FR,,69.6,competed,,15,20,22.5x,20,60,67.5,70x,67.5,80,92.5,95,95,160,170x,170x,160
M,80,Florian,Cornelissen,,AU,,44.56,competed,,10,12.5,15x,12.5,55,62.5,65x,62.5,35x,40,42.5,42.5,100,102.5x,100,100
