Sex,WeightClassKg,FirstName,LastName,Disambiguation,Country,BodyweightKg,Ris,Status,StatusReason,MuscleUp1Kg,MuscleUp2Kg,MuscleUp3Kg,BestMuscleUpKg,PullUp1Kg,PullUp2Kg,PullUp3Kg,BestPullUpKg,Dips1Kg,Dips2Kg,Dips3Kg,BestDipsKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg
M,66,Zion,Cheng,,AU,,70.28,competed,,17.5,20,25,25,60,66.25,68.75x,66.25,65,75,80,80,110,120,125,125
M,66,Milo,Climber,,AU,,52.59,competed,,0,2.5,5x,2.5,45,50,55,55,45,55,60x,55,110,115,120,120
M,66,Mano,Diamadis,,AU,,0,disqualified,Bombed the dips and muscle-up and squat,17.5x,17.5x,17.5x,,55,60,62.5x,60,70x,70x,70x,,100x,100x,100x,
M,66,Alvin,Ng,,AU,,66.49,competed,,5,10x,12.5,12.5,45,50,55,55,60,70,72.5,72.5,120,130x,135,135
M,66,Nick,Raymond,,AU,,99.2,competed,,18.75,21.25,23.75,23.75,72.5,80,83.75,83.75,105,115,122.5,122.5,172.5,180,185.5,185.5
M,66,Manpreet,Singh,,IN,,89,competed,,22.5x,27.5,30x,27.5,70,77.5,81.25,81.25,102.5x,105x,105,105,150x,155,160,160
M,66,Karun,Verma,,AU,,48.32,competed,,2.5,5x,5x,2.5,37.5,42.5,47.5,47.5,57.5,62.5,70,70,70,80,85,85
M,73,Jungwoo,Jo,,KR,,87.72,competed,,17.5x,17.5,20,20,65,70,71.25,71.25,90x,90,100,100,200,205,210,210
M,73,Thomas,Kearns,,AU,,78.38,competed,,12.5,16.25x,16.25x,12.5,52.5,57.5,61.25x,57.5,105,115,117.25x,115,165,170,172.5x,170
M,73,Kim,jin seong,,KR,,81.44,competed,,17.5,22.5x,22.5x,17.5,55,60,65x,60,110,120x,120x,110,185x,185,190x,185
M,80,Daniel,Abdoo,,AU,,76.4,competed,,10,15,20,20,55,62.5,70,70,70,80,90,90,170,180,180,180
M,80,Fortious,King,,AU,,71.19,competed,,5,12.5x,12.5,12.5,50x,67.5,70x,67.5,85,110,115x,110,165,187.5x,190x,165
M,80,Diego Alexander,Leon Delgado,,CO,,98.47,competed,,30,32.5,33.75x,32.5,78.75,85,90x,85,132.5,143.75,150,150,200x,210,215,215
M,80,Ryu,Si Hyun,,KR,,96.47,competed,,37.5,40,41.25x,40,72.5,77.5,80,80,130,140x,140,140,200,207.5,215,215
M,80,Kim,Tae Hwan,,KR,,87.75,competed,,20,25,27.25x,25,65,70,75,75,120x,120,130x,120,200,210,215x,210
M,80,Beau,Wakley,,AU,,62.75,competed,,7.5,10,15,15,50,57.25,62.5,62.5,72.5,80,90,90,120,140x,140,140
M,80,jaime,chigwidden,,AU,,65.71,competed,,15x,15,22.5x,15,60,65,71.25,71.25,90x,90,100x,90,150,160x,162.5x,150
M,87,Bishoy,Ayad,,AU,,60.78,competed,,5x,7.5,10x,7.5,40,50,60x,50,60,90,105,105,130x,155,180x,155
M,87,Chris,Cooper,,AU,,70.63,competed,,20,21.25x,21.25x,20,65,70x,70,70,90,100,101.25x,100,150,160,170,170
M,87,Hayden,Crossley,,AU,,72.16,competed,,10,15x,15,15,55,62.5,68.75x,62.5,90x,100,107.5x,100,165,180,190,190
M,87,Jair Antonio,Gomez Guerra,,CO,,49.96,competed,,5,10x,15x,5,50,65x,65x,50,50,65,80x,65,100,120,130,130
M,87,Jinhyeong,Kim,,KR,,67.69,competed,,5,7.5x,7.5,7.5,45,51.25,55x,51.25,80,90,95,95,170,180,185,185
M,87,Alfred,Larsson,,SE,,68.91,competed,,10,15,17.5,17.5,47.5,55,61.25,61.25,90x,100,110,110,170x,170,170,170
M,87,Hugo,Lazo,,FR,,60.56,competed,,0,5,10x,5,45,50x,50x,45,77.5,81.25,86.25x,81.25,170,177.5,182.5,182.5
M,87,Manuel,Pommier,,NC,,77.52,competed,,20x,25,27.5x,25,55,65,72.5,72.5,100,110x,111.25,111.25,180,190,200x,190
M,87,,Rok,,AU,,85,competed,,25,27.5x,27.5,27.5,65,72.5,77.5,77.5,110,120,127.5,127.5,185,200,210,210
M,87,Ethan,Truong,,AU,,66.11,competed,,3.75x,3.75x,5,5,47.5,55x,57.5,57.5,77.5,87.5,100x,87.5,175,185,195,195
M,87,won,chan LIM,,KR,,92.49,competed,,22.5,27.5x,30,30,72.5x,75,83.75x,75,135x,140x,145,145,200x,215x,220,220
M,94,David,Fordyce,,AU,,63.56,competed,,0,1.25,2.5x,1.25,40,46.25,52.5,52.5,80,90,100,100,165,175,185,185
F,57,Charlie,Choliere,,FR,,37.27,disqualified,Bombed the muscle-up and pull-up,0x,1.5x,2.5x,,25x,30x,30x,,22.5,30,37.5x,30,70,80x,85x,70
F,57,Angela,Ig,,AU,,65.08,competed,,7.5x,7.5,11.25x,7.5,30,32.5,35x,32.5,45,48.75,51.25x,48.75,82.5x,85,90x,85
F,63,Jemma,Aitken,,AU,,82.76,competed,,6.25,8.75,11.25x,8.75,28.75,33.75,36.25,36.25,50,55,58.75,58.75,112.5,120,125,125
F,63,Bethany,Allen,,AU,,52.96,competed,,5,7.5x,7.5x,5,17.5,20x,20x,17.5,20,25,35x,25,90,95,100,100
F,70,Kirsti,King,,AU,,57.77,disqualified,Bombed the muscle-up,0x,0x,0x,,15,20,23.75x,20,27.5x,33.75,40,40,90x,95,102.5,102.5
F,70,Daniele,Mendoza,,AU,,94.17,competed,,7.5,12.5,15x,12.5,32.5,37.5,42.5,42.5,55,62.555,67.5,67.5,127.5,135,142.5,142.5
F,70,Karla,Ramsden,,AU,,97.18,competed,,16.25,20x,20,20,42.5,50,52.5,52.5,62.5,70,75x,70,122.5,127.5,130,130
F,70+,sarah,tai,,AU,,74.56,competed,,0,2.5x,2.5,2.5,20,25,27.5,27.5,50,55x,60x,50,117.5x,120,130,130
