Sex,WeightClassKg,FirstName,LastName,Disambiguation,Country,BodyweightKg,Ris,Status,StatusReason,MuscleUp1Kg,MuscleUp2Kg,MuscleUp3Kg,BestMuscleUpKg,PullUp1Kg,PullUp2Kg,PullUp3Kg,BestPullUpKg,Dips1Kg,Dips2Kg,Dips3Kg,BestDipsKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg
M,66,Walid,Boulaghzalate,,IT,,108.61,competed,,22.5,26.25,28.75,28.75,70,73.75,76.25,76.25,112.5,121.25,130,130,185,195,205,205
M,66,Deldinne,Clément,,BE,,75.4,competed,,11.25,15,17.5,17.5,45x,50,53.75x,50,72.5,80,83.75,83.75,135,142.5,150,150
M,66,Hamza,El Oueriaghli,,BE,,78.44,competed,,10,12.5x,12.5,12.5,50,55,57.5,57.5,87.5,95x,100x,87.5,155,162.5,167.5x,162.5
M,66,Anas,Maani,,BE,,85.31,competed,,10,12.5,15,15,50,55,60x,55,95,100,105x,100,155,162.5,165x,162.5
M,66,Kristof,Rommens,,BE,,44.24,disqualified,Bombed the muscle-up and the dips,10x,10x,10x,,55,62.5,70x,62.5,70x,80x,80x,,105,115,122.5x,115
M,66,,ThiZho,,BE,,96.69,competed,,25x,27.5x,27.5,27.5,75x,75,80,80,110,117.5,125x,117.5,162.5,170,172.5x,170
M,66,Tomy,Truong,,BE,,83,competed,,10x,11.25,13.75x,11.25,45,50,53.75,53.75,80x,90,95x,90,150x,160,165x,160
M,66,Ashura,Youssef Bouida,,TN,,108.84,competed,,40,43x,43x,40,85,95,100.25,100.25,110,117.5,120,120,160,170,185,185
M,73,Thibault,Degenne,,FR,,91.15,competed,,12.5,16.25,20x,16.25,50,55,57.5,57.5,95,105,110x,105,215,230,243.5x,230
M,73,Camille,Delacre,,FR,,87.82,competed,,10,12.5,15x,12.5,60,65,67.5,67.5,100,110,115,115,190x,190,200x,190
M,73,Tristan,Delaval,,BE,,85.96,competed,,10x,10,17.5,17.5,45,52.5,62.5,62.5,90,100,110x,100,177.5,187.5,195x,187.5
M,73,Abderrahmen,Dellaoui,,FR,,101.07,competed,,23.75,27.5,30x,27.5,77.5,81.25,83.75,83.75,120x,122.5x,122.5,122.5,210,220,227.5x,220
M,73,Killian,Flecheux,,BE,,76.85,competed,,10,12.5x,12.5,12.5,45,50,52.5x,50,75,85,90,90,180,190x,192.5x,180
M,73,Maxime,Janssens,,BE,,80.38,competed,,15x,17.5,20,20,62.5,70,75,75,110,115,120,120,145x,145,150x,145
M,73,Arthur,Jongen,,BE,,86.87,competed,,20,25,27.5,27.5,62.5,70,73.75x,70,95,105,112.5x,105,170,180,187.5,187.5
M,73,Jessy,Kibana,,BE,,78.17,competed,,0,5x,10x,0,45,52.5,57.5x,52.5,100,110,120,120,160,175,182.5x,175
M,73,Bastien,Kinet,,BE,,85.86,competed,,15,20,22.5x,20,52.5,60,65x,60,105x,112.5,117.5,117.5,175,187.5,200x,187.5
M,73,Laurent,Modolo,,BE,,89.82,competed,,22.5,26.25,28.75x,26.25,60x,62.5,66.25,66.25,115,121.25x,121.25,121.25,185x,190,195x,190
M,73,Guillaume,Parein,,BE,,91.28,competed,,17.5,21.25,23.75,23.75,65,75,80,80,100,106.25,110,110,175,182.5,190,190
M,73,Dany,Pfeiffer,,BE,,92.06,competed,,15x,17.5,21.25x,17.5,61.25,66.25x,70x,61.25,115,122.5,127.5,127.5,192.5,197.5,202.5,202.5
M,73,Pablo,Reveriego Sansón,,ES,,98.24,competed,,20x,20,23.75x,20,67.5,75,77.5x,75,125,130,132.5x,130,202.5,210,215,215
M,80,Alexandre,Antropovski,,BE,,50.75,disqualified,Bombed the dips,10,12.5,13.75x,12.5,52.5,60,65x,60,97.5x,110x,110x,,152.5,165,170,170
M,80,Charles,Boucher,,BE,,90.66,competed,,17.5x,20x,20,20,70,75,78.75,78.75,110x,120,128.75,128.75,200,210,212.5x,210
M,80,Francois,Conreur,,BE,,94.73,competed,,30x,36.25x,36.25,36.25,90,91.25,100.5x,91.25,140,141.25x,145x,140,185x,190x,190,190
M,80,Rafael,Furtado Matos,,BE,,82.12,competed,,22.5,26.25,28.75x,26.25,72.5,80x,80,80,95,100,102.5x,100,180x,185,190,190
M,80,Pierre,Heirbrant,,BE,,73.63,competed,,12.5,17.5x,17.5x,12.5,55,60,65,65,90x,95,100x,95,175,182.5,190x,182.5
M,80,Deniz,Insel,,BE,,75.64,competed,,25,30,32.5x,30,65,72.5,75,75,110,120x,130x,110,150,152.5x,152.5x,150
M,80,Kevin,Khya,,BE,,83.3,competed,,16.25x,20,22.5x,20,60x,65x,70,70,100x,105,111.25,111.25,190x,200,207.5x,200
M,80,Loris,Marguinio,,BE,,79.52,competed,,7.5,12.5,16.25,16.25,52.5,60,65,65,95x,100,110,110,182.5,192.5,202.5x,192.5
M,80,Lukas,Vanagas,,LT,,62.26,competed,,0,5x,7.5x,0,40,47.5,57.5x,47.5,80,100,110x,100,140x,150x,150,150
M,87,Sylvain,Cerny,,BE,,104.6,competed,,30,33.75,35,35,80,86.25,90x,86.25,145,152.5,156.25x,152.5,240,247.5,255,255
