Sex,WeightClassKg,FirstName,LastName,Disambiguation,Country,BodyweightKg,Ris,Status,StatusReason,MuscleUp1Kg,MuscleUp2Kg,MuscleUp3Kg,BestMuscleUpKg,PullUp1Kg,PullUp2Kg,PullUp3Kg,BestPullUpKg,Dips1Kg,Dips2Kg,Dips3Kg,BestDipsKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg
M,66,Elian,Alkinani,,SE,,,,,,,,20,,,,67.5,,,,120,,,,182.5
M,66,Jin Samuel,Nilsen,,NO,,,,,,,,15,,,,50,,,,85,,,,132.5
M,73,Teodor,Dahlgren,,SE,,,,,,,,22.5,,,,80,,,,112.5,,,,192.5
M,73,Juho,Heinonen,,FI,,,,,,,,15,,,,65,,,,85,,,,145
M,73,Simon,Käreswed,,SE,,,,,,,,15,,,,55,,,,85,,,,172.5
M,80,Johan,Kang,,SE,,,,,,,,15,,,,65,,,,125,,,,205
M,80,Peter,Tolstrup,,NO,,,,,,,,35,,,,87.5,,,,150,,,,195
M,80,Harry,Twister,,SE,,,,,,,,25,,,,60,,,,107.5,,,,175
M,87,Axl,Kleven,,NO,,,,,,,,30,,,,90,,,,115,,,,160
M,87,Sven,Thorkildsen,,NO,,,,,,,,25,,,,80,,,,135,,,,205
M,87,Zack,Viberg,,SE,,,,,,,,27.5,,,,95,,,,130,,,,185
M,94,Miles Clarke,Bolin,,SE,,,,,,,,5,,,,60,,,,110,,,,182.5
M,94,Alexander,Hernelind,,SE,,,disqualified,Bombed the muscle-up,,,,,,,,55,,,,125,,,,167.5
M,94,Perttu,Riipinen,,FI,,,,,,,,5,,,,67.5,,,,120,,,,247.5
M,101,Lars,Lucas,,SE,,,,,,,,2.5,,,,70,,,,105,,,,230
M,101,Olof,Lundén,,SE,,,,,,,,15,,,,70,,,,105,,,,192.5
M,101,Aaro,Silvo,,FI,,,,,,,,28,,,,98,,,,120,,,,190
M,101+,Aun,Evensen,,NO,,,,,,,,1,,,,60,,,,125,,,,210
M,101+,Daniel,Eyaife,,SE,,,,,,,,1,,,,87.5,,,,152.5,,,,295
M,101+,Ola,Rønning,,NO,,,,,,,,2.5,,,,55,,,,80,,,,190
F,52,Caroline,Lagerborg,,SE,,,,,,,,3,,,,21,,,,26,,,,97.5
F,52,Linnea,Stenson,,SE,,,,,,,,10,,,,27,,,,35,,,,65
F,52,Kari Marie,Ulvestad,,NO,,,,,,,,,,,,30,,,,35,,,,92.5
F,57,Sanna,Andersson,,SE,,,,,,,,3.5,,,,21.5,,,,40,,,,125
F,57,Anni,Koskenniemi,,FI,,,,,,,,2.5,,,,30,,,,36.25,,,,90
F,63,Lina,Hedman,,SE,,,,,,,,4,,,,25,,,,52.5,,,,155
F,63,Taru,Riipinen,,FI,,,,,,,,16.25,,,,43.75,,,,60,,,,140
F,63,Ina,Vestin,,SE,,,,,,,,10,,,,36.25,,,,52.5,,,,95
F,70,Frida,Frisk,,SE,,,,,,,,,,,,37,,,,62.5,,,,130
F,70,Märta,Paulsson,,SE,,,,,,,,13.75,,,,36.25,,,,62.5,,,,140
F,70,Johanna,Saunamäki,,FI,,,,,,,,1.25,,,,32.5,,,,45,,,,135
F,70+,Ellen B.,Åkesson,,SE,,,,,,,,6,,,,35,,,,47.5,,,,145
F,70+,Ida,Lundén,,SE,,,,,,,,,,,,25,,,,50,,,,135
