Sex,WeightClassKg,FirstName,LastName,Disambiguation,Country,BodyweightKg,Ris,Status,StatusReason,MuscleUp1Kg,MuscleUp2Kg,MuscleUp3Kg,BestMuscleUpKg,PullUp1Kg,PullUp2Kg,PullUp3Kg,BestPullUpKg,Dips1Kg,Dips2Kg,Dips3Kg,BestDipsKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg
M,73,,Darkhan,,US,69,,competed,,,,,,50,62.5x,62.5x,50,62.5,70,77.5x,70,,,,
M,73,Haroon,Khan,,US,61.4,,competed,,,,,,30,41.25x,41.25x,30,35,36.25x,56.5,56.5,,,,
M,73,Daniel,Palicuk,,US,72.5,,competed,,,,,,50,55,61.25x,55,63.75,70,72.5x,70,,,,
M,73,Jose,Pena,,US,68.3,,competed,,,,,,50,52.5,53.75,53.75,81.25,90,91.25x,90,,,,
M,73,Marcus,Stewart,,US,58.2,,competed,,,,,,45,52.5,58.75x,52.5,61.25,72.5,83.75,83.75,,,,
M,80,,Casey,,US,74.3,,competed,,,,,,50x,50x,50x,,0x,0x,0x,,,,,
M,80,Carlos,Espejo,,US,79.3,,competed,,,,,,60,67.5,72.5x,67.5,100,115,125,125,,,,
M,80,Elvis,Mazzotta,,US,79.5,,competed,,,,,,41.25,45,51.25,51.25,77.5,81.25x,86.25,86.25,,,,
M,80,William,Santiago,,US,79.3,,competed,,,,,,61.25,66.25,70,70,82.5,90,0x,90,,,,
M,80,Shaquille,Segundo,,US,74.3,,competed,,,,,,47.5x,50,55,55,81.25,92.5x,92.5x,81.25,,,,
M,87,Dontaze,Osborne,,US,84,,competed,,,,,,0x,0x,25x,,50,58.75,63.5,63.5,,,,
M,94,Nick,Showty,,US,89.9,,competed,,,,,,61.25,68.75,72.5x,68.75,100,115x,115x,100,,,,
M,101,Stephen,Novaretta,,US,95.9,,competed,,,,,,45,53.75,61.25,61.25,100,122.5x,122.5x,100,,,,
F,70,Danae,Morgan,,US,69.9,,competed,,,,,,42.5,45,47.5,47.5,50,52.5,56.25,56.25,,,,
