Sex,WeightClassKg,FirstName,LastName,Disambiguation,Country,BodyweightKg,Ris,Status,StatusReason,MuscleUp1Kg,MuscleUp2Kg,MuscleUp3Kg,BestMuscleUpKg,PullUp1Kg,PullUp2Kg,PullUp3Kg,BestPullUpKg,Dips1Kg,Dips2Kg,Dips3Kg,BestDipsKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg
M,73,James,Bell,,US,65.6,,disqualified,,,,,,30x,30x,30x,,50,60,61.25x,60,,,,
M,73,Lincoln,Black,,US,72.4,,competed,,,,,,70,73.75x,75x,70,92.5x,92.5,95x,92.5,,,,
M,73,Shaheed,Bryant,,US,57.6,,competed,,,,,,41.25,51.25,60,60,75,87.5,100,100,,,,
M,73,Nicholas,DeFrancesco,,US,70.1,,competed,,,,,,62.5,68.75,72.5x,68.75,95,105,110,110,,,,
M,73,Jeremiah,George,,US,70.4,,competed,,,,,,20,30,45,45,50,62.5,68.75,68.75,,,,
M,73,Jeremy,Lehman,,US,71.5,,competed,,,,,,35,40,46.25x,40,60,70,73.75,73.75,,,,
M,73,Matthew,Shoffner,,US,71.8,,competed,,,,,,71.25,82.5,90x,82.5,90,100,107.5,107.5,,,,
M,73,Brian,Song,,US,71.7,,competed,,,,,,30,35,40x,35,82.5,85,87.5,87.5,,,,
M,80,Zavier,Bryant,,US,78.3,,competed,,,,,,56.25,62.5,70,70,75,82.5,95,95,,,,
M,80,Max,Cohen,,US,74.7,,competed,,,,,,52.5,60x,60x,52.5,92.5,100,107.5x,100,,,,
M,80,Shaquille,Segundo,,US,78.2,,competed,,,,,,52.5,60,65,65,85,95,100x,95,,,,
M,87,Godfroy,Ali Yerima,,US,85.1,,competed,,,,,,50,67.5,75x,67.5,65,0x,0x,65,,,,
M,87,Dontaze,Osborne,,US,85,,competed,,,,,,45x,45x,45,45,67.5,81.25,90x,81.25,,,,
M,87,Miguel,Robles,,US,81.3,,competed,,,,,,75,85,90,90,110,120,126.25x,120,,,,
M,87,William,Santiago,,US,83,,competed,,,,,,55,62.5,70x,62.5,80,85,90,90,,,,
M,87,Brian,Shtika,,US,81.3,,competed,,,,,,52.5,60,65x,60,92.5,100,105x,100,,,,
M,87,Anthony,Strickland,,US,80.3,,competed,,,,,,45,55,60,60,1.25,5,0x,5,,,,
M,87,Alassane,Thiouf,,US,83.8,,competed,,,,,,41.25,50x,50,50,65,75,80x,75,,,,
M,101,Luke,Owens,,US,97.9,,competed,,,,,,20,40x,42.5x,20,65,80,102.5,102.5,,,,
M,101+,Querell,Montaque,,US,108.9,,competed,,,,,,20,25,45x,25,72.5,83.75,85,85,,,,
