Sex,WeightClassKg,FirstName,LastName,Disambiguation,Country,BodyweightKg,Ris,Status,StatusReason,MuscleUp1Kg,MuscleUp2Kg,MuscleUp3Kg,BestMuscleUpKg,PullUp1Kg,PullUp2Kg,PullUp3Kg,BestPullUpKg,Dips1Kg,Dips2Kg,Dips3Kg,BestDipsKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg
M,66,Alex,Abbate,,US,59.4,,competed,,,,,,35,41.25,46.25,46.25,56.25,68.75,70,70,,,,
M,66,Shaheed,Bryant,,US,57.4,,competed,,,,,,57.5,68.75x,70,70,87.5,102.5,108.75x,102.5,,,,
M,73,Nicholas,DeFrancesco,,US,71.8,,competed,,,,,,70,75,77.5,77.5,110,120,127.5x,120,,,,
M,73,Steven,May,,US,69.3,,competed,,,,,,45,52.5,60x,52.5,65x,65,75,75,,,,
M,73,Corey,Morrison,,US,70.1,,competed,,,,,,45,50,62.5,62.5,40,55,80,80,,,,
M,73,Jacob,Oster,,US,72.6,,competed,,,,,,30,37.5,62.5x,37.5,45,56.25,62.5,62.5,,,,
M,80,Zavier,Bryant,,US,78.6,,competed,,,,,,72.5,80,82.5x,80,90,102.5,105x,102.5,,,,
M,80,Viktor,Karakhanyan,,US,78,,disqualified,,,,,,45x,45x,45x,,50,55,60,60,,,,
M,80,Brian,Shtika,,US,78.8,,competed,,,,,,57.5,65,70x,65,90,100,107.5,107.5,,,,
M,87,Carlos,Espejo,,US,81.2,,disqualified,,,,,,70x,70x,70,70,125x,125x,0x,,,,,
M,94,Matthew,Cagnetta,,US,87.1,,competed,,,,,,55,60,65,65,42.5,50,70x,50,,,,
M,94,Colin,Snoke,,US,89.2,,competed,,,,,,35,40,47.5,47.5,50,60,73.75,73.75,,,,
M,101,Roy,Powell,,US,100.8,,competed,,,,,,70x,71.25,85x,71.25,95,120,125x,120,,,,
M,101+,Brendan,Todd,,US,116.9,,competed,,,,,,65,75x,76.25,76.25,105,125,136.25,136.25,,,,
F,63,Julia,Williams,,US,62.1,,disqualified,,,,,,0x,0x,0x,,22.5,28.75,33.75,33.75,,,,
F,70+,Ryan,Corridon,,US,77.4,,competed,,,,,,20,22.5,0x,22.5,35,36.25,38.75,38.75,,,,
