Sex,WeightClassKg,FirstName,LastName,Disambiguation,Country,BodyweightKg,Ris,Status,StatusReason,MuscleUp1Kg,MuscleUp2Kg,MuscleUp3Kg,BestMuscleUpKg,PullUp1Kg,PullUp2Kg,PullUp3Kg,BestPullUpKg,Dips1Kg,Dips2Kg,Dips3Kg,BestDipsKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg
M,66,Shaheed,Bryant,,US,60.55,,competed,,,,,,58.75,68.75,76.25x,68.75,93.75,106.25,110,110,,,,
M,66,Damir,Khalimov,,US,63.2,,disqualified,,,,,,50x,55x,55x,,50,55,65x,55,,,,
M,66,Paul,Yin,,US,59.4,,competed,,,,,,75,80x,80x,75,45,55,60x,55,,,,
M,73,Salim,Ahram,,US,72.4,,competed,,,,,,40x,40,47.5,47.5,60,67.5,77.5,77.5,,,,
M,73,Rodney,Cabrera-Joseph,,US,72.8,,competed,,,,,,72.5,78.75x,82.5x,72.5,85,95,105,105,,,,
M,73,Edward,Lee,,US,70.8,,competed,,,,,,45,50x,50x,45,75x,80,90x,80,,,,
M,73,Steven,May,,US,70,,competed,,,,,,48.75,53.75x,53.75x,48.75,72.5,76.25,85x,76.25,,,,
M,73,Yed,Park,,US,69.35,,disqualified,,,,,,50,60,65x,60,60x,60x,60x,,,,,
M,80,Eric,Conn,,US,76.7,,competed,,,,,,45,52.5,57.5,57.5,85,91.25x,95,95,,,,
M,80,Seth,Dolby,,US,77.2,,competed,,,,,,20,25,32.5,32.5,40,50,60x,50,,,,
M,80,Adam,Edson,,US,78.3,,competed,,,,,,35x,41.25,46.25,46.25,80,87.5,96.25x,87.5,,,,
M,80,Corey,Morrison,,US,79.75,,competed,,,,,,75,77.5,81.25,81.25,95,107.5,115,115,,,,
M,80,Harris,Pham,,US,79.85,,competed,,,,,,61.25,65,72.5x,65,85,92.5,100x,92.5,,,,
M,80,Matthew,Shoffner,,US,78.5,,competed,,,,,,80,90,100,100,110,125,136.25,136.25,,,,
M,80,Li,Xi,,US,78.75,,competed,,,,,,85,88.75x,91.25,91.25,120,127.5x,127.5,127.5,,,,
M,80,Obayda,Zuraiqi,,US,74.3,,competed,,,,,,50,52.5x,52.5x,50,95,100,105x,100,,,,
M,87,Nicholas,Cerean,,US,85.25,,competed,,,,,,90,96.25,101.25,101.25,120,127.5,132.5,132.5,,,,
M,87,Maurice,Marino,,US,81.6,,competed,,,,,,67.5,72.5x,72.5x,67.5,90,97.5,103.75,103.75,,,,
M,87,Shahzad,Mian,,US,85.85,,competed,,,,,,45,51.25x,51.25x,45,77.5,85,90,90,,,,
M,87,Josh,Trammell,,US,87,,competed,,,,,,57.5,63.75,65,65,105,125,130x,125,,,,
M,94,Kassem,Khatib,,US,89.7,,disqualified,,,,,,50x,52.5x,52.5x,,77.5x,85x,91.25x,,,,,
M,94,Zachary,Khatib,,US,88.7,,competed,,,,,,50,55x,55,55,87.5,93.75,102.5,102.5,,,,
M,94,Dion,Lynch,,US,91.3,,competed,,,,,,70,77.5,82.5,82.5,100,106.25,113.75,113.75,,,,
M,94,Osaid,Sasi,,US,90.25,,competed,,,,,,52.5x,52.5x,52.5,52.5,87.5,93.75,101.25,101.25,,,,
M,94,Colin,Snoke,,US,89.45,,competed,,,,,,45,55,60,60,75,85,92.5,92.5,,,,
M,94,Nicholas,Stewart,,US,89.15,,competed,,,,,,47.5,56.25,62.5,62.5,85,92.5,100,100,,,,
M,101,Jamie,Cumberbatch,,US,98.35,,competed,,,,,,40,46.25x,47.5,47.5,70x,75,91.25x,75,,,,
M,101,Shaquillie,Lawrence,,US,99.25,,competed,,,,,,65,70x,71.25,71.25,110,137.5x,143.75x,110,,,,
M,101,Roy,Powell,,US,100.75,,competed,,,,,,72.5,80x,85x,72.5,127.5,138.75,147.5,147.5,,,,
M,101+,Brendan,Todd,,US,121.85,,competed,,,,,,77.5,86.25,91.25,91.25,135x,150,160x,150,,,,
F,57,Ashley,Ouzts,,US,56.4,,competed,,,,,,6.25x,10x,10,10,10,15,20x,15,,,,
F,70,Maria,Tiagunova,,US,65.4,,competed,,,,,,27.5,30,32.5x,30,50,57.5x,57.5x,50,,,,
F,70+,Katie,McCullough,,US,72.55,,competed,,,,,,18.75,21.25,23.75,23.75,40,45x,50,50,,,,
