Sex,WeightClassKg,FirstName,LastName,Disambiguation,Country,BodyweightKg,Ris,Status,StatusReason,MuscleUp1Kg,MuscleUp2Kg,MuscleUp3Kg,BestMuscleUpKg,PullUp1Kg,PullUp2Kg,PullUp3Kg,BestPullUpKg,Dips1Kg,Dips2Kg,Dips3Kg,BestDipsKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg
M,66,Shaheed,Bryant,,US,58,,competed,,,,,,58.75,71.25,75,75,90,103.75,105x,103.75,,,,
M,66,Jason,Lee,,US,65,,competed,,,,,,50,55,57.5,57.5,50,60,65,65,,,,
M,73,Zeke,Barber,,US,70.9,,competed,,,,,,50,53.75,57.5,57.5,92.5,96.25,100x,96.25,,,,
M,73,Eduardo,Chessa,,US,71.1,,competed,,,,,,70,75,77.5,77.5,100,112.5,120x,112.5,,,,
M,73,Sebastian,Krausz,,US,67.4,,competed,,,,,,37.5,40,42.5x,40,37.5,40,45,45,,,,
M,73,John,Martinez,,US,66.8,,competed,,,,,,41.25,43.75,45,45,52.5,56.25x,57.5x,52.5,,,,
M,80,Tope,Olunuga,,US,75.7,,competed,,,,,,25,32.5,42.5,42.5,57.5,67.5,76.25,76.25,,,,
M,80,Andrew,Whyne,,US,73.8,,competed,,,,,,52.5,55,60,60,55,57.5x,57.5,57.5,,,,
M,87,Nicholas,Cerean,,US,84.3,,competed,,,,,,60,75,85,85,80,100,107.5,107.5,,,,
M,87,Michael,Dougherty,,US,86.5,,disqualified,,,,,,50x,50x,,,60,65,75,75,,,,
M,94,Samuel,Adamson,,US,91,,competed,,,,,,60,70,72.5x,70,80,85,90,90,,,,
F,63,Kelly,Sorge,,US,60,,competed,,,,,,10,12.5,13.75,13.75,20,25,30,30,,,,
F,70,Maria,Tiagunova,,US,69,,competed,,,,,,22.5,27.5,30x,27.5,37.5,45,50x,45,,,,
F,70+,Katie,McCullough,,US,79.6,,competed,,,,,,11.25,16.25,20,20,31.25,36.25,40,40,,,,
