Sex,WeightClassKg,FirstName,LastName,Disambiguation,Country,BodyweightKg,Ris,Status,StatusReason,MuscleUp1Kg,MuscleUp2Kg,MuscleUp3Kg,BestMuscleUpKg,PullUp1Kg,PullUp2Kg,PullUp3Kg,BestPullUpKg,Dips1Kg,Dips2Kg,Dips3Kg,BestDipsKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg
M,66,Shaheed,Bryant,,US,60.3,,competed,,,,,,60,70,76.25x,70,92.5,105,107.5,107.5,,,,
M,66,Haroon,Khan,,US,63.05,,competed,,,,,,25,32.5,40x,32.5,35,45x,45,45,,,,
M,66,Leon,Lin,,US,61.4,,competed,,,,,,46.25,56.25,62.5x,56.25,46.25,56.25x,56.25,56.25,,,,
M,66,Jeffrey,Shi,,US,65.45,,competed,,,,,,70,75x,75,75,110x,110x,110,110,,,,
M,73,Eugene,Kwon,,US,71.7,,competed,,,,,,55,65x,70,70,70,75,90,90,,,,
M,73,Cristian,Lema,,US,71.95,,competed,,,,,,50,65x,65x,50,87.5,100x,100,100,,,,
M,73,John,Martinez,,US,68.15,,disqualified,,,,,,50,52.5,55x,52.5,55x,55x,55x,,,,,
M,80,Corey,Morrison,,US,78.95,,competed,,,,,,70,75x,77.5,77.5,85,95,110,110,,,,
M,87,Maurice,Marino,,US,82.75,,competed,,,,,,60,67.5,75,75,90x,92.5,100,100,,,,
M,87,Anthony,Martorano,,US,85.4,,disqualified,,,,,,70x,70x,72.5x,,75,82.5,90,90,,,,
M,87,Francesco,Ramunno,,US,83.3,,competed,,,,,,60,65,72.5,72.5,110x,115,122.5,122.5,,,,
M,87,Rod,Spradley,,US,84.3,,competed,,,,,,50,55,57.5x,55,60,67.5,75,75,,,,
M,94,Samuel,Bediako,,US,92.05,,competed,,,,,,40x,40,45,45,72.5,80,92.5,92.5,,,,
M,94,Dion,Lynch,,US,91.05,,competed,,,,,,65,75,80,80,90,100,106.25x,100,,,,
M,94,Caleb,Martindale,,US,87.4,,competed,,,,,,40,45x,50x,40,90,95,100,100,,,,
M,94,Jesus,Tejada,,US,91.8,,competed,,,,,,45,52.5,55x,52.5,65,75,82.5,82.5,,,,
