Sex,WeightClassKg,FirstName,LastName,Disambiguation,Country,BodyweightKg,Ris,Status,StatusReason,MuscleUp1Kg,MuscleUp2Kg,MuscleUp3Kg,BestMuscleUpKg,PullUp1Kg,PullUp2Kg,PullUp3Kg,BestPullUpKg,Dips1Kg,Dips2Kg,Dips3Kg,BestDipsKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg
M,66,Emilio,Castrellon,,US,61,,competed,,,,,,40,45,48.75,48.75,65,73.75,80,80,,,,
M,66,Leonard,Collins,,US,64.1,,competed,,,,,,40,50,55x,50,90,100,103.75x,100,,,,
M,66,Dashiell,Garcia,,US,66,,competed,,,,,,36.25,37.5,38.75x,37.5,58.75,60,61.25,61.25,,,,
M,66,Matthew,Garza,,US,49.8,,competed,,,,,,36.25x,40,45x,40,45,50,55,55,,,,
M,80,Eric,Huang,,US,79.8,,competed,,,,,,50,60,65,65,125,140,150x,140,,,,
M,80,Damion,Jackson,,US,79.6,,competed,,,,,,15,25,35x,25,20,35,50,50,,,,
M,80,Bryant,Medhus,,US,78.9,,competed,,,,,,45,50x,55x,45,90,100x,100x,90,,,,
M,80,Michael,Ryan,,US,78,,competed,,,,,,25x,30,40x,30,37.5,45,60x,45,,,,
M,87,Joedel,Braxton,,US,84.9,,competed,,,,,,45,47.5,50x,47.5,80,85,87.5,87.5,,,,
M,87,Ryan,Maclellan,,US,86.6,,competed,,,,,,50,60,70,70,100,117.5,130,130,,,,
M,87,Abdulrahman,Mohammed,,US,82.8,,disqualified,,,,,,60x,60x,60x,,40x,50x,50,50,,,,
M,87,Frankey,Nelson,,US,86.8,,competed,,,,,,40,60,80x,60,40,65,85x,65,,,,
M,87,Ray,Tidies,,US,85,,competed,,,,,,31.25,36.25x,41.25,41.25,82.5,87.5x,87.5,87.5,,,,
M,87,Josh,Trammell,,US,86.8,,competed,,,,,,50,57.5,62.5,62.5,95,115,120,120,,,,
M,87,Darius,Williams,,US,86.4,,competed,,,,,,30x,35,45x,35,25,45,60,60,,,,
M,94,Kyle,Chung,,US,90.4,,competed,,,,,,7.5,22.5,22.5,22.5,10,17.5,25,25,,,,
M,94,Zach,Miller,,US,93.7,,competed,,,,,,45,52.5,62.5,62.5,95,113.75,121.25,121.25,,,,
M,94,Makale,Mingo,,US,92.5,,competed,,,,,,72.5,81.25,93.75x,81.25,81.25,91.25,101.25,101.25,,,,
M,101+,Christopher,Cerean,,US,122.4,,competed,,,,,,40,45,50x,45,60,80,100x,80,,,,
F,57,Courtney,Anthony,,US,56.7,,competed,,,,,,25,33.75,37.5x,33.75,30,37.5,41.25,41.25,,,,
F,70,Kelly,Sorge,,US,64.9,,competed,,,,,,18.75,20,21.25,21.25,30,37.5,40,40,,,,
