Sex,WeightClassKg,FirstName,LastName,Disambiguation,Country,BodyweightKg,Ris,Status,StatusReason,MuscleUp1Kg,MuscleUp2Kg,MuscleUp3Kg,BestMuscleUpKg,PullUp1Kg,PullUp2Kg,PullUp3Kg,BestPullUpKg,Dips1Kg,Dips2Kg,Dips3Kg,BestDipsKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg
M,66,Matthew,Garza,,US,49.9,,competed,,,,,,40,41.25x,41.25,41.25,53.75x,53.75x,53.75,53.75,,,,
M,73,Billy,Chen,,US,68.3,,competed,,,,,,35,40,52.5,52.5,60,92.5,102.5x,92.5,,,,
M,73,Darin,Meeker,,US,68.9,,disqualified,,,,,,47.5x,38.75x,50x,,56.25,65,75,75,,,,
M,73,Rocky,Moreno,,US,68.5,,competed,,,,,,40,50,55,55,50,60,65x,60,,,,
M,73,Jordan,Talley,,US,71,,competed,,,,,,45,56.25x,56.25,56.25,61.25,65,75x,65,,,,
M,73,Obayda,Zuraiqi,,US,71.9,,competed,,,,,,40x,45,55x,45,75,80,90x,80,,,,
M,80,Elijah,Acklen Jr,,US,74.4,,competed,,,,,,52.5,53.75,56.25x,53.75,72.5,80x,80,80,,,,
M,80,Christian,Baldoni,,US,78.7,,competed,,,,,,42.5,50x,50,50,80,87.5,92.5,92.5,,,,
M,80,Jordan,Basile,,US,77.3,,competed,,,,,,43.75,55x,60x,43.75,52.5,63.75,75,75,,,,
M,80,Miguel,Miranda,,US,79.8,,competed,,,,,,20x,22.5,25,25,22.5,27.5x,30,30,,,,
M,87,Eugene,Jimenez,,US,83.8,,competed,,,,,,55,65,71.25x,65,75,87.5,100,100,,,,
M,87,Rob,Keeler,,US,84.7,,competed,,,,,,55,65,72.5x,65,80,95,102.5,102.5,,,,
M,87,Shahzad,Mian,,US,80.2,,competed,,,,,,45,50,53.75x,50,65,75,85x,75,,,,
M,87,Evan,Mori,,US,87,,disqualified,,,,,,41.25x,52.5x,52.5x,,118.75,122.5,136.25x,122.5,,,,
M,94,Shai,Ariola,,US,90.3,,competed,,,,,,55,65,70x,65,72.5,80,87.5x,80,,,,
M,94,Zachary,Khatib,,US,88.9,,competed,,,,,,45x,50,56.25x,50,80,83.75,90,90,,,,
M,94,Carter,Knight,,US,93.8,,disqualified,,,,,,40x,45x,45x,,85,90,95,95,,,,
M,94,Osaid,Sasi,,US,91.3,,competed,,,,,,45,50,55x,50,80x,85,92.5,92.5,,,,
F,57,Jazzla,Birkenstock,,US,54.9,,competed,,,,,,27.5,28.75,31.25,31.25,20,27.5x,27.5x,20,,,,
F,57,Shaye,Mathias,,US,55.8,,competed,,,,,,22.5x,25x,25,25,20,22.5,27.5,27.5,,,,
F,57,Yanni,Wei,,US,56.8,,competed,,,,,,31.25x,31.25,35x,31.25,15,20,25x,20,,,,
F,70,Vicky,Lisa,,US,64.5,,competed,,,,,,16.25,20,25,25,25,35,37.5x,35,,,,
F,70,Naomi,Nunez,,US,67.1,,competed,,,,,,20,25,30,30,33.75,35,42.5,42.5,,,,
