Sex,WeightClassKg,FirstName,LastName,Disambiguation,Country,BodyweightKg,Ris,Status,StatusReason,MuscleUp1Kg,MuscleUp2Kg,MuscleUp3Kg,BestMuscleUpKg,PullUp1Kg,PullUp2Kg,PullUp3Kg,BestPullUpKg,Dips1Kg,Dips2Kg,Dips3Kg,BestDipsKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg
M,66,Caiden,Hearn,,US,65.2,,competed,,,,,,32.5,35,42.5x,35,55,70,72.5x,70,,,,
M,73,Kevin,Makell,,US,70.7,,competed,,,,,,75,80x,80,80,100,105x,105,105,,,,
M,80,Ricco,Hall,,US,75.6,,competed,,,,,,40,45,52.5,52.5,50,57.5,65,65,,,,
M,80,Shadi,Hammad,,US,79.6,,competed,,,,,,52.5,57.5,65,65,92.5,100,105,105,,,,
M,80,Deny,Montana,,US,78.7,,competed,,,,,,79,80,85,85,110x,110,125x,110,,,,
M,94,Jose,Espindola,,US,88.2,,competed,,,,,,58.75,60,61.25,61.25,75x,75,77.5,77.5,,,,
M,94,Nicholas,Stewart,,US,89,,competed,,,,,,40,47.5,55,55,75,82.5,90,90,,,,
M,101+,Brian,Hershler,,US,108.1,,competed,,,,,,42.5x,42.5,46.25x,42.5,60,70,80,80,,,,
M,101+,Shaquillie,Lawrence,,US,102.7,,competed,,,,,,25,50,65,65,75,120,137.5,137.5,,,,
F,70,Stormy,Weather,,US,69.1,,competed,,,,,,8.75,12.5,13.75,13.75,11.25,16.25,21.25,21.25,,,,
