Sex,WeightClassKg,FirstName,LastName,Disambiguation,Country,BodyweightKg,Ris,Status,StatusReason,MuscleUp1Kg,MuscleUp2Kg,MuscleUp3Kg,BestMuscleUpKg,PullUp1Kg,PullUp2Kg,PullUp3Kg,BestPullUpKg,Dips1Kg,Dips2Kg,Dips3Kg,BestDipsKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg
M,66,Daynel,Artiles,,US,62.65,,competed,,,,,,40,50,60,60,60,75,82.5,82.5,,,,
M,66,Zach,Friend,,US,65.4,,competed,,,,,,38.75,41.25x,41.25x,38.75,70x,72.5,76.25,76.25,,,,
M,66,Jude,Pullen,,US,58.05,,competed,,,,,,25,40,55x,40,25,45,55x,45,,,,
M,66,Roman,Rockefeller,,US,45.6,,competed,,,,,,20,40x,40x,20,20,35,47.5,47.5,,,,
M,73,Cornelius,Martin,,US,67.35,,competed,,,,,,40,50,57.5x,50,65,75,80x,75,,,,
M,73,Joey,McKnight,,US,67.2,,competed,,,,,,40,55,65x,55,50,55x,57.5x,50,,,,
M,73,Jared,Sharer,,US,68.9,,competed,,,,,,52.5,60,65x,60,30,40,46.25x,40,,,,
M,80,Nii,France,,US,75.65,,competed,,,,,,40x,50,65,65,65,75,80x,75,,,,
M,80,Chris,Jimmerson,,US,78.95,,competed,,,,,,32.5,42.5,50x,42.5,42.5,52.5,60,60,,,,
M,80,Everett,Yang,,US,78.15,,competed,,,,,,40,70x,70,70,70,90,105x,90,,,,
M,80,Obayda,Zuraiqi,,US,73.1,,competed,,,,,,40,50x,52.5,52.5,80,100,110x,100,,,,
M,87,Robert,Schiller,,US,82.75,,competed,,,,,,40,50x,50x,40,65,75,85x,75,,,,
M,94,Perryl,Irchirl Jr,,US,88.65,,disqualified,,,,,,40x,50x,50x,,60,75,85x,75,,,,
M,94,Jason,Motlagh,,US,90.3,,competed,,,,,,70,80x,80x,70,100,110x,117.5,117.5,,,,
M,94,Yul,Ordonez,,US,91.1,,competed,,,,,,20x,25,90x,25,60x,60x,60,60,,,,
M,101,Kyle,Chung,,US,96.9,,competed,,,,,,3.75,6.25,10,10,20,27.5,31.25x,27.5,,,,
F,63,Suellisse,Acevedo,,US,62.2,,competed,,,,,,10,15,20x,15,10,15,22.5x,15,,,,
