Sex,WeightClassKg,FirstName,LastName,Disambiguation,Country,BodyweightKg,Ris,Status,StatusReason,MuscleUp1Kg,MuscleUp2Kg,MuscleUp3Kg,BestMuscleUpKg,PullUp1Kg,PullUp2Kg,PullUp3Kg,BestPullUpKg,Dips1Kg,Dips2Kg,Dips3Kg,BestDipsKg,Squat1Kg,Squat2Kg,Squat3Kg,BestSquatKg
M,66,Theo,Lopez Marques,,US,64.7,,competed,,25x,25,27.5,27.5,65,70,75x,70,83.75,88.75,90,90,162.5,170,175,175
M,66,Rocky,Moreno,,US,64.7,,competed,,5,12.5x,15x,5,45,51.25,52.5x,51.25,70,77.5,80x,77.5,120,127.5,132.5,132.5
M,66,Paul,Yin,,US,62.5,,competed,,20,25x,25x,20,65x,80.25,83x,80.25,55x,60,70,70,100,112.5,122.5,122.5
M,73,Dustin,Clark,,US,66.05,,competed,,15x,17.5,20,20,50,55x,55x,50,95,102.5x,102.5,102.5,170,182.5,190x,182.5
M,73,Roberto,Ledesma,,US,72.65,,competed,,16.25,20,21.25x,20,55,62.5x,63.75x,55,95,100,105x,100,140,150,155x,150
M,73,Amin,Meknaci,,US,72.9,,competed,,30x,30,33,33,80x,80,81.5x,80,130,137.5x,140,140,180,187.5,190x,187.5
M,73,Matthew,Shoffner,,US,72.9,,competed,,10x,15,20x,15,85,95,97.5x,95,120,130x,135,135,180,200x,200,200
M,73,Obayda,Zuraiqi,,US,72.7,,disqualified,,7.5x,10x,12.5x,,45,55,62.5x,55,85x,100x,113.75,113.75,150,167.5x,175x,150
M,80,Lincoln,Black,,US,76.15,,competed,,15,20,22.5,22.5,65,75,80,80,90,107.5,116.25,116.25,200,220,230,230
M,80,Deny,Montana,,US,78.8,,disqualified,,20x,25x,25x,,80,85x,85,85,120,130,137.5,137.5,180,190,200,200
M,80,William,Santiago,,US,78.95,,competed,,20,25,30x,25,67.5x,67.5,72.5,72.5,75,80,85,85,185,190x,195,195
M,80,Brian,Shtika,,US,77.75,,competed,,15,20,25x,20,60,70,75,75,110,120,125x,120,190,200,210x,200
M,80,Nick,Widmann,,US,73.95,,competed,,0x,0x,5,5,50,60,65,65,65,80,85,85,135,145,155,155
M,87,Godfroy,Ali Yerima,,US,85,,competed,,15,20x,20,20,67.5,75,81.25x,75,110,117.5,125x,117.5,190,210x,215,215
M,87,Christian,Baldoni,,US,84.9,,competed,,2.5,7.5,12.5x,7.5,37.5x,42.5,50,50,105,112.5,120,120,225,232.5,250x,232.5
M,87,Joedel,Braxton,,US,86.9,,competed,,2.5,5x,5x,2.5,42.5,47.5,50,50,85x,90,100x,90,175,192.5,205,205
M,87,Nicholas,Cerean,,US,85.15,,competed,,32.5,37.5,40,40,87.5,95.75,98.75,98.75,125x,130x,130,130,170,180,185,185
M,87,Shahzad,Mian,,US,80.1,,competed,,0x,1.25,2.5,2.5,42.5,50,55,55,80,90,100x,90,150,165,175,175
M,87,Josh,Trammell,,US,86.4,,competed,,15,20,22.5,22.5,57.5,66.25,71.25x,66.25,110,122.5,126,126,165,195,210,210
M,94,Makale,Mingo,,US,92.3,,competed,,10,15,20,20,85,90,95.5,95.5,105,117.5x,120,120,250,260,270,270
M,94,Colin,Snoke,,US,90.7,,competed,,0,1.25x,1.25,1.25,50,57.5,60,60,80,90,95,95,185,195,200,200
M,101,Shaquillie,Lawrence,,US,99.35,,competed,,0x,0x,0,0,62.5,70,72.5,72.5,125,140,142.5x,140,225,245,260,260
M,101,Osaid,Sasi,,US,91.6,,disqualified,Did not make weight,2.5,5,10x,5,42.5,50,52.5,52.5,80,90,102.5x,90,180,200,210,210
F,57,Courtney,Anthony,,US,56.8,,competed,,2.5x,2.5,5x,2.5,30x,30x,30,30,36.25x,43.75,47.5,47.5,92.5,100,115.5x,100
F,57,Shaye,Mathias,,US,53.55,,competed,,2.5,3.75,5x,3.75,22.5,25,30,30,27.5,33.75,38.75,38.75,65,67.5,77.5,77.5
F,63,Danika,Meldrum,,US,61,,disqualified,,,,,,20,25,27.5x,25,20,25,30x,25,75,80,85,85
F,63,Kelly,Sorge,,US,59.65,,competed,,3.75,5,7.5x,5,20,22.5,25,25,37.5,41.25,43.75,43.75,120,122.5,125,125
F,70,Naomi,Alexandra,,US,63.6,,competed,,5,8.75x,8.75x,5,30,33.75,36.25,36.25,42.5,47.5,50,50,125,132.5,140x,132.5
F,70,Danae,Morgan,,US,68.65,,competed,,15.75,20,25x,20,52.5,61.25x,61.25x,52.5,65,76.25x,76.25,76.25,135,142.5x,142.5,142.5
F,70,Maria,Tiagunova,,US,67.6,,competed,,2.5,5,7.5,7.5,22.5,27.5,31.25x,27.5,52.5,57.5,62.5x,57.5,95x,100,105x,100
F,70+,Taryn,Albright,,US,71.2,,competed,,2.5,5.25x,5.25x,2.5,30,36,38.75,38.75,58,64,68x,64,140.5,155,163.5,163.5
